System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:18:42:745, 2088442185121745,    0.105,   12.000, 1300,  15.094,   1.586,   0.440,   3.957,   0.416,   0.115, 31,  0,   0.753,   0.079,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:42:854, 2088442576947737,    0.214,   46.000, 4100,  40.297,   5.972,   1.659,  29.175,   3.591,   0.998, 45,  0,   1.220,   0.212,   0.059,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:42:964, 2088442972211633,    0.324,   14.000,  800,  23.463,   8.548,   2.374,  12.394,   4.952,   1.376, 33,  0,   0.893,   0.310,   0.086,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:074, 2088443367319175,    0.433,    3.000, 2500,  12.994,   9.974,   2.771,   1.890,   5.159,   1.433, 32,  0,   0.720,   0.389,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:185, 2088443767387989,    0.545,    2.000,  800,  11.851,  11.291,   3.136,   0.801,   5.249,   1.458, 31,  0,   0.672,   0.464,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:293, 2088444156757999,    0.653,    3.000,  800,  11.845,  12.572,   3.492,   0.682,   5.322,   1.478, 32,  0,   0.678,   0.537,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:400, 2088444543788263,    0.760,    3.000, 1000,  12.774,  13.945,   3.874,   1.768,   5.512,   1.531, 32,  0,   0.671,   0.609,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:513, 2088444947823191,    0.872,   12.000, 4300,  13.334,  15.442,   4.289,   2.307,   5.771,   1.603, 31,  0,   0.697,   0.687,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:620, 2088445333276521,    0.980,    1.000,  800,  12.246,  16.753,   4.654,   1.165,   5.896,   1.638, 31,  0,   0.671,   0.759,   0.211,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:729, 2088445726838533,    1.089,   16.000, 4200,  25.872,  19.581,   5.439,  14.736,   7.507,   2.085, 47,  0,   0.872,   0.854,   0.237,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:839, 2088446122703481,    1.199,   17.000, 4200,  29.888,  22.868,   6.352,  18.775,   9.572,   2.659, 40,  0,   0.727,   0.934,   0.260,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:43:947, 2088446511624267,    1.307,   16.000, 4200,  29.860,  26.094,   7.248,  18.809,  11.604,   3.223, 50,  0,   0.710,   1.011,   0.281,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:44:059, 2088446914665039,    1.419,   16.000, 4200,  29.630,  29.411,   8.170,  18.531,  13.678,   3.800, 47,  0,   0.713,   1.091,   0.303,4095.875,4095.875,   0.000,   0.000,   0.000
