System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:18:07:025, 2088313593156833,    0.102,    2.000,  800,   6.203,   0.631,   0.175,   2.686,   0.273,   0.076, 32,  0,   0.712,   0.072,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:136, 2088313991491887,    0.212,    3.000,  800,   3.997,   1.073,   0.298,   0.617,   0.341,   0.095, 32,  0,   0.675,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:245, 2088314384466939,    0.322,    2.000,  800,   4.026,   1.513,   0.420,   0.593,   0.406,   0.113, 32,  0,   0.682,   0.221,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:356, 2088314781758315,    0.432,    2.000, 1600,   4.335,   1.991,   0.553,   0.950,   0.511,   0.142, 32,  0,   0.670,   0.295,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:466, 2088315180703701,    0.543,   32.000, 4200,  22.346,   4.467,   1.241,  18.934,   2.609,   0.725, 40,  0,   0.953,   0.401,   0.111,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:574, 2088315566367247,    0.650,   28.000, 4200,  26.104,   7.264,   2.018,  22.660,   5.037,   1.399, 43,  0,   1.030,   0.511,   0.142,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:685, 2088315968475831,    0.762,   17.000, 4200,  20.285,   9.530,   2.647,  16.830,   6.917,   1.921, 46,  0,   0.809,   0.602,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:795, 2088316364357189,    0.872,   18.000, 4200,  20.430,  11.776,   3.271,  16.995,   8.785,   2.440, 48,  0,   0.789,   0.689,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:07:900, 2088316742357963,    0.977,   18.000, 4200,  20.478,  13.927,   3.868,  17.072,  10.578,   2.938, 50,  0,   0.804,   0.773,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:08:015, 2088317156495297,    1.092,   38.000, 4200,  32.647,  17.682,   4.912,  29.200,  13.937,   3.871, 46,  0,   1.133,   0.903,   0.251,4095.875,4095.875,   0.000,   0.000,   0.000
