System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:18:36:996, 2088421489077275,    0.099,    3.000,  800,   6.125,   0.606,   0.168,   2.615,   0.259,   0.072, 32,  0,   0.710,   0.070,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:107, 2088421887318533,    0.210,    2.000,  800,   3.998,   1.048,   0.291,   0.584,   0.323,   0.090, 32,  0,   0.673,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:216, 2088422281197683,    0.319,    2.000,  800,   3.999,   1.486,   0.413,   0.613,   0.390,   0.108, 32,  0,   0.671,   0.218,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:325, 2088422671052889,    0.427,    2.000,  800,   3.993,   1.918,   0.533,   0.600,   0.455,   0.126, 31,  0,   0.668,   0.290,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:433, 2088423062178709,    0.536,    2.000,  800,   4.023,   2.355,   0.654,   0.613,   0.522,   0.145, 31,  0,   0.672,   0.363,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:541, 2088423448267978,    0.643,    6.000, 3300,   6.132,   3.013,   0.837,   2.730,   0.815,   0.226, 32,  0,   0.714,   0.440,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:654, 2088423857112639,    0.757,    2.000,  800,   4.250,   3.495,   0.971,   0.836,   0.910,   0.253, 31,  0,   0.673,   0.516,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:762, 2088424244163205,    0.864,    3.000,  800,   3.980,   3.923,   1.090,   0.597,   0.974,   0.270, 32,  0,   0.675,   0.589,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:875, 2088424650072039,    0.977,    5.000, 4300,   4.442,   4.424,   1.229,   1.064,   1.094,   0.304, 32,  0,   0.685,   0.666,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
14:18:37:982, 2088425037899013,    1.085,   18.000, 4200,  20.200,   6.600,   1.833,  16.249,   2.844,   0.790, 47,  0,   0.899,   0.763,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
