System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:59:15:106, 2097198681705360,    0.110,    2.000,  800,  13.329,   1.468,   0.408,   2.226,   0.245,   0.068, 31,  0,   0.703,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:214, 2097199068953986,    0.218,    2.000,  800,  11.635,   2.719,   0.755,   0.520,   0.301,   0.084, 31,  0,   0.675,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:326, 2097199473027451,    0.330,    3.000,  800,  11.584,   4.020,   1.117,   0.548,   0.362,   0.101, 31,  0,   0.674,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:436, 2097199868870621,    0.440,    3.000, 4300,  12.348,   5.377,   1.494,   1.289,   0.504,   0.140, 32,  0,   0.672,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:542, 2097200250294045,    0.546,    4.000, 2500,  14.339,   6.897,   1.916,   3.252,   0.849,   0.236, 31,  0,   0.691,   0.373,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:653, 2097200650321097,    0.657,    2.000,  800,  11.699,   8.197,   2.277,   0.639,   0.920,   0.256, 31,  0,   0.672,   0.447,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:763, 2097201046495145,    0.767,    3.000,  800,  11.603,   9.473,   2.631,   0.544,   0.980,   0.272, 31,  0,   0.682,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:870, 2097201430918731,    0.874,    2.000,  800,  11.593,  10.711,   2.975,   0.500,   1.033,   0.287, 31,  0,   0.676,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:15:979, 2097201824703293,    0.983,    2.000,  800,  11.541,  11.974,   3.326,   0.513,   1.089,   0.303, 31,  0,   0.672,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:16:090, 2097202220982489,    1.093,   16.000, 4200,  24.520,  14.673,   4.076,  13.491,   2.574,   0.715, 41,  0,   0.986,   0.777,   0.216,4095.875,4095.875,   0.000,   0.000,   0.000
