System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:01:35:184, 2097702961658480,    0.111,    9.000,  800,   5.393,   0.601,   0.167,   1.866,   0.208,   0.058, 33,  0,   0.750,   0.084,   0.023,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:292, 2097703348369821,    0.219,    7.000,  800,   4.069,   1.038,   0.288,   0.678,   0.281,   0.078, 32,  0,   0.702,   0.159,   0.044,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:401, 2097703743388928,    0.329,    3.000,  800,   4.729,   1.557,   0.432,   1.314,   0.425,   0.118, 32,  0,   0.681,   0.234,   0.065,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:510, 2097704134223111,    0.437,   18.000, 4200,   5.538,   2.158,   0.599,   2.164,   0.660,   0.183, 32,  0,   0.713,   0.311,   0.086,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:622, 2097704536519307,    0.549,    2.000,  800,   4.787,   2.693,   0.748,   1.358,   0.812,   0.226, 32,  0,   0.685,   0.388,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:733, 2097704936555037,    0.660,    4.000,  800,   3.971,   3.134,   0.871,   0.576,   0.876,   0.243, 32,  0,   0.683,   0.464,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:841, 2097705325848789,    0.768,    2.000,  800,   3.945,   3.561,   0.989,   0.546,   0.935,   0.260, 32,  0,   0.674,   0.537,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:35:950, 2097705718756817,    0.877,    2.000,  800,   3.945,   3.991,   1.109,   0.512,   0.991,   0.275, 33,  0,   0.676,   0.610,   0.170,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:057, 2097706103979789,    0.984,    2.000,  800,   3.931,   4.412,   1.226,   0.530,   1.048,   0.291, 32,  0,   0.671,   0.682,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:166, 2097706496441507,    1.093,   19.000, 4200,  18.631,   6.443,   1.790,  15.184,   2.703,   0.751, 48,  0,   1.026,   0.794,   0.221,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:281, 2097706908887353,    1.208,   24.000, 4200,  25.188,   9.329,   2.591,  21.809,   5.201,   1.445, 47,  0,   1.108,   0.921,   0.256,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:387, 2097707290660125,    1.314,   26.000, 4200,  25.982,  12.084,   3.357,  22.600,   7.598,   2.111, 42,  0,   1.041,   1.031,   0.286,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:495, 2097707679354486,    1.422,   59.000, 4100,  25.355,  14.822,   4.117,  21.780,   9.950,   2.764, 44,  0,   0.992,   1.138,   0.316,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:606, 2097708078878681,    1.533,   20.000, 4200,  23.050,  17.380,   4.828,  19.581,  12.123,   3.367, 48,  0,   1.000,   1.249,   0.347,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:716, 2097708475237997,    1.643,   54.000, 4200,  39.883,  21.771,   6.047,  36.402,  16.131,   4.481, 45,  0,   1.500,   1.415,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:823, 2097708860103517,    1.750,   46.000, 4200,  36.832,  25.708,   7.141,  33.281,  19.689,   5.469, 47,  0,   1.195,   1.542,   0.428,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:36:934, 2097709259852641,    1.861,   44.000, 4200,  35.647,  29.667,   8.241,  32.071,  23.250,   6.458, 47,  0,   1.462,   1.705,   0.473,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:046, 2097709663197325,    1.973,   36.000, 4200,  33.050,  33.370,   9.269,  29.525,  26.558,   7.377, 48,  0,   1.290,   1.849,   0.514,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:152, 2097710044546543,    2.079,   34.000, 4100,  30.674,  36.619,  10.172,  27.142,  29.433,   8.176, 50,  0,   1.215,   1.978,   0.549,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:261, 2097710437100945,    2.188,   34.000, 4200,  30.625,  39.958,  11.100,  27.170,  32.396,   8.999, 48,  0,   1.137,   2.102,   0.584,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:373, 2097710840353849,    2.300,   34.000, 4200,  30.514,  43.376,  12.049,  27.030,  35.423,   9.840, 48,  0,   1.044,   2.219,   0.616,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:494, 2097711278001999,    2.422,   54.000, 4200,  32.071,  47.275,  13.132,  28.471,  38.885,  10.801, 49,  0,   1.315,   2.379,   0.661,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:591, 2097711624954298,    2.518,   35.000, 4200,  29.733,  50.141,  13.928,  26.318,  41.421,  11.506, 49,  0,   1.256,   2.500,   0.694,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:699, 2097712013718820,    2.626,   35.000, 4100,  29.656,  53.343,  14.818,  26.125,  44.242,  12.290, 49,  0,   1.511,   2.663,   0.740,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:810, 2097712413996563,    2.737,   41.000, 4100,  34.293,  57.156,  15.877,  30.812,  47.668,  13.241, 51,  0,   1.640,   2.845,   0.790,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:37:917, 2097712798767947,    2.844,   26.000, 4200,  26.100,  59.946,  16.652,  22.481,  50.071,  13.909, 48,  0,   1.026,   2.955,   0.821,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:38:027, 2097713194679965,    2.954,   18.000, 4200,  20.475,  62.198,  17.277,  17.051,  51.946,  14.429, 48,  0,   0.725,   3.035,   0.843,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:38:139, 2097713597779653,    3.066,   17.000, 4200,  20.241,  64.464,  17.907,  16.840,  53.832,  14.953, 45,  0,   0.722,   3.115,   0.865,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:38:249, 2097713993766401,    3.176,   17.000, 4200,  19.899,  66.653,  18.515,  16.492,  55.646,  15.457, 42,  0,   0.719,   3.194,   0.887,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:38:354, 2097714371766331,    3.281,   17.000, 4200,  19.855,  68.738,  19.094,  16.449,  57.373,  15.937, 45,  0,   0.720,   3.270,   0.908,4095.875,4095.875,   0.000,   0.000,   0.000
15:01:38:465, 2097714771425659,    3.392,   18.000, 4200,  20.407,  71.003,  19.723,  16.966,  59.256,  16.460, 48,  0,   0.793,   3.358,   0.933,4095.875,4095.875,   0.000,   0.000,   0.000
