System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:00:25:996, 2097453882868015,    0.099,    2.000,  800,   8.281,   0.823,   0.229,   2.298,   0.228,   0.063, 32,  0,   0.704,   0.070,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:104, 2097454272060531,    0.208,    3.000,  800,   6.506,   1.526,   0.424,   0.553,   0.288,   0.080, 32,  0,   0.676,   0.143,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:217, 2097454680276234,    0.321,    2.000,  800,   6.506,   2.264,   0.629,   0.517,   0.347,   0.096, 32,  0,   0.675,   0.220,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:326, 2097455072713945,    0.430,    2.000,  800,   6.466,   2.969,   0.825,   0.510,   0.403,   0.112, 31,  0,   0.671,   0.293,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:432, 2097455454487669,    0.536,    2.000,  800,   6.455,   3.654,   1.015,   0.501,   0.456,   0.127, 31,  0,   0.674,   0.364,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:542, 2097455849988087,    0.646,    6.000, 3000,   8.699,   4.609,   1.280,   2.728,   0.755,   0.210, 32,  0,   0.702,   0.441,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:651, 2097456240642479,    0.754,    2.000,  800,   6.729,   5.339,   1.483,   0.805,   0.843,   0.234, 32,  0,   0.680,   0.515,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:760, 2097456634265869,    0.864,    2.000,  800,   6.473,   6.047,   1.680,   0.532,   0.901,   0.250, 32,  0,   0.670,   0.589,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:872, 2097457037725069,    0.976,    2.000,  800,   6.532,   6.779,   1.883,   0.526,   0.960,   0.267, 31,  0,   0.681,   0.665,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:26:980, 2097457425424189,    1.083,   15.000, 4200,  18.296,   8.750,   2.430,  12.518,   2.308,   0.641, 49,  0,   0.924,   0.764,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:091, 2097457824992173,    1.194,   20.000, 4200,  25.447,  11.574,   3.215,  19.344,   4.455,   1.238, 42,  0,   1.213,   0.899,   0.250,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:200, 2097458217402725,    1.303,   20.000, 4200,  25.011,  14.300,   3.972,  18.950,   6.521,   1.811, 42,  0,   1.223,   1.032,   0.287,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:308, 2097458606115036,    1.411,   17.000, 4100,  22.569,  16.737,   4.649,  16.462,   8.298,   2.305, 41,  0,   1.507,   1.195,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:417, 2097458998577717,    1.520,   24.000, 4200,  27.947,  19.784,   5.496,  21.828,  10.678,   2.966, 46,  0,   1.662,   1.376,   0.382,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:528, 2097459398727751,    1.632,    8.000, 3600,  11.138,  21.022,   5.839,   5.071,  11.241,   3.123, 33,  0,   0.763,   1.461,   0.406,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:636, 2097459788345566,    1.740,    2.000,  800,   6.804,  21.758,   6.044,   0.800,  11.328,   3.147, 32,  0,   0.679,   1.535,   0.426,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:745, 2097460182255295,    1.849,    2.000,  800,   6.490,  22.468,   6.241,   0.553,  11.389,   3.163, 32,  0,   0.672,   1.608,   0.447,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:855, 2097460575299767,    1.958,    2.000,  800,   6.492,  23.177,   6.438,   0.546,  11.448,   3.180, 32,  0,   0.671,   1.681,   0.467,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:27:966, 2097460975501819,    2.070,    3.000,  800,   6.501,  23.900,   6.639,   0.555,  11.510,   3.197, 31,  0,   0.682,   1.757,   0.488,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:28:074, 2097461366719267,    2.178,    3.000,  800,   6.526,  24.609,   6.836,   0.549,  11.570,   3.214, 31,  0,   0.679,   1.831,   0.509,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:28:184, 2097461759903533,    2.287,    2.000, 2700,   9.716,  25.670,   7.131,   1.766,  11.763,   3.267, 32,  0,   0.672,   1.904,   0.529,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:28:291, 2097462146902547,    2.395,    1.000,  800,  11.718,  26.930,   7.481,   0.600,  11.827,   3.285, 32,  0,   0.674,   1.977,   0.549,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:28:401, 2097462543290889,    2.505,    2.000,  800,  11.580,  28.205,   7.835,   0.521,  11.884,   3.301, 31,  0,   0.674,   2.051,   0.570,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:28:453, 2097462730889541,    2.557,   11.000, 4200,  16.434,  29.061,   8.073,   5.546,  12.173,   3.382, 39,  0,   0.768,   2.091,   0.581,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.557178
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 29.061218
Cumulative Processor Energy_0 (mWh) = 8.072561
Average Processor Power_0 (Watt) = 11.364565

Cumulative IA Energy_0 (Joules) = 12.173401
Cumulative IA Energy_0 (mWh) = 3.381500
Average IA Power_0 (Watt) = 4.760482

Cumulative DRAM Energy_0 (Joules) = 2.091187
Cumulative DRAM Energy_0 (mWh) = 0.580885
Average DRAM Power_0 (Watt) = 0.817771
