System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:16:37:620, 2100951729112389,    0.098,    4.000,  800,  15.172,   1.488,   0.413,   3.989,   0.391,   0.109, 32,  0,   0.726,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:37:729, 2100952121171181,    0.207,    2.000,  800,  11.797,   2.773,   0.770,   0.720,   0.470,   0.130, 31,  0,   0.673,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:37:840, 2100952521673239,    0.318,    2.000,  800,  11.640,   4.068,   1.130,   0.596,   0.536,   0.149, 31,  0,   0.669,   0.219,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:37:948, 2100952910905097,    0.426,    3.000,  800,  11.632,   5.326,   1.479,   0.580,   0.599,   0.166, 32,  0,   0.677,   0.292,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:058, 2100953306154443,    0.536,    2.000,  800,  11.653,   6.605,   1.835,   0.564,   0.661,   0.184, 32,  0,   0.673,   0.366,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:168, 2100953702262739,    0.646,    2.000,  800,  11.577,   7.879,   2.189,   0.518,   0.718,   0.199, 31,  0,   0.672,   0.440,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:278, 2100954099066513,    0.756,    2.000,  800,  11.598,   9.157,   2.544,   0.553,   0.779,   0.216, 31,  0,   0.669,   0.514,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:389, 2100954497843574,    0.867,    4.000,  800,  11.728,  10.456,   2.904,   0.640,   0.849,   0.236, 31,  0,   0.688,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:499, 2100954894812203,    0.977,   19.000, 4300,  14.192,  12.021,   3.339,   3.045,   1.185,   0.329, 39,  0,   0.708,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:606, 2100955279768990,    1.084,   14.000, 4100,  25.673,  14.766,   4.102,  14.858,   2.774,   0.771, 45,  0,   0.882,   0.762,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:716, 2100955675892106,    1.194,   27.000, 4200,  34.566,  18.570,   5.158,  23.492,   5.359,   1.489, 47,  0,   0.935,   0.865,   0.240,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:826, 2100956071968084,    1.304,   42.000, 4200,  43.052,  23.306,   6.474,  31.569,   8.832,   2.453, 47,  0,   1.319,   1.010,   0.281,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:38:932, 2100956453589391,    1.410,   39.000, 4200,  40.584,  27.609,   7.669,  29.813,  11.993,   3.331, 49,  0,   1.056,   1.122,   0.312,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:043, 2100956853070781,    1.521,   21.000, 4200,  32.448,  31.209,   8.669,  21.226,  14.348,   3.986, 44,  0,   1.086,   1.243,   0.345,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:154, 2100957252755589,    1.632,   17.000, 4200,  29.409,  34.474,   9.576,  18.304,  16.380,   4.550, 43,  0,   0.964,   1.350,   0.375,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:264, 2100957648853441,    1.742,   17.000, 4200,  29.380,  37.707,  10.474,  17.967,  18.357,   5.099, 43,  0,   1.244,   1.487,   0.413,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:373, 2100958039190975,    1.851,   21.000, 4200,  31.470,  41.119,  11.422,  20.396,  20.568,   5.713, 47,  0,   1.438,   1.643,   0.456,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:517, 2100958559646985,    1.995,   21.000, 2400,  13.074,  43.009,  11.947,   1.908,  20.844,   5.790, 33,  0,   0.711,   1.745,   0.485,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:590, 2100958820082839,    2.068,    3.000, 1100,  12.649,  43.924,  12.201,   1.647,  20.963,   5.823, 33,  0,   0.684,   1.795,   0.499,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:698, 2100959208693013,    2.176,    2.000, 2500,  11.905,  45.209,  12.558,   0.833,  21.053,   5.848, 33,  0,   0.676,   1.868,   0.519,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:807, 2100959603030889,    2.285,    2.000,  800,  11.697,  46.491,  12.914,   0.678,  21.128,   5.869, 32,  0,   0.668,   1.941,   0.539,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:39:917, 2100959999091873,    2.395,    1.000,  800,  11.719,  47.780,  13.272,   0.647,  21.199,   5.889, 32,  0,   0.670,   2.015,   0.560,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:40:027, 2100960396456427,    2.506,    5.000,  800,  11.847,  49.088,  13.635,   0.717,  21.278,   5.911, 32,  0,   0.692,   2.091,   0.581,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:40:137, 2100960788967721,    2.615,    2.000,  800,  11.633,  50.356,  13.988,   0.564,  21.339,   5.928, 32,  0,   0.671,   2.164,   0.601,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:40:245, 2100961179837861,    2.723,    2.000,  800,  11.561,  51.611,  14.336,   0.556,  21.400,   5.944, 32,  0,   0.669,   2.237,   0.621,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:40:355, 2100961576101639,    2.833,    2.000,  800,  11.660,  52.895,  14.693,   0.600,  21.466,   5.963, 32,  0,   0.673,   2.311,   0.642,4095.875,4095.875,   0.000,   0.000,   0.000
15:16:40:400, 2100961735943973,    2.878,   13.000, 4200,  17.524,  53.673,  14.909,   6.426,  21.751,   6.042, 37,  0,   0.803,   2.346,   0.652,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.877766
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 53.672729
Cumulative Processor Energy_0 (mWh) = 14.909092
Average Processor Power_0 (Watt) = 18.650831

Cumulative IA Energy_0 (Joules) = 21.751221
Cumulative IA Energy_0 (mWh) = 6.042006
Average IA Power_0 (Watt) = 7.558370

Cumulative DRAM Energy_0 (Joules) = 2.346497
Cumulative DRAM Energy_0 (mWh) = 0.651805
Average DRAM Power_0 (Watt) = 0.815388
