System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:14:44:561, 2100544718502995,    0.110,    3.000, 1200,   7.869,   0.864,   0.240,   4.402,   0.483,   0.134, 33,  0,   0.723,   0.079,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:44:669, 2100545107661739,    0.218,    3.000,  800,   3.991,   1.296,   0.360,   0.594,   0.548,   0.152, 32,  0,   0.675,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:44:778, 2100545498857483,    0.327,    3.000, 4300,   4.040,   1.735,   0.482,   0.762,   0.630,   0.175, 32,  0,   0.667,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:44:887, 2100545891569539,    0.436,    1.000,  800,   5.221,   2.304,   0.640,   1.716,   0.818,   0.227, 32,  0,   0.677,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:44:996, 2100546284644039,    0.545,    5.000,  800,   4.107,   2.753,   0.765,   0.676,   0.891,   0.248, 32,  0,   0.695,   0.375,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:107, 2100546684502971,    0.656,    4.000,  800,   4.103,   3.208,   0.891,   0.703,   0.969,   0.269, 31,  0,   0.682,   0.451,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:215, 2100547072816413,    0.764,    2.000,  800,   4.021,   3.642,   1.012,   0.616,   1.036,   0.288, 32,  0,   0.674,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:326, 2100547472494679,    0.875,    2.000,  800,   4.029,   4.089,   1.136,   0.625,   1.105,   0.307, 32,  0,   0.673,   0.598,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:434, 2100547859143117,    0.982,    3.000,  800,   3.967,   4.515,   1.254,   0.583,   1.168,   0.324, 32,  0,   0.672,   0.670,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:543, 2100548252988865,    1.092,   22.000, 4200,  21.395,   6.856,   1.904,  18.084,   3.146,   0.874, 45,  0,   0.952,   0.774,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:653, 2100548649089313,    1.202,   18.000, 4200,  22.457,   9.327,   2.591,  19.036,   5.241,   1.456, 47,  0,   1.002,   0.884,   0.246,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:762, 2100549041497359,    1.311,   27.000, 4200,  27.060,  12.277,   3.410,  23.548,   7.808,   2.169, 43,  0,   1.035,   0.997,   0.277,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:869, 2100549426955509,    1.418,   24.000, 4100,  25.152,  14.970,   4.158,  21.509,  10.111,   2.809, 46,  0,   1.007,   1.105,   0.307,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:45:983, 2100549836986809,    1.532,   24.000, 4200,  24.575,  17.769,   4.936,  21.323,  12.539,   3.483, 42,  0,   1.032,   1.223,   0.340,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:089, 2100550217070497,    1.637,   19.000, 4100,  22.620,  20.157,   5.599,  19.041,  14.550,   4.042, 46,  0,   0.845,   1.312,   0.364,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:201, 2100550620015470,    1.749,   71.000, 4100,  47.990,  25.528,   7.091,  44.472,  19.527,   5.424, 44,  0,   1.594,   1.490,   0.414,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:308, 2100551005532423,    1.856,   42.000, 4200,  35.532,  29.333,   8.148,  32.001,  22.954,   6.376, 51,  0,   1.114,   1.610,   0.447,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:419, 2100551405147021,    1.967,   47.000, 4200,  36.350,  33.368,   9.269,  32.711,  26.585,   7.385, 48,  0,   1.681,   1.796,   0.499,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:527, 2100551793812711,    2.075,   39.000, 4200,  33.405,  36.975,  10.271,  29.889,  29.812,   8.281, 51,  0,   1.177,   1.923,   0.534,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:636, 2100552186524165,    2.184,   34.000, 4200,  31.155,  40.374,  11.215,  27.639,  32.827,   9.119, 45,  0,   1.311,   2.066,   0.574,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:748, 2100552589422135,    2.296,   34.000, 4200,  30.591,  43.797,  12.166,  27.153,  35.866,   9.963, 45,  0,   1.023,   2.181,   0.606,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:854, 2100552971286767,    2.402,   35.000, 4200,  31.650,  47.154,  13.098,  28.193,  38.857,  10.794, 46,  0,   1.075,   2.295,   0.637,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:46:964, 2100553367031845,    2.512,   34.000, 4100,  30.205,  50.475,  14.021,  26.701,  41.792,  11.609, 48,  0,   1.207,   2.427,   0.674,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:47:075, 2100553766523639,    2.623,   46.000, 4100,  35.704,  54.437,  15.121,  32.035,  45.347,  12.596, 47,  0,   1.700,   2.616,   0.727,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:47:185, 2100554162688748,    2.733,   34.000, 4200,  29.909,  57.728,  16.036,  26.397,  48.252,  13.403, 52,  0,   1.504,   2.782,   0.773,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:47:297, 2100554566113411,    2.845,   47.000, 4200,  36.712,  61.842,  17.178,  32.974,  51.947,  14.430, 48,  0,   2.042,   3.011,   0.836,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:47:403, 2100554947583907,    2.951,   30.000, 4200,  27.879,  64.796,  17.999,  24.334,  54.526,  15.146, 52,  0,   1.183,   3.136,   0.871,4095.875,4095.875,   0.000,   0.000,   0.000
