System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:14:25:011, 2100474337348201,    0.109,    4.000,  800,   8.443,   0.916,   0.255,   2.469,   0.268,   0.074, 32,  0,   0.711,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:122, 2100474737166695,    0.220,    2.000,  800,   6.515,   1.640,   0.456,   0.561,   0.330,   0.092, 32,  0,   0.674,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:231, 2100475129385041,    0.329,    2.000,  800,   6.474,   2.345,   0.651,   0.514,   0.386,   0.107, 32,  0,   0.672,   0.225,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:338, 2100475516259183,    0.436,    2.000,  800,   6.520,   3.046,   0.846,   0.531,   0.443,   0.123, 32,  0,   0.675,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:449, 2100475915836621,    0.547,    2.000,  800,   6.573,   3.776,   1.049,   0.615,   0.512,   0.142, 32,  0,   0.670,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:559, 2100476307765701,    0.656,    5.000, 2200,   9.031,   4.759,   1.322,   3.066,   0.845,   0.235, 32,  0,   0.703,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:666, 2100476696602343,    0.764,    2.000,  800,   7.288,   5.546,   1.541,   1.326,   0.989,   0.275, 31,  0,   0.682,   0.522,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:780, 2100477104538639,    0.877,    2.000,  800,   6.562,   6.289,   1.747,   0.625,   1.060,   0.294, 32,  0,   0.672,   0.599,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:889, 2100477497316091,    0.986,    2.000,  800,   6.496,   6.998,   1.944,   0.547,   1.119,   0.311, 32,  0,   0.675,   0.672,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
15:14:25:998, 2100477891474001,    1.096,   17.000, 4200,  21.523,   9.355,   2.599,  15.507,   2.817,   0.783, 45,  0,   0.930,   0.774,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
