System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:23:40:463, 2076553976282717,    0.110,    2.000,  800,  13.196,   1.452,   0.403,   2.127,   0.234,   0.065, 31,  0,   0.701,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:40:574, 2076554375203851,    0.221,    4.000, 1200,  13.969,   3.000,   0.833,   2.991,   0.565,   0.157, 31,  0,   0.691,   0.154,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:40:682, 2076554766498663,    0.330,    3.000,  800,  11.636,   4.265,   1.185,   0.530,   0.623,   0.173, 30,  0,   0.679,   0.227,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:40:790, 2076555156014759,    0.438,    2.000,  800,  11.551,   5.515,   1.532,   0.505,   0.678,   0.188, 31,  0,   0.674,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:40:901, 2076555554602689,    0.548,    3.000,  800,  11.622,   6.801,   1.889,   0.521,   0.735,   0.204, 31,  0,   0.676,   0.375,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:010, 2076555947270271,    0.658,    2.000,  800,  11.552,   8.061,   2.239,   0.494,   0.789,   0.219, 31,  0,   0.673,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:118, 2076556335905121,    0.765,    2.000,  800,  11.575,   9.311,   2.586,   0.501,   0.844,   0.234, 31,  0,   0.672,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:232, 2076556745283127,    0.879,    1.000,  800,  11.590,  10.629,   2.952,   0.493,   0.900,   0.250, 30,  0,   0.671,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:338, 2076557126876689,    0.985,    4.000,  800,  11.625,  11.861,   3.295,   0.555,   0.958,   0.266, 31,  0,   0.686,   0.670,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:450, 2076557531618921,    1.098,   21.000, 4200,  27.517,  14.955,   4.154,  16.506,   2.814,   0.782, 44,  0,   1.100,   0.794,   0.221,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:558, 2076557920424048,    1.206,   49.000, 4100,  41.252,  19.410,   5.392,  29.875,   6.041,   1.678, 45,  0,   2.026,   1.013,   0.281,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:665, 2076558305917564,    1.313,   28.000, 4200,  34.761,  23.132,   6.426,  23.607,   8.569,   2.380, 41,  0,   1.358,   1.158,   0.322,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:778, 2076558712205868,    1.426,   53.000, 4100,  46.240,  28.351,   7.875,  34.872,  12.504,   3.473, 42,  0,   1.983,   1.382,   0.384,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:887, 2076559104872973,    1.535,   47.000, 4200,  45.209,  33.282,   9.245,  33.784,  16.189,   4.497, 50,  0,   2.014,   1.602,   0.445,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:41:994, 2076559489768715,    1.642,    7.000,  800,  17.214,  35.122,   9.756,   5.979,  16.828,   4.675, 33,  0,   0.778,   1.685,   0.468,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:42:103, 2076559882245339,    1.751,    2.000,  800,  11.576,  36.385,  10.107,   0.512,  16.884,   4.690, 33,  0,   0.675,   1.758,   0.488,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:42:214, 2076560279441909,    1.861,    3.000,  800,  11.610,  37.666,  10.463,   0.578,  16.948,   4.708, 32,  0,   0.674,   1.833,   0.509,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:42:323, 2076560673094539,    1.970,    2.000,  800,  11.659,  38.940,  10.817,   0.519,  17.005,   4.723, 32,  0,   0.677,   1.907,   0.530,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:42:431, 2076561061199093,    2.078,    2.000,  800,  11.585,  40.189,  11.164,   0.498,  17.058,   4.738, 31,  0,   0.672,   1.979,   0.550,4095.875,4095.875,   0.000,   0.000,   0.000
