System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:23:30:807, 2076519216439997,    0.103,    2.000,  800,   5.922,   0.610,   0.169,   2.404,   0.247,   0.069, 32,  0,   0.711,   0.073,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:30:915, 2076519603203977,    0.210,    3.000,  800,   4.013,   1.041,   0.289,   0.589,   0.311,   0.086, 32,  0,   0.685,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:027, 2076520006894953,    0.323,    2.000,  800,   3.900,   1.478,   0.411,   0.503,   0.367,   0.102, 32,  0,   0.669,   0.222,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:136, 2076520398134481,    0.431,    2.000,  800,   3.916,   1.904,   0.529,   0.536,   0.425,   0.118, 32,  0,   0.668,   0.294,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:246, 2076520797084051,    0.542,   28.000, 4200,  18.906,   3.999,   1.111,  15.550,   2.149,   0.597, 42,  0,   0.889,   0.393,   0.109,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:355, 2076521189498967,    0.651,   30.000, 4200,  26.736,   6.913,   1.920,  23.289,   4.687,   1.302, 48,  0,   1.013,   0.503,   0.140,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:461, 2076521570835901,    0.757,   17.000, 4200,  20.159,   9.049,   2.513,  16.737,   6.460,   1.794, 45,  0,   0.793,   0.587,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:572, 2076521970688843,    0.868,   20.000, 4200,  21.447,  11.431,   3.175,  18.037,   8.463,   2.351, 43,  0,   0.835,   0.680,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:681, 2076522363039717,    0.977,   17.000, 4200,  20.260,  13.639,   3.789,  16.832,  10.298,   2.861, 41,  0,   0.807,   0.768,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:789, 2076522751690563,    1.085,   37.000, 4100,  31.276,  17.015,   4.726,  27.893,  13.309,   3.697, 48,  0,   1.124,   0.889,   0.247,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:31:899, 2076523147775926,    1.195,   42.000, 4100,  34.808,  20.845,   5.790,  31.250,  16.747,   4.652, 46,  0,   1.268,   1.029,   0.286,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:008, 2076523540033544,    1.304,   47.000, 4200,  38.128,  24.999,   6.944,  34.538,  20.511,   5.697, 49,  0,   1.400,   1.182,   0.328,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:118, 2076523936359033,    1.414,   34.000, 4200,  31.231,  28.438,   7.899,  27.796,  23.571,   6.547, 50,  0,   1.064,   1.299,   0.361,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:227, 2076524328697491,    1.523,   34.000, 4200,  30.728,  31.786,   8.830,  27.257,  26.541,   7.373, 51,  0,   1.051,   1.413,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:336, 2076524720974655,    1.632,   34.000, 4200,  30.059,  35.062,   9.739,  26.603,  29.440,   8.178, 46,  0,   1.039,   1.526,   0.424,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:450, 2076525131500053,    1.746,   40.000, 4200,  32.672,  38.788,  10.774,  29.126,  32.762,   9.100, 53,  0,   1.344,   1.680,   0.467,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:557, 2076525516728833,    1.853,   38.000, 4200,  31.890,  42.200,  11.722,  28.362,  35.797,   9.943, 45,  0,   1.352,   1.824,   0.507,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:664, 2076525902001739,    1.960,   34.000, 4200,  30.016,  45.413,  12.615,  26.522,  38.635,  10.732, 43,  0,   1.477,   1.982,   0.551,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:776, 2076526305059645,    2.072,   47.000, 4200,  36.961,  49.551,  13.764,  33.202,  42.352,  11.765, 50,  0,   1.970,   2.203,   0.612,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:885, 2076526697336441,    2.181,   20.000, 4200,  22.325,  51.983,  14.440,  18.839,  44.405,  12.335, 47,  0,   0.811,   2.291,   0.636,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:32:994, 2076527089828467,    2.290,   19.000, 4200,  20.892,  54.261,  15.073,  17.475,  46.310,  12.864, 47,  0,   0.808,   2.379,   0.661,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:104, 2076527485840377,    2.400,   17.000, 4200,  19.638,  56.421,  15.673,  16.217,  48.094,  13.360, 48,  0,   0.715,   2.458,   0.683,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:211, 2076527871106807,    2.507,   16.000, 4200,  19.785,  58.539,  16.261,  16.375,  49.847,  13.846, 46,  0,   0.718,   2.535,   0.704,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:323, 2076528274110619,    2.619,   17.000, 4100,  19.761,  60.751,  16.875,  16.357,  51.678,  14.355, 45,  0,   0.719,   2.615,   0.726,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:430, 2076528659522099,    2.726,   16.000, 4200,  19.647,  62.854,  17.459,  16.246,  53.417,  14.838, 48,  0,   0.739,   2.694,   0.748,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:540, 2076529055490283,    2.836,   21.000, 4200,  20.968,  65.160,  18.100,  17.532,  55.345,  15.374, 51,  0,   0.851,   2.788,   0.774,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:649, 2076529447926333,    2.945,   16.000, 4200,  19.749,  67.313,  18.698,  16.350,  57.128,  15.869, 49,  0,   0.792,   2.874,   0.798,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:758, 2076529840198613,    3.054,   16.000, 4200,  20.127,  69.506,  19.307,  16.685,  58.946,  16.374, 41,  0,   0.799,   2.961,   0.823,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:33:811, 2076530034132091,    3.108,   25.000, 4100,  23.349,  70.764,  19.657,  19.967,  60.021,  16.673, 49,  0,   0.926,   3.011,   0.836,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.107885
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 70.764282
Cumulative Processor Energy_0 (mWh) = 19.656745
Average Processor Power_0 (Watt) = 22.769273

Cumulative IA Energy_0 (Joules) = 60.021423
Cumulative IA Energy_0 (mWh) = 16.672618
Average IA Power_0 (Watt) = 19.312627

Cumulative DRAM Energy_0 (Joules) = 3.011292
Cumulative DRAM Energy_0 (mWh) = 0.836470
Average DRAM Power_0 (Watt) = 0.968920
