System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:22:25:887, 2076285504541907,    0.113,    3.000,  800,   5.620,   0.634,   0.176,   2.087,   0.235,   0.065, 32,  0,   0.712,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:25:994, 2076285890713219,    0.220,    2.000,  800,   3.894,   1.052,   0.292,   0.501,   0.289,   0.080, 31,  0,   0.671,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:104, 2076286286518247,    0.330,    2.000,  800,   3.900,   1.480,   0.411,   0.492,   0.343,   0.095, 32,  0,   0.670,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:214, 2076286682160561,    0.440,    8.000, 4200,   9.914,   2.570,   0.714,   6.606,   1.069,   0.297, 45,  0,   0.700,   0.303,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:324, 2076287076281129,    0.549,    2.000,  800,   6.276,   3.257,   0.905,   2.753,   1.371,   0.381, 32,  0,   0.683,   0.378,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:432, 2076287466805971,    0.658,    3.000,  800,   3.897,   3.680,   1.022,   0.514,   1.426,   0.396, 32,  0,   0.675,   0.451,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:540, 2076287854382131,    0.766,    5.000, 2800,   6.114,   4.338,   1.205,   2.701,   1.717,   0.477, 32,  0,   0.701,   0.526,   0.146,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:649, 2076288245889234,    0.874,    2.000,  800,   4.107,   4.784,   1.329,   0.690,   1.792,   0.498, 31,  0,   0.673,   0.600,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:763, 2076288656882315,    0.988,    2.000,  800,   3.903,   5.230,   1.453,   0.506,   1.850,   0.514, 32,  0,   0.673,   0.676,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:868, 2076289034457529,    1.093,   26.000, 4200,  22.344,   7.574,   2.104,  18.888,   3.831,   1.064, 43,  0,   1.056,   0.787,   0.219,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:26:977, 2076289426950025,    1.202,   20.000, 4200,  22.719,  10.050,   2.792,  19.221,   5.927,   1.646, 41,  0,   1.297,   0.928,   0.258,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:089, 2076289830086707,    1.314,   16.000, 4200,  20.303,  12.324,   3.423,  16.785,   7.806,   2.168, 38,  0,   1.328,   1.077,   0.299,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:197, 2076290218666020,    1.422,   35.000, 4100,  28.056,  15.352,   4.265,  24.328,  10.432,   2.898, 45,  0,   2.074,   1.301,   0.361,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:305, 2076290609585193,    1.531,   18.000, 4200,  22.689,  17.816,   4.949,  18.759,  12.469,   3.464, 36,  0,   1.533,   1.468,   0.408,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:415, 2076291003771919,    1.640,    1.000,  800,   7.099,  18.593,   5.165,   1.099,  12.590,   3.497, 33,  0,   0.677,   1.542,   0.428,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:524, 2076291396692877,    1.750,    8.000, 4300,   8.387,  19.509,   5.419,   2.481,  12.860,   3.572, 33,  0,   0.710,   1.619,   0.450,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:637, 2076291804615513,    1.863,    1.000,  800,   6.925,  20.294,   5.637,   0.942,  12.967,   3.602, 32,  0,   0.670,   1.695,   0.471,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:744, 2076292188620167,    1.969,    2.000,  800,   6.500,  20.987,   5.830,   0.522,  13.023,   3.617, 32,  0,   0.675,   1.767,   0.491,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:853, 2076292581401783,    2.079,    2.000,  800,   6.475,  21.693,   6.026,   0.522,  13.080,   3.633, 32,  0,   0.674,   1.841,   0.511,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:27:964, 2076292982410969,    2.190,    2.000,  800,   6.443,  22.411,   6.225,   0.509,  13.136,   3.649, 32,  0,   0.672,   1.916,   0.532,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:28:075, 2076293380416005,    2.301,    2.000, 1200,   7.339,  23.222,   6.451,   1.360,  13.287,   3.691, 32,  0,   0.688,   1.992,   0.553,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:28:184, 2076293771935865,    2.409,    3.000,  800,   6.499,  23.929,   6.647,   0.529,  13.344,   3.707, 32,  0,   0.678,   2.065,   0.574,4095.875,4095.875,   0.000,   0.000,   0.000
