System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:43:50:636, 2093870587916103,    0.110,    3.000,  800,  13.611,   1.501,   0.417,   2.439,   0.269,   0.075, 31,  0,   0.724,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:50:745, 2093870982662093,    0.220,    2.000,  800,  11.629,   2.776,   0.771,   0.520,   0.326,   0.091, 31,  0,   0.677,   0.154,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:50:856, 2093871382449127,    0.331,    2.000,  800,  11.576,   4.062,   1.128,   0.516,   0.383,   0.106, 31,  0,   0.673,   0.229,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:50:964, 2093871772244975,    0.439,    2.000,  800,  11.543,   5.312,   1.476,   0.508,   0.438,   0.122, 31,  0,   0.673,   0.302,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:076, 2093872173130307,    0.551,    2.000,  800,  11.642,   6.608,   1.836,   0.507,   0.495,   0.137, 31,  0,   0.674,   0.377,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:184, 2093872562937003,    0.659,    2.000,  800,  11.540,   7.858,   2.183,   0.505,   0.550,   0.153, 31,  0,   0.671,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:291, 2093872948021689,    0.766,    1.000,  800,  11.569,   9.095,   2.526,   0.497,   0.603,   0.167, 30,  0,   0.670,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:403, 2093873351083625,    0.878,    2.000,  800,  11.566,  10.390,   2.886,   0.497,   0.658,   0.183, 30,  0,   0.670,   0.596,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:511, 2093873739914027,    0.986,   15.000, 4200,  14.104,  11.914,   3.309,   3.042,   0.987,   0.274, 32,  0,   0.743,   0.676,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:620, 2093874130545903,    1.094,   18.000, 4200,  28.351,  14.990,   4.164,  17.173,   2.850,   0.792, 43,  0,   1.015,   0.786,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:732, 2093874533603310,    1.206,   20.000, 4100,  30.090,  18.359,   5.100,  19.162,   4.996,   1.388, 39,  0,   1.246,   0.926,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:840, 2093874922764266,    1.314,   31.000, 4200,  35.766,  22.225,   6.174,  24.287,   7.621,   2.117, 46,  0,   1.708,   1.111,   0.308,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:51:951, 2093875323088353,    1.426,   29.000,  800,  32.933,  25.887,   7.191,  21.752,  10.040,   2.789, 34,  0,   1.349,   1.261,   0.350,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:057, 2093875706782473,    1.532,    3.000,  800,  11.604,  27.124,   7.534,   0.594,  10.103,   2.806, 32,  0,   0.676,   1.333,   0.370,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:169, 2093876108763639,    1.644,    5.000,  800,  11.791,  28.441,   7.900,   0.694,  10.181,   2.828, 32,  0,   0.691,   1.410,   0.392,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:277, 2093876496954879,    1.752,   23.000, 4200,  29.106,  31.579,   8.772,  18.034,  12.125,   3.368, 42,  0,   0.959,   1.513,   0.420,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:387, 2093876892063127,    1.861,    8.000,  800,  18.470,  33.606,   9.335,   7.292,  12.926,   3.591, 32,  0,   0.838,   1.605,   0.446,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:496, 2093877284498605,    1.970,   16.000, 4200,  13.311,  35.057,   9.738,   2.248,  13.171,   3.659, 37,  0,   0.705,   1.682,   0.467,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:52:605, 2093877679167231,    2.080,    2.000,  800,  12.682,  36.448,  10.124,   1.668,  13.354,   3.709, 31,  0,   0.680,   1.757,   0.488,4095.875,4095.875,   0.000,   0.000,   0.000
