System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:45:37:432, 2094255056674413,    0.097,    2.000,  800,   5.755,   0.561,   0.156,   2.282,   0.222,   0.062, 31,  0,   0.701,   0.068,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:37:542, 2094255448770317,    0.206,    8.000, 3000,   6.549,   1.274,   0.354,   3.141,   0.564,   0.157, 31,  0,   0.723,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:37:653, 2094255849402109,    0.318,    3.000,  800,   4.213,   1.743,   0.484,   0.785,   0.652,   0.181, 32,  0,   0.689,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:37:761, 2094256241054129,    0.426,    2.000,  800,   3.887,   2.166,   0.602,   0.516,   0.708,   0.197, 31,  0,   0.666,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:37:871, 2094256636459917,    0.536,   23.000, 4200,  15.859,   3.908,   1.085,  12.443,   2.075,   0.576, 33,  0,   0.800,   0.384,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:37:982, 2094257035910331,    0.647,   27.000, 4200,  24.797,   6.659,   1.850,  21.413,   4.451,   1.236, 40,  0,   1.037,   0.499,   0.139,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:090, 2094257424444523,    0.755,   18.000, 4200,  20.370,   8.858,   2.460,  16.954,   6.280,   1.745, 47,  0,   0.819,   0.588,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:197, 2094257809628545,    0.862,   18.000, 4200,  20.875,  11.091,   3.081,  17.444,   8.147,   2.263, 40,  0,   0.814,   0.675,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:309, 2094258212917789,    0.974,   18.000, 4200,  20.280,  13.363,   3.712,  16.916,  10.042,   2.789, 48,  0,   0.816,   0.766,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:418, 2094258605657094,    1.083,   40.000, 4200,  33.614,  17.030,   4.731,  30.148,  13.331,   3.703, 48,  0,   1.234,   0.901,   0.250,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:529, 2094259004960737,    1.194,   44.000, 4200,  38.833,  21.337,   5.927,  35.231,  17.239,   4.789, 43,  0,   1.442,   1.061,   0.295,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:38:639, 2094259401011031,    1.304,   35.000, 4200,  31.659,  24.820,   6.895,  28.199,  20.341,   5.650, 44,  0,   1.114,   1.183,   0.329,4095.875,4095.875,   0.000,   0.000,   0.000
