System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:44:32:575, 2094021570002941,    0.098,    3.000,  800,   7.809,   0.765,   0.213,   4.299,   0.421,   0.117, 32,  0,   0.720,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:32:686, 2094021968161795,    0.209,    2.000,  800,   3.968,   1.204,   0.334,   0.548,   0.482,   0.134, 32,  0,   0.675,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:32:791, 2094022348974277,    0.314,    2.000,  800,   3.877,   1.614,   0.448,   0.504,   0.535,   0.149, 32,  0,   0.665,   0.216,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:32:903, 2094022749494839,    0.426,    9.000, 4200,  12.070,   2.957,   0.821,   8.638,   1.496,   0.416, 33,  0,   0.710,   0.295,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:010, 2094023136177359,    0.533,    1.000,  800,   4.394,   3.429,   0.953,   1.008,   1.604,   0.446, 32,  0,   0.671,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:119, 2094023528826559,    0.642,    2.000,  800,   3.932,   3.858,   1.072,   0.534,   1.663,   0.462, 32,  0,   0.672,   0.440,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:229, 2094023923644573,    0.752,    1.000,  800,   3.918,   4.288,   1.191,   0.505,   1.718,   0.477, 32,  0,   0.675,   0.514,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:339, 2094024320681527,    0.862,    2.000,  800,   3.949,   4.723,   1.312,   0.556,   1.779,   0.494, 32,  0,   0.672,   0.588,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:449, 2094024717191954,    0.972,    3.000,  800,   3.924,   5.155,   1.432,   0.529,   1.838,   0.510, 32,  0,   0.670,   0.662,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:558, 2094025108449911,    1.081,   24.000, 4200,  19.173,   7.239,   2.011,  15.763,   3.551,   0.986, 46,  0,   0.959,   0.766,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:670, 2094025511459179,    1.193,   22.000, 4100,  23.513,   9.871,   2.742,  19.962,   5.786,   1.607, 43,  0,   1.382,   0.921,   0.256,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:778, 2094025900322287,    1.301,   16.000, 4200,  21.366,  12.179,   3.383,  17.889,   7.718,   2.144, 41,  0,   1.191,   1.049,   0.292,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:889, 2094026299903245,    1.412,   16.000, 4200,  20.582,  14.464,   4.018,  17.047,   9.610,   2.669, 41,  0,   1.516,   1.218,   0.338,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:33:997, 2094026688693450,    1.520,   41.000, 4200,  32.993,  18.027,   5.008,  29.192,  12.763,   3.545, 44,  0,   2.364,   1.473,   0.409,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:107, 2094027084268839,    1.630,    7.000,  800,  11.454,  19.286,   5.357,   5.683,  13.387,   3.719, 33,  0,   0.855,   1.567,   0.435,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:214, 2094027469419063,    1.737,    2.000,  800,   6.482,  19.979,   5.550,   0.526,  13.443,   3.734, 32,  0,   0.676,   1.639,   0.455,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:325, 2094027870156179,    1.848,    2.000,  800,   6.468,  20.699,   5.750,   0.531,  13.503,   3.751, 32,  0,   0.668,   1.714,   0.476,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:434, 2094028263694519,    1.957,    2.000,  800,   6.439,  21.403,   5.945,   0.501,  13.557,   3.766, 32,  0,   0.669,   1.787,   0.496,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:544, 2094028657646273,    2.067,    6.000, 2800,   8.759,  22.362,   6.212,   2.762,  13.860,   3.850, 32,  0,   0.706,   1.864,   0.518,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:653, 2094029049121465,    2.176,    2.000,  800,   6.629,  23.083,   6.412,   0.713,  13.937,   3.871, 32,  0,   0.670,   1.937,   0.538,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:761, 2094029440827955,    2.284,    4.000,  800,   7.100,  23.855,   6.626,   1.127,  14.060,   3.906, 31,  0,   0.697,   2.013,   0.559,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:870, 2094029833800275,    2.393,    2.000,  800,   6.431,  24.557,   6.821,   0.485,  14.113,   3.920, 31,  0,   0.669,   2.086,   0.579,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:34:980, 2094030226942855,    2.503,    2.000,  800,   6.501,  25.267,   7.019,   0.498,  14.167,   3.935, 32,  0,   0.677,   2.160,   0.600,4095.875,4095.875,   0.000,   0.000,   0.000
14:44:35:041, 2094030447519293,    2.564,   11.000, 4200,   9.888,  25.873,   7.187,   4.030,  14.414,   4.004, 34,  0,   0.766,   2.207,   0.613,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.563972
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 25.872864
Cumulative Processor Energy_0 (mWh) = 7.186907
Average Processor Power_0 (Watt) = 10.090931

Cumulative IA Energy_0 (Joules) = 14.414063
Cumulative IA Energy_0 (mWh) = 4.003906
Average IA Power_0 (Watt) = 5.621771

Cumulative DRAM Energy_0 (Joules) = 2.206543
Cumulative DRAM Energy_0 (mWh) = 0.612929
Average DRAM Power_0 (Watt) = 0.860596
