System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:22:51:044, 2089336060263277,    0.110,    3.000,  800,  14.798,   1.622,   0.451,   3.737,   0.410,   0.114, 31,  0,   0.733,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:152, 2089336448104859,    0.217,    2.000,  800,  11.743,   2.887,   0.802,   0.649,   0.480,   0.133, 31,  0,   0.673,   0.153,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:260, 2089336836856431,    0.325,    2.000,  800,  11.638,   4.144,   1.151,   0.570,   0.541,   0.150, 31,  0,   0.674,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:372, 2089337239873043,    0.437,    2.000,  800,  11.680,   5.451,   1.514,   0.602,   0.609,   0.169, 30,  0,   0.675,   0.301,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:499, 2089337699538151,    0.565,   19.000, 4300,  12.824,   7.089,   1.969,   1.765,   0.834,   0.232, 39,  0,   0.690,   0.389,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:591, 2089338027908763,    0.656,    1.000,  800,  12.702,   8.247,   2.291,   1.611,   0.981,   0.272, 30,  0,   0.678,   0.451,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:701, 2089338425051113,    0.766,    3.000, 1000,  13.072,   9.690,   2.692,   2.043,   1.206,   0.335, 30,  0,   0.671,   0.525,   0.146,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:808, 2089338810759257,    0.874,    2.000,  800,  11.747,  10.948,   3.041,   0.584,   1.269,   0.352, 30,  0,   0.675,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:51:920, 2089339213319889,    0.985,    3.000,  800,  11.611,  12.246,   3.402,   0.628,   1.339,   0.372, 31,  0,   0.674,   0.673,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:027, 2089339599422657,    1.093,   18.000, 4200,  29.136,  15.371,   4.270,  17.938,   3.263,   0.906, 51,  0,   0.915,   0.771,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:167, 2089340103248387,    1.233,   16.000, 4200,  29.945,  19.562,   5.434,  18.873,   5.904,   1.640, 48,  0,   0.712,   0.871,   0.242,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:261, 2089340441620617,    1.327,   16.000, 4200,  29.896,  22.372,   6.214,  18.820,   7.673,   2.131, 49,  0,   0.707,   0.937,   0.260,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:450, 2089341122032811,    1.516,   17.000, 4200,  29.606,  27.968,   7.769,  18.686,  11.205,   3.112, 48,  0,   0.726,   1.074,   0.298,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:639, 2089341802410195,    1.705,   21.000, 4200,  29.173,  33.481,   9.300,  18.012,  14.609,   4.058, 44,  0,   1.226,   1.306,   0.363,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:685, 2089341967799335,    1.751,   34.000, 4200,  37.216,  35.191,   9.775,  25.989,  15.803,   4.390, 42,  0,   1.782,   1.388,   0.386,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:792, 2089342353395289,    1.858,    1.000, 1200,  16.336,  36.941,  10.261,   4.968,  16.335,   4.538, 32,  0,   0.811,   1.475,   0.410,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:52:901, 2089342744172763,    1.966,    2.000,  800,  11.560,  38.196,  10.610,   0.550,  16.395,   4.554, 32,  0,   0.672,   1.548,   0.430,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:012, 2089343144426677,    2.077,    3.000,  800,  11.585,  39.484,  10.968,   0.538,  16.455,   4.571, 32,  0,   0.674,   1.622,   0.451,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:122, 2089343540363455,    2.187,    2.000,  800,  11.579,  40.757,  11.321,   0.511,  16.511,   4.586, 31,  0,   0.673,   1.697,   0.471,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:229, 2089343925718431,    2.294,    3.000,  800,  11.611,  42.000,  11.667,   0.549,  16.570,   4.603, 31,  0,   0.676,   1.769,   0.491,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:338, 2089344317782839,    2.403,    3.000,  800,  11.609,  43.265,  12.018,   0.536,  16.628,   4.619, 31,  0,   0.679,   1.843,   0.512,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:449, 2089344718253417,    2.515,    2.000,  800,  11.565,  44.551,  12.375,   0.521,  16.686,   4.635, 31,  0,   0.669,   1.917,   0.533,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:557, 2089345107034751,    2.623,    5.000, 2100,  14.126,  46.077,  12.799,   3.054,  17.016,   4.727, 31,  0,   0.731,   1.996,   0.554,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:668, 2089345504899489,    2.733,    2.000,  800,  11.781,  47.379,  13.161,   0.657,  17.089,   4.747, 31,  0,   0.675,   2.071,   0.575,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:53:726, 2089345716727198,    2.792,   10.000, 4100,  15.797,  48.308,  13.419,   4.802,  17.371,   4.825, 37,  0,   0.768,   2.116,   0.588,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.791965
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 48.308167
Cumulative Processor Energy_0 (mWh) = 13.418935
Average Processor Power_0 (Watt) = 17.302566

Cumulative IA Energy_0 (Joules) = 17.371033
Cumulative IA Energy_0 (mWh) = 4.825287
Average IA Power_0 (Watt) = 6.221794

Cumulative DRAM Energy_0 (Joules) = 2.115906
Cumulative DRAM Energy_0 (mWh) = 0.587752
Average DRAM Power_0 (Watt) = 0.757855
