System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:23:54:574, 2089564767887829,    0.102,    5.000, 4200,   9.961,   1.017,   0.283,   6.439,   0.657,   0.183, 32,  0,   0.786,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:54:683, 2089565160996313,    0.211,    7.000, 4200,   6.961,   1.777,   0.494,   3.435,   1.033,   0.287, 32,  0,   0.713,   0.158,   0.044,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:54:792, 2089565553224421,    0.320,    2.000,  800,   4.551,   2.273,   0.631,   1.182,   1.161,   0.323, 32,  0,   0.674,   0.232,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:54:901, 2089565945757359,    0.429,    3.000,  800,   4.019,   2.711,   0.753,   0.583,   1.225,   0.340, 32,  0,   0.686,   0.306,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:012, 2089566345554483,    0.540,   26.000, 4200,  16.464,   4.540,   1.261,  13.033,   2.672,   0.742, 41,  0,   0.970,   0.414,   0.115,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:123, 2089566745016919,    0.651,   32.000, 4100,  27.202,   7.558,   2.099,  23.713,   5.304,   1.473, 37,  0,   1.069,   0.533,   0.148,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:230, 2089567130047985,    0.758,    8.000, 2300,  12.003,   8.842,   2.456,   8.616,   6.225,   1.729, 33,  0,   0.823,   0.621,   0.172,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:340, 2089567527908763,    0.869,    9.000,  800,   4.492,   9.338,   2.594,   1.065,   6.343,   1.762, 32,  0,   0.704,   0.698,   0.194,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:448, 2089567912273690,    0.976,   27.000, 4100,  18.899,  11.356,   3.154,  15.506,   7.998,   2.222, 38,  0,   0.995,   0.805,   0.224,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:55:560, 2089568315511523,    1.088,   35.000, 4200,  32.215,  14.964,   4.157,  28.706,  11.214,   3.115, 44,  0,   1.197,   0.939,   0.261,4095.875,4095.875,   0.000,   0.000,   0.000
