System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:21:05:980, 2088957828271705,    0.104,    3.000,  800,   5.774,   0.603,   0.167,   2.352,   0.245,   0.068, 31,  0,   0.709,   0.074,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:090, 2088958224407289,    0.214,    3.000,  800,   4.004,   1.043,   0.290,   0.603,   0.312,   0.087, 31,  0,   0.678,   0.149,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:198, 2088958613258588,    0.322,    2.000,  800,   3.993,   1.475,   0.410,   0.592,   0.376,   0.104, 31,  0,   0.675,   0.221,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:307, 2088959006740591,    0.432,    3.000,  800,   4.016,   1.914,   0.532,   0.622,   0.444,   0.123, 31,  0,   0.673,   0.295,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:418, 2088959406026689,    0.543,    2.000,  800,   4.000,   2.357,   0.655,   0.598,   0.510,   0.142, 32,  0,   0.672,   0.370,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:527, 2088959796870441,    0.651,    7.000, 4000,   5.898,   2.997,   0.833,   2.476,   0.779,   0.216, 31,  0,   0.701,   0.446,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:635, 2088960189391343,    0.760,    1.000,  800,   4.395,   3.477,   0.966,   0.995,   0.887,   0.246, 31,  0,   0.671,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:747, 2088960589233265,    0.871,    2.000,  800,   3.970,   3.918,   1.088,   0.573,   0.951,   0.264, 31,  0,   0.672,   0.594,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:856, 2088960984873245,    0.981,    2.000,  800,   4.640,   4.428,   1.230,   1.236,   1.087,   0.302, 31,  0,   0.679,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:06:965, 2088961375408111,    1.090,   21.000, 4200,  21.674,   6.779,   1.883,  16.977,   2.928,   0.813, 49,  0,   0.891,   0.765,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:072, 2088961760618575,    1.197,   18.000, 4200,  25.794,   9.539,   2.650,  19.824,   5.050,   1.403, 49,  0,   0.743,   0.844,   0.235,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:185, 2088962167397615,    1.310,   17.000, 4200,  25.297,  12.397,   3.444,  19.338,   7.235,   2.010, 51,  0,   0.715,   0.925,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:342, 2088962732296977,    1.467,   19.000, 4200,  25.762,  16.440,   4.567,  19.808,  10.343,   2.873, 52,  0,   0.720,   1.038,   0.288,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:458, 2088963150384849,    1.583,   18.000, 4200,  24.967,  19.339,   5.372,  19.034,  12.553,   3.487, 47,  0,   0.717,   1.121,   0.311,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:731, 2088964134286436,    1.856,   19.000, 4200,  25.608,  26.338,   7.316,  19.565,  17.901,   4.972, 47,  0,   0.760,   1.329,   0.369,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:814, 2088964431508759,    1.939,   19.000, 4200,  24.764,  28.383,   7.884,  18.936,  19.464,   5.407, 52,  0,   0.738,   1.390,   0.386,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:899, 2088964737864821,    2.024,   20.000, 4200,  25.707,  30.570,   8.492,  19.737,  21.144,   5.873, 52,  0,   0.855,   1.463,   0.406,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:07:947, 2088964910648713,    2.072,   18.000, 4200,  27.219,  31.877,   8.855,  21.198,  22.161,   6.156, 49,  0,   1.069,   1.514,   0.421,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:097, 2088965450744139,    2.222,   48.000, 4200,  24.789,  35.596,   9.888,  18.766,  24.976,   6.938, 44,  0,   1.022,   1.667,   0.463,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:167, 2088965702659261,    2.292,   22.000, 4200,  33.797,  37.961,  10.545,  27.546,  26.904,   7.473, 45,  0,   1.910,   1.801,   0.500,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:280, 2088966109401711,    2.405,   17.000, 4200,  24.081,  40.682,  11.300,  18.048,  28.943,   8.040, 43,  0,   1.114,   1.927,   0.535,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:460, 2088966759251505,    2.585,   43.000, 4200,  23.546,  44.932,  12.481,  17.399,  32.084,   8.912, 40,  0,   1.409,   2.181,   0.606,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:566, 2088967140923951,    2.691,   29.000, 4200,  30.784,  48.196,  13.388,  24.515,  34.683,   9.634, 43,  0,   1.957,   2.389,   0.664,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:606, 2088967283556711,    2.731,    1.000, 3600,  10.571,  48.615,  13.504,   4.395,  34.857,   9.682, 34,  0,   0.679,   2.416,   0.671,4095.875,4095.875,   0.000,   0.000,   0.000
14:21:08:714, 2088967670400471,    2.838,    2.000,  800,   6.868,  49.353,  13.709,   0.943,  34.958,   9.711, 33,  0,   0.676,   2.488,   0.691,4095.875,4095.875,   0.000,   0.000,   0.000
