System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:04:41:215, 2098372671039017,    0.100,    2.000,  800,  13.482,   1.352,   0.376,   2.377,   0.238,   0.066, 31,  0,   0.703,   0.070,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:323, 2098373062144891,    0.209,    2.000,  800,  11.604,   2.613,   0.726,   0.499,   0.293,   0.081, 32,  0,   0.674,   0.144,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:434, 2098373462313875,    0.320,    2.000,  800,  11.543,   3.896,   1.082,   0.493,   0.347,   0.096, 31,  0,   0.670,   0.218,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:541, 2098373846170657,    0.427,    3.000, 2200,  14.992,   5.495,   1.526,   3.878,   0.761,   0.211, 31,  0,   0.703,   0.293,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:652, 2098374245732359,    0.538,    2.000,  800,  11.646,   6.787,   1.885,   0.574,   0.824,   0.229, 31,  0,   0.672,   0.368,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:763, 2098374643625676,    0.648,    3.000,  800,  11.523,   8.061,   2.239,   0.519,   0.882,   0.245, 31,  0,   0.676,   0.442,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:870, 2098375029123293,    0.755,    2.000,  800,  11.569,   9.300,   2.583,   0.511,   0.937,   0.260, 31,  0,   0.671,   0.514,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:41:981, 2098375429851213,    0.867,    2.000,  800,  11.634,  10.595,   2.943,   0.496,   0.992,   0.275, 31,  0,   0.674,   0.589,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:091, 2098375824940071,    0.976,    2.000,  800,  11.498,  11.857,   3.294,   0.508,   1.047,   0.291, 31,  0,   0.666,   0.662,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:201, 2098376222459605,    1.087,   16.000, 4200,  23.996,  14.506,   4.030,  12.822,   2.463,   0.684, 44,  0,   0.984,   0.771,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:307, 2098376603960809,    1.193,   17.000, 4100,  29.688,  17.652,   4.903,  18.584,   4.433,   1.231, 51,  0,   0.951,   0.872,   0.242,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:417, 2098376999937275,    1.303,   18.000, 4100,  29.577,  20.906,   5.807,  18.465,   6.464,   1.795, 49,  0,   0.831,   0.963,   0.268,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:610, 2098377696712856,    1.496,   19.000, 4200,  30.381,  26.786,   7.441,  19.375,  10.214,   2.837, 42,  0,   1.037,   1.164,   0.323,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:694, 2098377997057943,    1.580,   19.000, 4200,  30.103,  29.297,   8.138,  18.671,  11.771,   3.270, 46,  0,   1.184,   1.263,   0.351,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:795, 2098378361776237,    1.681,   31.000, 4200,  28.517,  32.187,   8.941,  17.448,  13.539,   3.761, 40,  0,   1.381,   1.403,   0.390,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:855, 2098378574740839,    1.740,   20.000, 4200,  30.398,  33.985,   9.440,  19.165,  14.673,   4.076, 34,  0,   1.367,   1.484,   0.412,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:42:965, 2098378972922225,    1.851,    2.000,  800,  12.326,  35.348,   9.819,   1.183,  14.804,   4.112, 33,  0,   0.683,   1.559,   0.433,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:073, 2098379360691681,    1.959,    3.000,  800,  11.522,  36.589,  10.164,   0.532,  14.861,   4.128, 32,  0,   0.673,   1.631,   0.453,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:185, 2098379765519845,    2.071,    3.000,  800,  11.684,  37.903,  10.529,   0.562,  14.924,   4.146, 31,  0,   0.684,   1.708,   0.475,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:295, 2098380159208309,    2.180,    2.000,  800,  11.542,  39.165,  10.879,   0.508,  14.980,   4.161, 32,  0,   0.670,   1.782,   0.495,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:405, 2098380557663546,    2.291,    2.000,  800,  11.606,  40.450,  11.236,   0.510,  15.036,   4.177, 31,  0,   0.677,   1.857,   0.516,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:512, 2098380941275215,    2.398,   12.000, 4200,  13.216,  41.858,  11.627,   2.228,  15.273,   4.243, 32,  0,   0.693,   1.931,   0.536,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:621, 2098381333063239,    2.506,    1.000,  800,  12.260,  43.192,  11.998,   1.154,  15.399,   4.277, 32,  0,   0.674,   2.004,   0.557,4095.875,4095.875,   0.000,   0.000,   0.000
15:04:43:729, 2098381723538377,    2.615,    3.000,  800,  11.645,  44.455,  12.349,   0.525,  15.456,   4.293, 31,  0,   0.682,   2.078,   0.577,4095.875,4095.875,   0.000,   0.000,   0.000
