System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:03:15:453, 2098063929625939,    0.112,    2.000,  800,   5.923,   0.665,   0.185,   2.370,   0.266,   0.074, 32,  0,   0.708,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:15:560, 2098064313391093,    0.219,    5.000, 1900,   6.192,   1.325,   0.368,   2.819,   0.567,   0.157, 32,  0,   0.698,   0.154,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:15:669, 2098064705998911,    0.328,   14.000, 3900,  11.341,   2.562,   0.712,   7.917,   1.430,   0.397, 33,  0,   0.828,   0.244,   0.068,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:15:778, 2098065100141304,    0.437,    4.000,  800,   5.095,   3.120,   0.867,   1.675,   1.613,   0.448, 32,  0,   0.691,   0.320,   0.089,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:15:886, 2098065488966599,    0.545,    5.000, 2800,   5.166,   3.678,   1.022,   1.768,   1.804,   0.501, 32,  0,   0.691,   0.395,   0.110,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:15:999, 2098065895970957,    0.658,    3.000,  800,   4.169,   4.149,   1.153,   0.762,   1.891,   0.525, 32,  0,   0.676,   0.471,   0.131,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:104, 2098066274762279,    0.764,    3.000,  800,   3.964,   4.566,   1.268,   0.568,   1.950,   0.542, 32,  0,   0.670,   0.542,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:214, 2098066669419595,    0.873,    3.000,  800,   3.985,   5.003,   1.390,   0.568,   2.013,   0.559, 32,  0,   0.675,   0.615,   0.171,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:323, 2098067061455269,    0.982,    4.000,  800,   3.993,   5.438,   1.511,   0.587,   2.077,   0.577, 32,  0,   0.671,   0.689,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:436, 2098067466998129,    1.095,   18.000, 4200,  18.879,   7.565,   2.101,  15.580,   3.832,   1.064, 49,  0,   1.030,   0.805,   0.224,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:542, 2098067848364789,    1.201,   35.000, 4200,  26.719,  10.395,   2.888,  23.161,   6.285,   1.746, 42,  0,   1.183,   0.930,   0.258,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:16:651, 2098068240974448,    1.310,   22.000, 4200,  26.293,  13.263,   3.684,  22.812,   8.773,   2.437, 46,  0,   1.023,   1.042,   0.289,4095.875,4095.875,   0.000,   0.000,   0.000
