System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:03:21:342, 2098085128437039,    0.108,    2.000,  800,   8.440,   0.911,   0.253,   2.360,   0.255,   0.071, 32,  0,   0.712,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:449, 2098085513600571,    0.215,    2.000,  800,   6.510,   1.608,   0.447,   0.556,   0.314,   0.087, 31,  0,   0.674,   0.149,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:559, 2098085908966403,    0.325,    5.000, 2200,   8.796,   2.574,   0.715,   2.826,   0.625,   0.174, 32,  0,   0.699,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:666, 2098086297035932,    0.433,    2.000,  800,   6.603,   3.286,   0.913,   0.634,   0.693,   0.192, 32,  0,   0.677,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:776, 2098086690508208,    0.542,    7.000, 4100,   9.652,   4.341,   1.206,   3.829,   1.111,   0.309, 33,  0,   0.727,   0.378,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:885, 2098087084658818,    0.651,    8.000, 1500,  14.761,   5.957,   1.655,   8.632,   2.056,   0.571, 32,  0,   0.792,   0.465,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:21:996, 2098087484348207,    0.762,    1.000,  800,   6.549,   6.684,   1.857,   0.594,   2.122,   0.590, 32,  0,   0.672,   0.539,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:108, 2098087888864865,    0.875,    2.000,  800,   7.147,   7.487,   2.080,   1.210,   2.258,   0.627, 31,  0,   0.683,   0.616,   0.171,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:217, 2098088277652761,    0.983,    4.000, 1300,   7.432,   8.290,   2.303,   1.474,   2.418,   0.672, 32,  0,   0.691,   0.691,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:327, 2098088675320504,    1.093,   16.000, 4200,  17.141,  10.183,   2.829,  11.339,   3.670,   1.019, 46,  0,   0.910,   0.791,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:437, 2098089071482925,    1.203,   18.000, 4200,  25.566,  12.997,   3.610,  19.564,   5.823,   1.617, 43,  0,   1.204,   0.924,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:700, 2098090020378879,    1.467,   36.000, 4200,  24.985,  19.582,   5.440,  18.873,  10.798,   2.999, 43,  0,   1.485,   1.315,   0.365,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:760, 2098090234362245,    1.526,   40.000, 4200,  31.993,  21.484,   5.968,  26.045,  12.346,   3.429, 47,  0,   1.587,   1.409,   0.392,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:872, 2098090637736559,    1.638,   29.000, 4200,  29.914,  24.836,   6.899,  23.160,  14.941,   4.150, 34,  0,   2.208,   1.657,   0.460,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:22:982, 2098091033711481,    1.748,    1.000,  800,   7.056,  25.612,   7.114,   1.096,  15.061,   4.184, 33,  0,   0.677,   1.731,   0.481,4095.875,4095.875,   0.000,   0.000,   0.000
