System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:22:09:606, 2102146876897979,    0.109,    3.000,  800,  13.272,   1.443,   0.401,   2.083,   0.227,   0.063, 31,  0,   0.698,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:09:713, 2102147265631389,    0.217,    2.000,  800,  11.599,   2.695,   0.749,   0.531,   0.284,   0.079, 31,  0,   0.672,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:09:823, 2102147659180229,    0.326,    3.000,  800,  11.576,   3.961,   1.100,   0.546,   0.344,   0.095, 31,  0,   0.675,   0.222,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:09:933, 2102148055166783,    0.436,    2.000,  800,  11.973,   5.278,   1.466,   0.907,   0.443,   0.123, 31,  0,   0.674,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:044, 2102148455408389,    0.547,    2.000,  800,  11.544,   6.561,   1.823,   0.495,   0.498,   0.138, 31,  0,   0.672,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:153, 2102148847501989,    0.656,    2.000,  800,  11.584,   7.823,   2.173,   0.506,   0.554,   0.154, 31,  0,   0.672,   0.444,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:262, 2102149240485541,    0.765,    2.000,  800,  11.567,   9.086,   2.524,   0.523,   0.611,   0.170, 31,  0,   0.678,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:373, 2102149640765227,    0.876,    2.000,  800,  11.543,  10.369,   2.880,   0.490,   0.665,   0.185, 32,  0,   0.670,   0.593,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:501, 2102150098994157,    1.004,   19.000, 4200,  13.299,  12.062,   3.351,   2.212,   0.947,   0.263, 39,  0,   0.697,   0.681,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
15:22:10:591, 2102150424978317,    1.094,   17.000, 4200,  29.985,  14.777,   4.105,  19.013,   2.668,   0.741, 47,  0,   0.950,   0.767,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
