System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:21:33:201, 2102015822042512,    0.107,    2.000,  800,   5.738,   0.613,   0.170,   2.265,   0.242,   0.067, 33,  0,   0.711,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:308, 2102016206368941,    0.214,   10.000, 4200,  11.653,   1.857,   0.516,   8.373,   1.136,   0.315, 41,  0,   0.782,   0.159,   0.044,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:418, 2102016601777101,    0.323,    2.000,  800,   6.005,   2.516,   0.699,   2.489,   1.409,   0.391, 32,  0,   0.692,   0.235,   0.065,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:526, 2102016989164173,    0.431,    8.000, 3300,   6.384,   3.203,   0.890,   2.972,   1.729,   0.480, 33,  0,   0.720,   0.313,   0.087,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:636, 2102017388240395,    0.542,    3.000,  800,   4.497,   3.702,   1.028,   1.074,   1.848,   0.513, 32,  0,   0.693,   0.390,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:747, 2102017784972823,    0.652,    2.000,  800,   3.944,   4.136,   1.149,   0.548,   1.908,   0.530, 32,  0,   0.675,   0.464,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:857, 2102018181103745,    0.762,    2.000,  800,   3.940,   4.570,   1.269,   0.538,   1.968,   0.547, 32,  0,   0.675,   0.538,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:33:963, 2102018565380183,    0.869,    3.000,  800,   3.966,   4.993,   1.387,   0.551,   2.026,   0.563, 32,  0,   0.679,   0.611,   0.170,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:074, 2102018962402477,    0.979,    2.000,  800,   3.893,   5.423,   1.506,   0.505,   2.082,   0.578, 32,  0,   0.669,   0.685,   0.190,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:183, 2102019356201495,    1.088,   15.000, 4200,  14.411,   6.999,   1.944,  11.081,   3.294,   0.915, 44,  0,   0.824,   0.775,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:296, 2102019762968701,    1.201,   19.000, 4200,  22.360,   9.526,   2.646,  18.963,   5.437,   1.510, 50,  0,   0.960,   0.883,   0.245,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:401, 2102020141108761,    1.307,   25.000, 4200,  25.900,  12.246,   3.402,  22.470,   7.797,   2.166, 46,  0,   1.041,   0.992,   0.276,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:514, 2102020549894254,    1.420,   24.000, 4200,  26.999,  15.312,   4.253,  23.446,  10.459,   2.905, 41,  0,   1.026,   1.109,   0.308,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:621, 2102020933615034,    1.527,   66.000, 4100,  27.441,  18.237,   5.066,  24.298,  13.049,   3.625, 42,  0,   1.042,   1.220,   0.339,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:732, 2102021332907649,    1.638,   45.000, 4200,  40.392,  22.717,   6.310,  36.625,  17.112,   4.753, 46,  0,   1.509,   1.387,   0.385,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:839, 2102021717797079,    1.744,   45.000, 4200,  33.566,  26.305,   7.307,  29.937,  20.312,   5.642, 45,  0,   1.169,   1.512,   0.420,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:34:950, 2102022117495363,    1.856,   28.000, 4200,  27.491,  29.358,   8.155,  23.950,  22.971,   6.381, 46,  0,   1.231,   1.649,   0.458,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:35:058, 2102022506128180,    1.963,   52.000, 4100,  35.650,  33.206,   9.224,  32.313,  26.460,   7.350, 45,  0,   1.217,   1.780,   0.495,4095.875,4095.875,   0.000,   0.000,   0.000
15:21:35:168, 2102022902342819,    2.074,   26.000, 4200,  27.026,  36.180,  10.050,  23.365,  29.031,   8.064, 52,  0,   1.211,   1.914,   0.532,4095.875,4095.875,   0.000,   0.000,   0.000
