System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:20:22:544, 2101761456451231,    0.098,    6.000, 1400,   9.725,   0.952,   0.264,   3.821,   0.374,   0.104, 32,  0,   0.735,   0.072,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:22:655, 2101761853536769,    0.208,    2.000,  800,   6.582,   1.678,   0.466,   0.575,   0.438,   0.122, 31,  0,   0.676,   0.146,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:22:762, 2101762239369127,    0.315,    3.000,  800,   6.486,   2.373,   0.659,   0.540,   0.495,   0.138, 32,  0,   0.677,   0.219,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:22:872, 2101762635750767,    0.425,   14.000, 4200,  19.935,   4.568,   1.269,  13.965,   2.033,   0.565, 35,  0,   0.989,   0.328,   0.091,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:22:982, 2101763032312607,    0.536,    1.000,  800,   7.825,   5.430,   1.508,   1.855,   2.237,   0.622, 32,  0,   0.674,   0.402,   0.112,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:091, 2101763425016783,    0.645,    3.000,  800,   6.521,   6.141,   1.706,   0.567,   2.299,   0.639, 32,  0,   0.677,   0.476,   0.132,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:198, 2101763809609881,    0.752,    2.000,  800,   6.492,   6.835,   1.899,   0.528,   2.356,   0.654, 32,  0,   0.674,   0.548,   0.152,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:309, 2101764209753615,    0.863,    2.000,  800,   6.463,   7.553,   2.098,   0.513,   2.413,   0.670, 32,  0,   0.669,   0.622,   0.173,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:417, 2101764598248947,    0.971,    3.000,  800,   6.483,   8.253,   2.292,   0.524,   2.469,   0.686, 32,  0,   0.680,   0.696,   0.193,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:526, 2101764991917977,    1.080,   22.000, 4200,  18.174,  10.240,   2.845,  12.365,   3.821,   1.062, 48,  0,   0.936,   0.798,   0.222,4095.875,4095.875,   0.000,   0.000,   0.000
15:20:23:640, 2101765398807883,    1.193,   17.000, 4200,  24.640,  13.025,   3.618,  18.631,   5.927,   1.646, 52,  0,   0.834,   0.892,   0.248,4095.875,4095.875,   0.000,   0.000,   0.000
