System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:26:00:603, 2077058479923065,    0.100,    2.000,  800,  13.507,   1.346,   0.374,   2.423,   0.241,   0.067, 31,  0,   0.695,   0.069,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:00:713, 2077058875933115,    0.210,    3.000, 1900,  12.356,   2.705,   0.751,   1.177,   0.371,   0.103, 31,  0,   0.721,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:00:822, 2077059268196179,    0.319,    4.000, 4000,  11.667,   3.976,   1.105,   0.713,   0.449,   0.125, 30,  0,   0.695,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:00:930, 2077059658410766,    0.427,    2.000,  800,  12.447,   5.325,   1.479,   1.303,   0.590,   0.164, 31,  0,   0.703,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:043, 2077060065931315,    0.540,    3.000,  800,  11.573,   6.635,   1.843,   0.528,   0.650,   0.180, 31,  0,   0.675,   0.377,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:151, 2077060451981693,    0.647,    2.000,  800,  11.553,   7.874,   2.187,   0.511,   0.704,   0.196, 31,  0,   0.670,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:258, 2077060840212179,    0.755,    5.000,  800,  11.683,   9.134,   2.537,   0.602,   0.769,   0.214, 31,  0,   0.685,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:371, 2077061244492903,    0.868,    1.000,  800,  12.510,  10.539,   2.928,   1.455,   0.933,   0.259, 31,  0,   0.712,   0.603,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:497, 2077061697508289,    0.993,   19.000, 4200,  12.818,  12.152,   3.376,   1.825,   1.162,   0.323, 38,  0,   0.690,   0.689,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:01:591, 2077062037469377,    1.088,   21.000, 4200,  31.587,  15.135,   4.204,  20.266,   3.076,   0.854, 42,  0,   1.174,   0.800,   0.222,4095.875,4095.875,   0.000,   0.000,   0.000
