System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:27:711, 2076940071537245,    0.106,    2.000,  800,   5.717,   0.608,   0.169,   2.240,   0.238,   0.066, 32,  0,   0.715,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:27:825, 2076940478267315,    0.219,    4.000,  800,   3.986,   1.058,   0.294,   0.581,   0.304,   0.084, 32,  0,   0.686,   0.153,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:27:930, 2076940859104115,    0.325,   13.000, 1600,  12.635,   2.395,   0.665,   9.209,   1.278,   0.355, 33,  0,   0.823,   0.240,   0.067,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:039, 2076941252747481,    0.434,    3.000,  800,   4.154,   2.849,   0.791,   0.744,   1.359,   0.378, 32,  0,   0.724,   0.320,   0.089,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:151, 2076941653312475,    0.546,   32.000, 4100,  18.695,   4.929,   1.369,  15.254,   3.057,   0.849, 38,  0,   1.016,   0.433,   0.120,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:260, 2076942045444425,    0.655,   29.000, 4200,  27.156,   7.887,   2.191,  23.635,   5.631,   1.564, 41,  0,   1.078,   0.550,   0.153,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:369, 2076942439515009,    0.764,   10.000, 2100,  12.083,   9.210,   2.558,   8.705,   6.584,   1.829, 33,  0,   0.834,   0.641,   0.178,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:489, 2076942871073031,    0.884,   39.000, 4200,  20.415,  11.657,   3.238,  17.040,   8.627,   2.396, 42,  0,   1.077,   0.771,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:590, 2076943232908045,    0.984,    5.000, 1500,   9.536,  12.616,   3.504,   6.009,   9.231,   2.564, 32,  0,   0.740,   0.845,   0.235,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:700, 2076943629801224,    1.095,   23.000, 4200,  20.324,  14.856,   4.127,  16.861,  11.090,   3.080, 43,  0,   0.973,   0.952,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:807, 2076944015435980,    1.202,   28.000, 4200,  26.160,  17.659,   4.905,  22.717,  13.523,   3.756, 49,  0,   1.080,   1.068,   0.297,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:28:917, 2076944411012447,    1.312,   20.000, 4200,  24.106,  20.307,   5.641,  20.575,  15.784,   4.384, 51,  0,   1.084,   1.187,   0.330,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:29:026, 2076944803411708,    1.421,   19.000, 4100,  22.910,  22.805,   6.335,  19.464,  17.905,   4.974, 49,  0,   0.968,   1.293,   0.359,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:29:135, 2076945195861879,    1.530,   18.000, 4200,  22.356,  25.242,   7.012,  18.881,  19.964,   5.545, 48,  0,   1.052,   1.407,   0.391,4095.875,4095.875,   0.000,   0.000,   0.000
13:25:29:247, 2076945599010785,    1.642,   21.000, 4100,  21.949,  27.700,   7.694,  18.502,  22.036,   6.121, 46,  0,   0.960,   1.515,   0.421,4095.875,4095.875,   0.000,   0.000,   0.000
