System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:26:42:633, 2077209789152617,    0.106,    2.000,  800,   5.910,   0.624,   0.173,   2.351,   0.248,   0.069, 31,  0,   0.720,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:42:742, 2077210183123925,    0.215,    3.000,  800,   3.930,   1.054,   0.293,   0.542,   0.308,   0.085, 32,  0,   0.678,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:42:852, 2077210577466887,    0.325,    2.000,  800,   3.929,   1.485,   0.412,   0.510,   0.364,   0.101, 31,  0,   0.674,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:42:965, 2077210982381377,    0.437,    1.000,  800,   3.908,   1.924,   0.534,   0.521,   0.422,   0.117, 31,  0,   0.670,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:071, 2077211365350303,    0.543,    2.000,  800,   3.943,   2.344,   0.651,   0.520,   0.477,   0.133, 31,  0,   0.674,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:182, 2077211764092751,    0.654,    2.000,  800,   3.884,   2.774,   0.771,   0.506,   0.534,   0.148, 31,  0,   0.666,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:292, 2077212160436227,    0.764,    2.000,  800,   3.930,   3.206,   0.891,   0.496,   0.588,   0.163, 31,  0,   0.675,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:402, 2077212557100751,    0.874,    1.000,  800,   3.896,   3.636,   1.010,   0.500,   0.643,   0.179, 32,  0,   0.669,   0.593,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:510, 2077212947218685,    0.983,   11.000, 4200,   5.691,   4.253,   1.181,   2.321,   0.895,   0.249, 32,  0,   0.695,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:619, 2077213336912157,    1.091,   25.000, 4200,  22.775,   6.718,   1.866,  19.406,   2.995,   0.832, 46,  0,   1.081,   0.785,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:728, 2077213729761057,    1.200,   18.000, 4200,  24.835,   9.428,   2.619,  19.621,   5.137,   1.427, 46,  0,   1.304,   0.928,   0.258,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:860, 2077214204581331,    1.332,   20.000, 4200,  23.116,  12.477,   3.466,  16.944,   7.371,   2.048, 41,  0,   1.434,   1.117,   0.310,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:43:946, 2077214514227241,    1.418,   25.000, 4200,  28.941,  14.966,   4.157,  22.928,   9.343,   2.595, 46,  0,   1.756,   1.268,   0.352,4095.875,4095.875,   0.000,   0.000,   0.000
13:26:44:057, 2077214915494693,    1.530,    9.000, 2100,  12.988,  16.414,   4.559,   6.763,  10.097,   2.805, 33,  0,   0.790,   1.356,   0.377,4095.875,4095.875,   0.000,   0.000,   0.000
