System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:48:29:949, 2094876116710113,    0.111,    1.000,  800,  13.186,   1.468,   0.408,   2.118,   0.236,   0.065, 31,  0,   0.695,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:058, 2094876506796639,    0.220,    2.000,  800,  11.541,   2.718,   0.755,   0.514,   0.292,   0.081, 30,  0,   0.671,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:167, 2094876902114075,    0.329,    2.000,  800,  11.587,   3.991,   1.109,   0.497,   0.346,   0.096, 31,  0,   0.674,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:279, 2094877304867362,    0.441,    2.000,  800,  11.575,   5.286,   1.468,   0.492,   0.401,   0.111, 30,  0,   0.672,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:387, 2094877691487963,    0.549,    3.000,  800,  11.977,   6.572,   1.826,   0.948,   0.503,   0.140, 30,  0,   0.692,   0.374,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:498, 2094878093010887,    0.660,   20.000, 4200,  12.969,   8.018,   2.227,   1.997,   0.726,   0.202, 39,  0,   0.699,   0.452,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:606, 2094878480296643,    0.768,    2.000,  800,  12.848,   9.401,   2.611,   1.589,   0.897,   0.249, 30,  0,   0.691,   0.526,   0.146,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:713, 2094878867286513,    0.875,    2.000,  800,  11.550,  10.642,   2.956,   0.531,   0.954,   0.265, 30,  0,   0.672,   0.598,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:824, 2094879267013609,    0.986,    2.000,  800,  11.566,  11.926,   3.313,   0.505,   1.010,   0.280, 30,  0,   0.671,   0.673,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:30:932, 2094879654370499,    1.094,   18.000, 4200,  26.910,  14.822,   4.117,  15.793,   2.709,   0.752, 42,  0,   0.975,   0.778,   0.216,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:042, 2094880050482771,    1.204,   19.000, 4200,  30.128,  18.137,   5.038,  18.992,   4.799,   1.333, 45,  0,   1.188,   0.908,   0.252,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:153, 2094880449992445,    1.315,   17.000, 4200,  28.252,  21.272,   5.909,  17.013,   6.687,   1.857, 47,  0,   1.571,   1.083,   0.301,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:262, 2094880843062763,    1.424,   10.000, 2400,  22.401,  23.718,   6.588,  11.248,   7.915,   2.199, 32,  0,   1.118,   1.205,   0.335,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:371, 2094881233519539,    1.533,    2.000,  800,  11.695,  24.987,   6.941,   0.678,   7.988,   2.219, 31,  0,   0.672,   1.278,   0.355,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:498, 2094881695699717,    1.661,   19.000, 4300,  12.892,  26.642,   7.400,   1.804,   8.220,   2.283, 39,  0,   0.696,   1.367,   0.380,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:589, 2094882018341105,    1.751,    1.000,  800,  12.705,  27.780,   7.717,   1.670,   8.370,   2.325, 31,  0,   0.674,   1.427,   0.397,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:698, 2094882410460481,    1.860,    3.000, 2200,  12.748,  29.169,   8.102,   1.675,   8.552,   2.376, 31,  0,   0.676,   1.501,   0.417,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:807, 2094882804114639,    1.969,    2.000,  800,  11.756,  30.454,   8.460,   0.617,   8.619,   2.394, 31,  0,   0.680,   1.575,   0.438,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:31:917, 2094883199509009,    2.079,    2.000,  800,  11.591,  31.727,   8.813,   0.508,   8.675,   2.410, 31,  0,   0.673,   1.649,   0.458,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:32:028, 2094883599690629,    2.190,    2.000,  800,  11.561,  33.012,   9.170,   0.511,   8.732,   2.426, 31,  0,   0.678,   1.725,   0.479,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:32:137, 2094883991848539,    2.299,    1.000,  800,  12.760,  34.402,   9.556,   1.669,   8.914,   2.476, 30,  0,   0.718,   1.803,   0.501,4095.875,4095.875,   0.000,   0.000,   0.000
14:48:32:230, 2094884329173601,    2.393,   12.000, 4200,  13.571,  35.674,   9.909,   2.772,   9.174,   2.548, 38,  0,   0.734,   1.872,   0.520,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.392546
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 35.674072
Cumulative Processor Energy_0 (mWh) = 9.909465
Average Processor Power_0 (Watt) = 14.910503

Cumulative IA Energy_0 (Joules) = 9.173584
Cumulative IA Energy_0 (mWh) = 2.548218
Average IA Power_0 (Watt) = 3.834234

Cumulative DRAM Energy_0 (Joules) = 1.871704
Cumulative DRAM Energy_0 (mWh) = 0.519918
Average DRAM Power_0 (Watt) = 0.782306
