System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:46:00:636, 2094338588482415,    0.102,    3.000,  800,   7.824,   0.801,   0.223,   4.212,   0.431,   0.120, 32,  0,   0.747,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:00:747, 2094338987660889,    0.213,    3.000,  800,   3.988,   1.244,   0.345,   0.580,   0.496,   0.138, 32,  0,   0.681,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:00:857, 2094339383771653,    0.323,    4.000, 1000,   4.574,   1.747,   0.485,   1.170,   0.625,   0.173, 32,  0,   0.683,   0.227,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:00:967, 2094339779360393,    0.433,    4.000,  800,   4.031,   2.190,   0.608,   0.659,   0.697,   0.194, 32,  0,   0.681,   0.302,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:073, 2094340162711399,    0.540,   38.000, 4200,  25.120,   4.865,   1.351,  21.701,   3.008,   0.836, 41,  0,   1.147,   0.424,   0.118,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:185, 2094340566101569,    0.652,   28.000, 4200,  26.676,   7.854,   2.182,  23.121,   5.599,   1.555, 35,  0,   1.147,   0.553,   0.154,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:292, 2094340950616343,    0.759,   14.000,  800,   5.970,   8.492,   2.359,   2.544,   5.870,   1.631, 33,  0,   0.729,   0.631,   0.175,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:403, 2094341348445647,    0.869,   39.000, 4100,  19.228,  10.616,   2.949,  15.989,   7.637,   2.121, 40,  0,   1.062,   0.748,   0.208,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:518, 2094341765670987,    0.985,   21.000, 2400,  13.817,  12.218,   3.394,  10.224,   8.822,   2.451, 33,  0,   0.821,   0.843,   0.234,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:624, 2094342145338223,    1.090,   27.000, 4100,  25.089,  14.864,   4.129,  21.611,  11.101,   3.084, 48,  0,   1.138,   0.963,   0.268,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:732, 2094342534195637,    1.198,   34.000, 4200,  30.310,  18.138,   5.038,  26.753,  13.991,   3.886, 50,  0,   1.234,   1.096,   0.305,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:840, 2094342922941115,    1.306,   18.000, 4200,  22.481,  20.565,   5.713,  19.014,  16.044,   4.457, 51,  0,   0.943,   1.198,   0.333,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:01:952, 2094343326220421,    1.418,   18.000, 4200,  22.950,  23.136,   6.427,  19.508,  18.230,   5.064, 41,  0,   0.970,   1.307,   0.363,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:127, 2094343956135869,    1.593,   23.000, 4200,  22.246,  27.029,   7.508,  18.790,  21.517,   5.977, 46,  0,   0.987,   1.480,   0.411,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:222, 2094344297804237,    1.688,   66.000, 4200,  27.067,  29.598,   8.222,  23.471,  23.745,   6.596, 44,  0,   1.360,   1.609,   0.447,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:277, 2094344496219949,    1.743,   18.000, 4200,  21.807,  30.800,   8.555,  18.395,  24.759,   6.877, 48,  0,   1.091,   1.669,   0.464,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:389, 2094344899429161,    1.855,   20.000, 4200,  23.790,  33.464,   9.296,  20.143,  27.015,   7.504, 49,  0,   1.637,   1.852,   0.514,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:553, 2094345491931130,    2.020,   45.000, 4200,  22.844,  37.224,  10.340,  19.447,  30.216,   8.393, 48,  0,   1.510,   2.101,   0.584,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:606, 2094345680781355,    2.073,   29.000, 4200,  28.804,  38.735,  10.760,  24.819,  31.518,   8.755, 42,  0,   1.415,   2.175,   0.604,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:714, 2094346068571325,    2.180,    2.000,  800,   5.357,  39.312,  10.920,   1.947,  31.727,   8.813, 33,  0,   0.673,   2.247,   0.624,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:823, 2094346460520161,    2.289,    4.000, 2800,   4.272,  39.777,  11.049,   0.867,  31.822,   8.839, 33,  0,   0.681,   2.321,   0.645,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:02:936, 2094346868297809,    2.402,    3.000,  800,   4.311,  40.265,  11.185,   0.881,  31.922,   8.867, 32,  0,   0.681,   2.399,   0.666,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:045, 2094347261510041,    2.512,    3.000,  800,   4.103,  40.714,  11.309,   0.712,  31.999,   8.889, 32,  0,   0.670,   2.472,   0.687,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:153, 2094347649737631,    2.619,    3.000,  800,   4.036,  41.149,  11.430,   0.623,  32.066,   8.907, 31,  0,   0.672,   2.544,   0.707,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:263, 2094348047005563,    2.730,    2.000,  800,   3.956,  41.585,  11.551,   0.567,  32.129,   8.925, 32,  0,   0.668,   2.618,   0.727,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:371, 2094348435576063,    2.838,    7.000,  800,   4.126,  42.031,  11.675,   0.715,  32.206,   8.946, 32,  0,   0.704,   2.694,   0.748,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:494, 2094348880748895,    2.961,   30.000, 4200,   5.913,  42.762,  11.878,   2.496,  32.515,   9.032, 39,  0,   0.766,   2.789,   0.775,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:589, 2094349221778177,    3.056,    1.000,  800,   4.985,  43.234,  12.009,   1.586,  32.665,   9.074, 32,  0,   0.683,   2.853,   0.793,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:03:625, 2094349349814133,    3.092,   16.000, 4200,  11.529,  43.644,  12.123,   8.294,  32.960,   9.156, 39,  0,   0.839,   2.883,   0.801,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.091691
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 43.644104
Cumulative Processor Energy_0 (mWh) = 12.123362
Average Processor Power_0 (Watt) = 14.116579

Cumulative IA Energy_0 (Joules) = 32.960022
Cumulative IA Energy_0 (mWh) = 9.155562
Average IA Power_0 (Watt) = 10.660839

Cumulative DRAM Energy_0 (Joules) = 2.883118
Cumulative DRAM Energy_0 (mWh) = 0.800866
Average DRAM Power_0 (Watt) = 0.932537
