System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:46:52:261, 2094524438464777,    0.109,    2.000,  800,   5.579,   0.605,   0.168,   2.045,   0.222,   0.062, 31,  0,   0.704,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:372, 2094524839407833,    0.220,    2.000,  800,   3.939,   1.044,   0.290,   0.554,   0.284,   0.079, 32,  0,   0.669,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:499, 2094525298194099,    0.347,   19.000, 4300,   5.046,   1.687,   0.469,   1.773,   0.509,   0.142, 39,  0,   0.697,   0.240,   0.067,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:589, 2094525618474367,    0.436,    1.000,  800,   5.288,   2.158,   0.599,   1.714,   0.662,   0.184, 31,  0,   0.678,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:699, 2094526014112881,    0.546,    2.000,  800,   3.918,   2.588,   0.719,   0.511,   0.718,   0.199, 31,  0,   0.673,   0.374,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:808, 2094526410516559,    0.656,    3.000,  800,   3.962,   3.024,   0.840,   0.563,   0.780,   0.217, 31,  0,   0.678,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:52:916, 2094526799056221,    0.764,    2.000,  800,   3.943,   3.450,   0.958,   0.540,   0.838,   0.233, 32,  0,   0.672,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:53:025, 2094527191070760,    0.873,    2.000,  800,   3.917,   3.876,   1.077,   0.509,   0.894,   0.248, 31,  0,   0.673,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:53:135, 2094527586773641,    0.983,    2.000,  800,   3.956,   4.311,   1.198,   0.549,   0.954,   0.265, 32,  0,   0.676,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:46:53:247, 2094527986804747,    1.094,   21.000, 4200,  20.986,   6.643,   1.845,  17.696,   2.921,   0.811, 47,  0,   1.004,   0.780,   0.217,4095.875,4095.875,   0.000,   0.000,   0.000
