System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:12:51:073, 2087176165924115,    0.099,    2.000,  800,  13.418,   1.331,   0.370,   2.344,   0.232,   0.065, 32,  0,   0.700,   0.069,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:182, 2087176556658117,    0.208,    2.000,  800,  11.514,   2.580,   0.717,   0.512,   0.288,   0.080, 32,  0,   0.668,   0.142,   0.039,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:294, 2087176960797739,    0.320,    2.000,  800,  11.667,   3.890,   1.081,   0.518,   0.346,   0.096, 31,  0,   0.675,   0.218,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:402, 2087177348556983,    0.428,    2.000,  800,  11.507,   5.129,   1.425,   0.523,   0.402,   0.112, 32,  0,   0.666,   0.289,   0.080,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:513, 2087177747638621,    0.539,   11.000, 4200,  13.231,   6.596,   1.832,   2.182,   0.644,   0.179, 32,  0,   0.689,   0.366,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:622, 2087178143137945,    0.648,    2.000,  800,  12.394,   7.958,   2.210,   1.281,   0.785,   0.218, 32,  0,   0.681,   0.440,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:729, 2087178528087039,    0.755,    3.000,  800,  11.615,   9.200,   2.555,   0.539,   0.843,   0.234, 31,  0,   0.677,   0.513,   0.142,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:838, 2087178921233005,    0.865,    2.000,  800,  11.551,  10.461,   2.906,   0.507,   0.898,   0.249, 31,  0,   0.672,   0.586,   0.163,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:51:950, 2087179323555663,    0.976,    2.000,  800,  11.588,  11.756,   3.266,   0.497,   0.954,   0.265, 32,  0,   0.671,   0.661,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:061, 2087179722350831,    1.087,   16.000, 4200,  24.898,  14.514,   4.032,  13.751,   2.477,   0.688, 41,  0,   1.291,   0.804,   0.223,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:170, 2087180114735247,    1.196,   16.000, 4200,  29.696,  17.751,   4.931,  18.544,   4.498,   1.249, 44,  0,   1.378,   0.955,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:279, 2087180507140003,    1.305,   16.000, 4200,  29.914,  21.012,   5.837,  18.764,   6.543,   1.818, 41,  0,   1.349,   1.102,   0.306,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:389, 2087180903028451,    1.415,   17.000, 4200,  29.914,  24.301,   6.750,  18.790,   8.610,   2.392, 45,  0,   1.311,   1.246,   0.346,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:496, 2087181288316295,    1.522,   29.000, 4200,  30.479,  27.563,   7.656,  19.335,  10.679,   2.966, 41,  0,   1.339,   1.389,   0.386,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:604, 2087181677117843,    1.630,   16.000, 4200,  29.742,  30.775,   8.549,  18.596,  12.687,   3.524, 44,  0,   1.310,   1.531,   0.425,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:713, 2087182069410817,    1.739,   17.000, 4200,  30.060,  34.051,   9.459,  18.928,  14.750,   4.097, 44,  0,   1.283,   1.670,   0.464,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:824, 2087182469050801,    1.850,   16.000, 4200,  29.313,  37.305,  10.362,  18.204,  16.771,   4.659, 50,  0,   1.186,   1.802,   0.501,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:52:936, 2087182872240171,    1.962,   16.000, 4200,  29.363,  40.594,  11.276,  18.264,  18.816,   5.227, 49,  0,   1.145,   1.930,   0.536,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:042, 2087183253802869,    2.068,   17.000, 4200,  30.115,  43.785,  12.163,  19.017,  20.832,   5.787, 51,  0,   1.141,   2.051,   0.570,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:152, 2087183649825727,    2.178,   16.000, 4200,  29.875,  47.072,  13.076,  18.778,  22.898,   6.360, 44,  0,   1.086,   2.171,   0.603,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:260, 2087184038720741,    2.286,   16.000, 4200,  29.875,  50.299,  13.972,  18.791,  24.928,   6.924, 46,  0,   1.055,   2.285,   0.635,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:369, 2087184430946403,    2.395,   16.000, 4100,  29.783,  53.544,  14.873,  18.681,  26.963,   7.490, 48,  0,   1.020,   2.396,   0.665,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:492, 2087184875230399,    2.518,   33.000, 4200,  30.422,  57.299,  15.916,  19.464,  29.365,   8.157, 45,  0,   1.040,   2.524,   0.701,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:591, 2087185230298261,    2.617,   17.000, 4200,  30.019,  60.259,  16.739,  18.762,  31.215,   8.671, 46,  0,   1.035,   2.626,   0.729,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:702, 2087185629813965,    2.728,   16.000, 4200,  29.782,  63.564,  17.657,  18.709,  33.292,   9.248, 46,  0,   0.938,   2.730,   0.758,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:809, 2087186015035733,    2.835,   18.000, 4200,  30.240,  66.800,  18.556,  19.131,  35.339,   9.816, 48,  0,   1.027,   2.840,   0.789,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:53:916, 2087186400181111,    2.942,   16.000, 4200,  29.758,  69.984,  19.440,  18.665,  37.336,  10.371, 44,  0,   0.855,   2.932,   0.814,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:026, 2087186796286953,    3.052,   17.000, 4200,  29.687,  73.250,  20.347,  18.642,  39.387,  10.941, 50,  0,   0.819,   3.022,   0.839,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:135, 2087187188464834,    3.161,   16.000, 4100,  29.858,  76.503,  21.251,  18.764,  41.431,  11.509, 43,  0,   0.808,   3.110,   0.864,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:246, 2087187588146817,    3.272,   16.000, 4200,  29.357,  79.762,  22.156,  18.280,  43.461,  12.072, 45,  0,   0.760,   3.194,   0.887,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:356, 2087187984289921,    3.382,   16.000, 4200,  29.321,  82.989,  23.052,  18.271,  45.471,  12.631, 45,  0,   0.741,   3.276,   0.910,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:465, 2087188376656663,    3.491,   16.000, 4200,  29.090,  86.159,  23.933,  18.011,  47.434,  13.176, 45,  0,   0.730,   3.355,   0.932,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:572, 2087188761740143,    3.598,   18.000, 4200,  29.857,  89.353,  24.820,  18.776,  49.443,  13.734, 49,  0,   0.754,   3.436,   0.954,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:684, 2087189165047255,    3.710,   16.000, 4200,  28.458,  92.541,  25.706,  17.390,  51.391,  14.275, 45,  0,   0.702,   3.515,   0.976,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:792, 2087189553843391,    3.818,   16.000, 4200,  28.340,  95.602,  26.556,  17.262,  53.255,  14.793, 39,  0,   0.712,   3.592,   0.998,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:54:903, 2087189953335353,    3.929,   16.000, 4200,  27.576,  98.662,  27.406,  16.492,  55.085,  15.301, 42,  0,   0.696,   3.669,   1.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:010, 2087190338519199,    4.036,   16.000, 4200,  26.960, 101.547,  28.207,  15.886,  56.785,  15.774, 44,  0,   0.697,   3.743,   1.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:121, 2087190738162171,    4.147,   23.000, 4200,  31.302, 105.022,  29.173,  20.192,  59.026,  16.396, 45,  0,   1.026,   3.857,   1.071,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:229, 2087191126808647,    4.255,   16.000, 4100,  25.251, 107.748,  29.930,  14.160,  60.555,  16.821, 40,  0,   0.698,   3.933,   1.092,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:339, 2087191523017192,    4.365,   16.000, 4200,  25.247, 110.526,  30.702,  14.187,  62.117,  17.255, 42,  0,   0.674,   4.007,   1.113,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:450, 2087191922519933,    4.476,   16.000, 4200,  25.089, 113.311,  31.475,  14.018,  63.672,  17.687, 43,  0,   0.675,   4.082,   1.134,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:559, 2087192314944221,    4.585,   19.000, 4200,  25.955, 116.140,  32.261,  14.893,  65.296,  18.138, 43,  0,   0.695,   4.158,   1.155,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:669, 2087192710931285,    4.695,   16.000, 4200,  25.244, 118.917,  33.032,  14.174,  66.855,  18.571, 43,  0,   0.676,   4.232,   1.176,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:776, 2087193096132837,    4.802,   16.000, 4200,  25.080, 121.600,  33.778,  14.007,  68.354,  18.987, 43,  0,   0.677,   4.304,   1.196,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:885, 2087193488340503,    4.911,   16.000, 4100,  25.028, 124.327,  34.535,  13.943,  69.873,  19.409, 39,  0,   0.674,   4.378,   1.216,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:55:994, 2087193880935623,    5.020,   16.000, 4200,  25.043, 127.058,  35.294,  13.989,  71.398,  19.833, 42,  0,   0.671,   4.451,   1.236,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:107, 2087194287735151,    5.133,   17.000, 4200,  25.444, 129.933,  36.092,  14.372,  73.022,  20.284, 42,  0,   0.699,   4.530,   1.258,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:215, 2087194676530049,    5.241,   16.000, 4200,  25.028, 132.636,  36.843,  13.959,  74.530,  20.703, 42,  0,   0.673,   4.603,   1.279,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:326, 2087195076128611,    5.352,   16.000, 4200,  24.955, 135.406,  37.613,  13.887,  76.071,  21.131, 42,  0,   0.671,   4.677,   1.299,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:435, 2087195468483035,    5.461,   16.000, 4200,  24.942, 138.124,  38.368,  13.870,  77.583,  21.551, 41,  0,   0.670,   4.750,   1.319,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:541, 2087195850020481,    5.567,   19.000, 4100,  25.741, 140.852,  39.126,  14.659,  79.136,  21.982, 38,  0,   0.693,   4.824,   1.340,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:56:651, 2087196246132989,    5.677,   16.000, 4200,  24.930, 143.596,  39.888,  13.873,  80.663,  22.406, 42,  0,   0.675,   4.898,   1.360,4095.875,4095.875,   0.000,   0.000,   0.000
