System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:12:31:588, 2087106020063763,    0.106,    4.000,  800,   8.159,   0.861,   0.239,   4.533,   0.478,   0.133, 32,  0,   0.741,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:31:698, 2087106414902065,    0.215,    8.000,  800,   4.203,   1.322,   0.367,   0.786,   0.565,   0.157, 32,  0,   0.698,   0.155,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:31:808, 2087106811197391,    0.325,   15.000,  800,   4.443,   1.811,   0.503,   1.045,   0.680,   0.189, 32,  0,   0.681,   0.230,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:31:920, 2087107215836147,    0.438,   13.000,  800,   4.351,   2.300,   0.639,   0.963,   0.788,   0.219, 32,  0,   0.687,   0.307,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:027, 2087107600663989,    0.545,   10.000, 3900,   5.151,   2.851,   0.792,   1.753,   0.975,   0.271, 32,  0,   0.730,   0.385,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:137, 2087107996377533,    0.655,    2.000,  800,   4.314,   3.325,   0.924,   0.887,   1.073,   0.298, 32,  0,   0.679,   0.460,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:245, 2087108384784027,    0.762,    6.000, 3600,   4.416,   3.802,   1.056,   1.014,   1.182,   0.328, 32,  0,   0.696,   0.535,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:356, 2087108785329273,    0.874,    3.000,  800,   4.359,   4.287,   1.191,   0.962,   1.289,   0.358, 32,  0,   0.679,   0.610,   0.170,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:465, 2087109178585567,    0.983,    7.000,  800,   4.994,   4.832,   1.342,   1.594,   1.463,   0.407, 32,  0,   0.717,   0.689,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:576, 2087109576468663,    1.093,   25.000, 4200,  19.704,   7.010,   1.947,  16.308,   3.266,   0.907, 42,  0,   1.039,   0.803,   0.223,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:682, 2087109956108397,    1.199,   18.000, 4200,  22.373,   9.369,   2.603,  18.958,   5.265,   1.463, 49,  0,   0.967,   0.905,   0.251,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:794, 2087110359284139,    1.311,   27.000, 4200,  27.828,  12.486,   3.468,  24.353,   7.992,   2.220, 49,  0,   1.164,   1.036,   0.288,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:32:901, 2087110744533139,    1.418,   17.000, 4200,  22.002,  14.840,   4.122,  18.506,   9.973,   2.770, 51,  0,   1.214,   1.166,   0.324,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:010, 2087111136956459,    1.527,   16.000, 4200,  22.439,  17.286,   4.802,  19.009,  12.045,   3.346, 47,  0,   0.956,   1.270,   0.353,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:122, 2087111540565283,    1.639,   15.000, 4200,  19.626,  19.487,   5.413,  16.029,  13.842,   3.845, 34,  0,   1.175,   1.402,   0.389,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:229, 2087111926540660,    1.746,    5.000,  800,   5.118,  20.035,   5.565,   1.674,  14.021,   3.895, 33,  0,   0.700,   1.477,   0.410,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:340, 2087112326337401,    1.857,   18.000, 4200,  14.587,  21.655,   6.015,  11.110,  15.255,   4.238, 36,  0,   1.019,   1.590,   0.442,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:449, 2087112717892503,    1.966,    2.000,  800,   5.819,  22.288,   6.191,   2.444,  15.521,   4.311, 33,  0,   0.683,   1.664,   0.462,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:557, 2087113109260571,    2.075,    5.000, 2500,   6.342,  22.978,   6.383,   2.930,  15.840,   4.400, 33,  0,   0.719,   1.742,   0.484,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:669, 2087113510456089,    2.186,    2.000,  800,   4.139,  23.439,   6.511,   0.711,  15.919,   4.422, 32,  0,   0.680,   1.818,   0.505,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:779, 2087113907243909,    2.296,    3.000,  800,   3.908,  23.870,   6.630,   0.514,  15.976,   4.438, 32,  0,   0.677,   1.893,   0.526,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:885, 2087114286829211,    2.402,    9.000, 4200,   6.310,  24.535,   6.815,   3.007,  16.293,   4.526, 38,  0,   0.757,   1.973,   0.548,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:33:996, 2087114690967789,    2.514,    3.000,  800,   4.965,  25.092,   6.970,   1.485,  16.459,   4.572, 32,  0,   0.690,   2.050,   0.569,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:34:106, 2087115083852962,    2.623,    2.000,  800,   5.071,  25.646,   7.124,   1.635,  16.638,   4.622, 32,  0,   0.682,   2.124,   0.590,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:34:214, 2087115473339941,    2.731,    3.000,  800,   3.921,  26.070,   7.242,   0.524,  16.694,   4.637, 32,  0,   0.669,   2.197,   0.610,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:34:323, 2087115863467707,    2.840,    7.000, 4100,   5.664,  26.684,   7.412,   2.431,  16.958,   4.711, 35,  0,   0.680,   2.271,   0.631,4095.875,4095.875,   0.000,   0.000,   0.000
14:12:34:358, 2087115990758379,    2.875,   31.000, 4100,  27.952,  27.672,   7.687,  23.961,  17.805,   4.946, 39,  0,   0.873,   2.301,   0.639,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.875171
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 27.672302
Cumulative Processor Energy_0 (mWh) = 7.686751
Average Processor Power_0 (Watt) = 9.624577

Cumulative IA Energy_0 (Joules) = 17.805054
Cumulative IA Energy_0 (mWh) = 4.945848
Average IA Power_0 (Watt) = 6.192694

Cumulative DRAM Energy_0 (Joules) = 2.301453
Cumulative DRAM Energy_0 (mWh) = 0.639292
Average DRAM Power_0 (Watt) = 0.800458
