System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:11:29:884, 2086883886943193,    0.100,    2.000,  800,   6.116,   0.610,   0.170,   2.528,   0.252,   0.070, 32,  0,   0.708,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:29:994, 2086884281806923,    0.209,    3.000,  800,   4.096,   1.060,   0.294,   0.678,   0.327,   0.091, 32,  0,   0.681,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:104, 2086884675330845,    0.319,    3.000,  800,   4.713,   1.575,   0.437,   0.604,   0.393,   0.109, 31,  0,   0.672,   0.219,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:212, 2086885068199607,    0.428,    2.000,  800,   6.538,   2.288,   0.636,   0.591,   0.457,   0.127, 31,  0,   0.672,   0.292,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:323, 2086885467968117,    0.539,    3.000,  800,   6.652,   3.027,   0.841,   0.701,   0.535,   0.149, 32,  0,   0.673,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:435, 2086885867911467,    0.650,    2.000,  800,   7.058,   3.811,   1.059,   1.102,   0.657,   0.183, 32,  0,   0.675,   0.442,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:544, 2086886260359933,    0.759,   14.000, 3200,   7.293,   4.606,   1.279,   1.351,   0.805,   0.223, 31,  0,   0.704,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:650, 2086886644036141,    0.866,    2.000,  800,   6.955,   5.347,   1.485,   0.956,   0.906,   0.252, 31,  0,   0.674,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:760, 2086887037905983,    0.975,    1.000,  800,   6.575,   6.067,   1.685,   0.586,   0.971,   0.270, 31,  0,   0.675,   0.664,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:874, 2086887447429221,    1.089,   15.000, 4200,  19.159,   8.246,   2.291,  13.302,   2.484,   0.690, 46,  0,   1.065,   0.785,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
14:11:30:982, 2086887836288149,    1.197,   24.000, 4200,  28.008,  11.271,   3.131,  21.953,   4.855,   1.349, 44,  0,   1.483,   0.946,   0.263,4095.875,4095.875,   0.000,   0.000,   0.000
