System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:54:50:448, 2096245912273581,    0.107,    3.000,  800,  14.355,   1.536,   0.427,   3.243,   0.347,   0.096, 31,  0,   0.709,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:50:558, 2096246307643270,    0.217,    4.000, 2200,  13.940,   3.067,   0.852,   2.849,   0.660,   0.183, 31,  0,   0.696,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:50:666, 2096246697591621,    0.325,    2.000,  800,  11.823,   4.348,   1.208,   0.789,   0.745,   0.207, 30,  0,   0.670,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:50:776, 2096247092074089,    0.435,    3.000,  800,  11.799,   5.641,   1.567,   0.688,   0.821,   0.228, 31,  0,   0.678,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:50:886, 2096247488014457,    0.545,    2.000,  800,  11.774,   6.936,   1.927,   0.703,   0.898,   0.249, 31,  0,   0.670,   0.373,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:50:996, 2096247883923603,    0.655,    2.000,  800,  11.842,   8.238,   2.288,   0.777,   0.984,   0.273, 31,  0,   0.673,   0.447,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:51:105, 2096248277910039,    0.764,    3.000,  800,  11.862,   9.536,   2.649,   0.840,   1.076,   0.299, 31,  0,   0.670,   0.520,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:51:214, 2096248670173493,    0.873,    3.000,  800,  12.482,  10.896,   3.027,   1.408,   1.229,   0.341, 31,  0,   0.687,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:51:326, 2096249074417881,    0.985,    4.000,  800,  11.851,  12.227,   3.396,   0.818,   1.321,   0.367, 31,  0,   0.700,   0.674,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:51:435, 2096249462755477,    1.093,   15.000, 4200,  24.221,  14.840,   4.122,  13.146,   2.739,   0.761, 38,  0,   1.094,   0.792,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
14:54:51:542, 2096249847871125,    1.200,   20.000, 4200,  31.453,  18.204,   5.057,  20.378,   4.919,   1.366, 50,  0,   0.832,   0.881,   0.245,4095.875,4095.875,   0.000,   0.000,   0.000
