System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:57:09:199, 2096745413519267,    0.098,    5.000,  900,   7.905,   0.771,   0.214,   4.522,   0.441,   0.123, 33,  0,   0.717,   0.070,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:308, 2096745807554421,    0.207,    4.000,  800,   5.650,   1.389,   0.386,   2.218,   0.684,   0.190, 33,  0,   0.727,   0.149,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:416, 2096746197062439,    0.315,    3.000,  800,   4.099,   1.833,   0.509,   0.709,   0.760,   0.211, 33,  0,   0.676,   0.223,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:529, 2096746601295265,    0.427,    5.000, 3100,   6.572,   2.571,   0.714,   3.201,   1.120,   0.311, 33,  0,   0.718,   0.303,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:635, 2096746985456717,    0.534,    4.000,  800,   5.098,   3.115,   0.865,   1.651,   1.296,   0.360, 32,  0,   0.702,   0.378,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:747, 2096747387343167,    0.646,    9.000,  800,   4.231,   3.587,   0.996,   0.855,   1.391,   0.387, 32,  0,   0.699,   0.456,   0.127,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:855, 2096747777024031,    0.754,    4.000, 3700,   5.382,   4.170,   1.158,   1.944,   1.602,   0.445, 32,  0,   0.715,   0.534,   0.148,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:09:967, 2096748178739075,    0.866,    4.000, 2500,   4.934,   4.720,   1.311,   1.558,   1.776,   0.493, 32,  0,   0.694,   0.611,   0.170,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:076, 2096748571877333,    0.975,    7.000,  800,   4.255,   5.185,   1.440,   0.817,   1.865,   0.518, 32,  0,   0.707,   0.688,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:185, 2096748965748705,    1.084,   16.000, 4200,  16.964,   7.041,   1.956,  13.558,   3.348,   0.930, 43,  0,   1.095,   0.808,   0.224,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:294, 2096749358111127,    1.193,   20.000, 4200,  22.508,   9.494,   2.637,  19.039,   5.423,   1.506, 41,  0,   0.959,   0.913,   0.253,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:401, 2096749743313089,    1.300,   20.000, 4200,  23.201,  11.977,   3.327,  19.797,   7.542,   2.095, 46,  0,   0.887,   1.007,   0.280,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:514, 2096750150113849,    1.413,   23.000, 4200,  24.883,  14.788,   4.108,  21.393,   9.959,   2.766, 47,  0,   0.973,   1.117,   0.310,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:620, 2096750531655247,    1.519,   16.000, 4200,  21.017,  17.016,   4.727,  17.588,  11.823,   3.284, 42,  0,   0.848,   1.207,   0.335,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:734, 2096750942080989,    1.633,   17.000, 4200,  21.535,  19.471,   5.409,  18.100,  13.887,   3.857, 48,  0,   0.879,   1.307,   0.363,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:840, 2096751323692961,    1.739,   16.000, 4200,  21.054,  21.703,   6.029,  17.637,  15.756,   4.377, 46,  0,   0.829,   1.395,   0.388,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:10:949, 2096751716101365,    1.848,   16.000, 4200,  21.076,  24.000,   6.667,  17.663,  17.682,   4.912, 41,  0,   0.826,   1.485,   0.413,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:061, 2096752119173489,    1.960,   20.000, 4100,  22.769,  26.549,   7.375,  19.317,  19.844,   5.512, 44,  0,   0.911,   1.587,   0.441,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:166, 2096752497195161,    2.065,   28.000, 4200,  28.091,  29.499,   8.194,  24.607,  22.428,   6.230, 46,  0,   1.127,   1.706,   0.474,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:279, 2096752902177809,    2.178,   17.000, 4200,  21.662,  31.936,   8.871,  18.254,  24.482,   6.800, 51,  0,   1.204,   1.841,   0.511,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:388, 2096753294620493,    2.287,   16.000, 4200,  21.979,  34.332,   9.537,  18.563,  26.505,   7.363, 52,  0,   0.969,   1.947,   0.541,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:498, 2096753691482313,    2.397,   16.000,  800,  18.441,  36.365,  10.101,  14.783,  28.135,   7.815, 36,  0,   1.189,   2.078,   0.577,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:606, 2096754079377515,    2.505,    5.000,  800,   4.084,  36.805,  10.224,   0.702,  28.211,   7.836, 34,  0,   0.683,   2.151,   0.598,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:716, 2096754476148917,    2.615,   12.000, 4300,  10.335,  37.944,  10.540,   6.844,  28.965,   8.046, 37,  0,   1.004,   2.262,   0.628,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:825, 2096754869190621,    2.724,    1.000,  800,   5.052,  38.495,  10.693,   1.658,  29.146,   8.096, 33,  0,   0.674,   2.336,   0.649,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:11:934, 2096755263466555,    2.834,    3.000,  800,   4.591,  38.998,  10.833,   1.200,  29.277,   8.133, 32,  0,   0.687,   2.411,   0.670,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:043, 2096755652572503,    2.942,    2.000,  800,   3.978,  39.428,  10.952,   0.578,  29.340,   8.150, 33,  0,   0.675,   2.484,   0.690,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:154, 2096756054938883,    3.053,    3.000,  800,   3.978,  39.873,  11.076,   0.568,  29.403,   8.168, 32,  0,   0.677,   2.560,   0.711,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:260, 2096756435415691,    3.159,    2.000,  800,   3.953,  40.291,  11.192,   0.539,  29.460,   8.183, 32,  0,   0.673,   2.631,   0.731,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:373, 2096756842196395,    3.272,    3.000,  800,   3.963,  40.739,  11.316,   0.562,  29.524,   8.201, 32,  0,   0.676,   2.707,   0.752,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:500, 2096757301389043,    3.400,   19.000, 4300,   5.182,  41.399,  11.500,   1.900,  29.766,   8.268, 39,  0,   0.698,   2.796,   0.777,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:590, 2096757623975811,    3.489,    2.000,  800,   5.034,  41.851,  11.625,   1.461,  29.897,   8.305, 32,  0,   0.683,   2.857,   0.794,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:700, 2096758018512902,    3.599,    5.000, 4200,   4.279,  42.319,  11.755,   0.863,  29.992,   8.331, 31,  0,   0.691,   2.933,   0.815,4095.875,4095.875,   0.000,   0.000,   0.000
14:57:12:731, 2096758129988005,    3.630,   17.000, 3300,  11.097,  42.663,  11.851,   7.668,  30.229,   8.397, 34,  0,   0.869,   2.960,   0.822,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.629883
