System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:58:14:230, 2096979527011431,    0.110,    2.000,  800,   8.297,   0.910,   0.253,   2.236,   0.245,   0.068, 32,  0,   0.696,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:342, 2096979928500593,    0.221,    3.000,  800,   6.676,   1.655,   0.460,   0.751,   0.329,   0.091, 31,  0,   0.680,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:448, 2096980313473953,    0.328,    3.000,  800,   6.608,   2.361,   0.656,   0.647,   0.398,   0.111, 31,  0,   0.677,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:560, 2096980714362851,    0.440,    5.000, 2200,   8.768,   3.338,   0.927,   2.833,   0.714,   0.198, 31,  0,   0.702,   0.303,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:667, 2096981100556581,    0.547,    2.000,  800,   6.627,   4.049,   1.125,   0.616,   0.780,   0.217, 31,  0,   0.679,   0.376,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:778, 2096981501145545,    0.658,    2.000,  800,   6.528,   4.775,   1.326,   0.588,   0.845,   0.235, 32,  0,   0.674,   0.451,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:886, 2096981888557315,    0.766,    2.000,  800,   6.491,   5.474,   1.520,   0.511,   0.900,   0.250, 32,  0,   0.675,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:14:996, 2096982284740842,    0.876,    2.000,  800,   6.489,   6.188,   1.719,   0.541,   0.960,   0.267, 31,  0,   0.669,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:105, 2096982674873207,    0.984,    2.000,  800,   6.479,   6.890,   1.914,   0.539,   1.018,   0.283, 31,  0,   0.667,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:214, 2096983068554499,    1.093,   17.000, 4200,  21.715,   9.264,   2.573,  15.883,   2.755,   0.765, 45,  0,   1.147,   0.795,   0.221,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:324, 2096983464634019,    1.203,   17.000, 4200,  23.757,  11.878,   3.300,  17.708,   4.703,   1.306, 47,  0,   1.175,   0.924,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:435, 2096983864688117,    1.315,    8.000, 2400,  14.876,  13.531,   3.759,   8.647,   5.664,   1.573, 32,  0,   1.116,   1.048,   0.291,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:545, 2096984258804551,    1.424,    7.000, 3300,  14.629,  15.133,   4.204,   8.663,   6.613,   1.837, 33,  0,   0.952,   1.152,   0.320,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:655, 2096984656827903,    1.535,   10.000, 4200,  13.058,  16.577,   4.605,   6.996,   7.386,   2.052, 33,  0,   1.082,   1.272,   0.353,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:761, 2096985037634957,    1.640,    2.000,  800,   8.095,  17.433,   4.842,   2.154,   7.614,   2.115, 32,  0,   0.726,   1.349,   0.375,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:871, 2096985435157895,    1.751,    2.000,  800,   6.548,  18.156,   5.043,   0.559,   7.676,   2.132, 31,  0,   0.675,   1.423,   0.395,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:15:979, 2096985823753901,    1.859,    3.000, 3100,   9.465,  19.178,   5.327,   1.649,   7.854,   2.182, 31,  0,   0.677,   1.496,   0.416,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:089, 2096986217656945,    1.968,    2.000, 1600,  12.627,  20.559,   5.711,   1.598,   8.029,   2.230, 31,  0,   0.696,   1.572,   0.437,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:198, 2096986610004819,    2.077,    3.000,  800,  11.660,  21.830,   6.064,   0.591,   8.093,   2.248, 31,  0,   0.674,   1.646,   0.457,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:310, 2096987015303139,    2.190,    2.000,  800,  11.626,  23.139,   6.427,   0.519,   8.151,   2.264, 31,  0,   0.675,   1.722,   0.478,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:417, 2096987400866783,    2.297,    2.000,  800,  11.576,  24.379,   6.772,   0.519,   8.207,   2.280, 31,  0,   0.669,   1.793,   0.498,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:526, 2096987791902833,    2.405,    7.000, 4000,  13.622,  25.858,   7.183,   2.515,   8.480,   2.356, 31,  0,   0.702,   1.870,   0.519,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:636, 2096988187781619,    2.515,    9.000, 2500,  17.776,  27.813,   7.726,   6.881,   9.237,   2.566, 32,  0,   0.869,   1.965,   0.546,4095.875,4095.875,   0.000,   0.000,   0.000
14:58:16:646, 2096988224920329,    2.526,   29.000, 4200,  23.535,  28.056,   7.793,  10.862,   9.349,   2.597, 37,  0,   1.059,   1.976,   0.549,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.525776
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 28.055908
Cumulative Processor Energy_0 (mWh) = 7.793308
Average Processor Power_0 (Watt) = 11.107838

Cumulative IA Energy_0 (Joules) = 9.348999
Cumulative IA Energy_0 (mWh) = 2.596944
Average IA Power_0 (Watt) = 3.701437

Cumulative DRAM Energy_0 (Joules) = 1.976135
Cumulative DRAM Energy_0 (mWh) = 0.548926
Average DRAM Power_0 (Watt) = 0.782387
