System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:10:29:619, 2099626927389589,    0.108,    2.000,  800,  13.717,   1.487,   0.413,   2.452,   0.266,   0.074, 32,  0,   0.703,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:29:730, 2099627323551179,    0.218,    2.000,  800,  11.692,   2.774,   0.771,   0.634,   0.336,   0.093, 31,  0,   0.671,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:29:840, 2099627721959243,    0.329,    2.000,  800,  11.577,   4.055,   1.126,   0.577,   0.400,   0.111, 31,  0,   0.669,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:29:949, 2099628115624337,    0.438,    3.000, 1200,  12.349,   5.406,   1.502,   1.215,   0.532,   0.148, 31,  0,   0.689,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:057, 2099628502129671,    0.546,    2.000,  800,  11.588,   6.650,   1.847,   0.564,   0.593,   0.165, 31,  0,   0.675,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:170, 2099628910112455,    0.659,    2.000,  800,  11.601,   7.965,   2.212,   0.564,   0.657,   0.182, 31,  0,   0.670,   0.448,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:279, 2099629303149233,    0.768,    2.000,  800,  11.732,   9.245,   2.568,   0.575,   0.720,   0.200, 31,  0,   0.677,   0.522,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:387, 2099629690731769,    0.876,    3.000,  800,  11.637,  10.498,   2.916,   0.642,   0.789,   0.219, 31,  0,   0.675,   0.594,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:503, 2099630107366899,    0.992,   21.000, 4300,  13.207,  12.027,   3.341,   2.181,   1.041,   0.289, 39,  0,   0.712,   0.677,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:605, 2099630475141951,    1.094,   16.000, 4200,  28.673,  14.956,   4.154,  17.604,   2.840,   0.789, 45,  0,   0.951,   0.774,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:715, 2099630871086841,    1.204,   16.000, 4200,  29.141,  18.161,   5.045,  18.056,   4.826,   1.340, 41,  0,   0.806,   0.863,   0.240,4095.875,4095.875,   0.000,   0.000,   0.000
15:10:30:823, 2099631259754164,    1.312,   17.000, 4100,  30.228,  21.425,   5.951,  19.137,   6.892,   1.914, 47,  0,   0.862,   0.956,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
