System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:11:19:823, 2099807659476293,    0.103,    7.000,  800,   6.656,   0.684,   0.190,   3.092,   0.318,   0.088, 33,  0,   0.776,   0.080,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:19:934, 2099808060734791,    0.214,    3.000,  800,   4.006,   1.130,   0.314,   0.618,   0.387,   0.107, 32,  0,   0.676,   0.155,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:042, 2099808447716477,    0.322,    6.000, 2500,   4.589,   1.624,   0.451,   1.170,   0.512,   0.142, 32,  0,   0.698,   0.230,   0.064,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:155, 2099808855378857,    0.435,    8.000,  800,   4.225,   2.102,   0.584,   0.833,   0.607,   0.168, 32,  0,   0.694,   0.309,   0.086,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:260, 2099809235088639,    0.540,    2.000,  800,   4.038,   2.528,   0.702,   0.615,   0.671,   0.186, 32,  0,   0.677,   0.380,   0.106,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:373, 2099809641083493,    0.653,    6.000, 2400,   5.422,   3.140,   0.872,   2.046,   0.902,   0.251, 33,  0,   0.717,   0.461,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:495, 2099810082756107,    0.776,   22.000, 4200,   6.844,   3.979,   1.105,   3.503,   1.332,   0.370, 39,  0,   0.732,   0.551,   0.153,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:590, 2099810421692851,    0.870,    3.000,  800,   5.333,   4.481,   1.245,   1.827,   1.504,   0.418, 32,  0,   0.691,   0.616,   0.171,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:698, 2099810809448781,    0.978,    6.000, 1300,   4.758,   4.994,   1.387,   1.337,   1.648,   0.458, 32,  0,   0.704,   0.692,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:810, 2099811215182815,    1.090,   19.000, 4200,   9.023,   6.011,   1.670,   5.631,   2.283,   0.634, 46,  0,   0.827,   0.785,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:20:918, 2099811603783213,    1.198,   17.000, 4200,  21.353,   8.316,   2.310,  17.876,   4.212,   1.170, 47,  0,   0.941,   0.886,   0.246,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:026, 2099811992566264,    1.306,   23.000, 4200,  23.537,  10.858,   3.016,  20.091,   6.382,   1.773, 41,  0,   1.025,   0.997,   0.277,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:135, 2099812384953677,    1.415,   23.000, 4200,  25.096,  13.593,   3.776,  21.626,   8.739,   2.428, 44,  0,   0.959,   1.102,   0.306,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:246, 2099812784612497,    1.526,   16.000, 4200,  21.347,  15.963,   4.434,  17.914,  10.728,   2.980, 39,  0,   0.874,   1.199,   0.333,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:358, 2099813187766785,    1.638,   16.000, 4200,  21.432,  18.363,   5.101,  18.012,  12.745,   3.540, 44,  0,   0.831,   1.292,   0.359,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:463, 2099813565665687,    1.743,   17.000, 4200,  21.287,  20.598,   5.722,  17.842,  14.618,   4.060, 45,  0,   0.838,   1.380,   0.383,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:572, 2099813957985939,    1.852,   19.000, 4100,  22.677,  23.069,   6.408,  19.237,  16.714,   4.643, 46,  0,   0.904,   1.478,   0.411,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:683, 2099814357645413,    1.963,   18.000, 4200,  22.343,  25.549,   7.097,  18.916,  18.814,   5.226, 42,  0,   0.870,   1.575,   0.437,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:792, 2099814750165573,    2.072,   17.000, 4200,  21.571,  27.901,   7.750,  18.163,  20.795,   5.776, 42,  0,   0.855,   1.668,   0.463,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:21:902, 2099815146044393,    2.182,   26.000, 4200,  27.625,  30.939,   8.594,  24.127,  23.448,   6.513, 50,  0,   1.113,   1.790,   0.497,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:012, 2099815542074519,    2.292,   16.000, 4200,  21.490,  33.303,   9.251,  18.005,  25.428,   7.063, 52,  0,   1.210,   1.923,   0.534,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:119, 2099815927274975,    2.399,   16.000, 4200,  22.059,  35.663,   9.906,  18.600,  27.419,   7.616, 54,  0,   0.975,   2.028,   0.563,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:230, 2099816327737839,    2.511,   16.000,  800,  18.542,  37.726,  10.479,  15.048,  29.093,   8.081, 36,  0,   1.199,   2.161,   0.600,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:340, 2099816722532165,    2.620,    4.000,  800,   4.106,  38.176,  10.605,   0.691,  29.168,   8.102, 34,  0,   0.690,   2.237,   0.621,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:449, 2099817114826199,    2.729,    9.000, 4200,   9.012,  39.158,  10.877,   5.551,  29.773,   8.270, 47,  0,   0.959,   2.341,   0.650,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:558, 2099817506622501,    2.838,    3.000, 1000,   7.735,  40.000,  11.111,   4.359,  30.248,   8.402, 33,  0,   0.720,   2.420,   0.672,4095.875,4095.875,   0.000,   0.000,   0.000
15:11:22:667, 2099817896899269,    2.946,    3.000, 3700,   4.689,  40.508,  11.252,   1.277,  30.386,   8.441, 33,  0,   0.696,   2.495,   0.693,4095.875,4095.875,   0.000,   0.000,   0.000
