System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:12:56:873, 2100157040036791,    0.106,    2.000,  800,   8.377,   0.886,   0.246,   2.267,   0.240,   0.067, 32,  0,   0.704,   0.074,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:56:980, 2100157425404017,    0.213,    3.000, 4300,   6.542,   1.586,   0.441,   0.628,   0.307,   0.085, 32,  0,   0.677,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:090, 2100157820449927,    0.323,    1.000,  800,   6.977,   2.352,   0.653,   0.967,   0.413,   0.115, 32,  0,   0.672,   0.221,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:200, 2100158217020617,    0.433,    3.000,  800,   7.381,   3.165,   0.879,   1.428,   0.570,   0.158, 32,  0,   0.704,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:308, 2100158606745743,    0.541,    2.000,  800,   6.499,   3.869,   1.075,   0.563,   0.631,   0.175, 31,  0,   0.668,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:418, 2100159003355283,    0.651,    2.000,  800,   6.532,   4.588,   1.274,   0.528,   0.690,   0.192, 31,  0,   0.678,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:528, 2100159395762235,    0.760,    7.000, 4000,   8.525,   5.517,   1.533,   2.565,   0.969,   0.269, 32,  0,   0.707,   0.522,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:636, 2100159786234997,    0.869,   10.000, 4100,  10.808,   6.690,   1.858,   4.995,   1.511,   0.420, 36,  0,   0.683,   0.596,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:746, 2100160183686789,    0.979,    3.000,  800,   7.746,   7.545,   2.096,   1.697,   1.698,   0.472, 31,  0,   0.683,   0.672,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:855, 2100160574598197,    1.088,   15.000, 4200,  19.630,   9.676,   2.688,  13.686,   3.184,   0.885, 46,  0,   0.973,   0.778,   0.216,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:57:964, 2100160966749000,    1.197,   22.000, 4100,  26.515,  12.565,   3.490,  20.465,   5.413,   1.504, 46,  0,   1.029,   0.890,   0.247,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:075, 2100161366262563,    1.307,   20.000, 4100,  25.666,  15.413,   4.281,  19.670,   7.596,   2.110, 48,  0,   0.875,   0.987,   0.274,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:185, 2100161762437377,    1.418,   16.000, 4200,  23.714,  18.023,   5.006,  17.727,   9.547,   2.652, 44,  0,   0.996,   1.096,   0.305,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:295, 2100162158508049,    1.528,   14.000, 4200,  21.383,  20.375,   5.660,  15.279,  11.228,   3.119, 34,  0,   1.291,   1.238,   0.344,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:401, 2100162541429539,    1.634,    2.000,  800,   7.358,  21.158,   5.877,   1.408,  11.378,   3.161, 33,  0,   0.679,   1.311,   0.364,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:515, 2100162950293254,    1.747,   29.000, 4200,  11.473,  22.461,   6.239,   5.491,  12.002,   3.334, 49,  0,   0.979,   1.422,   0.395,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:620, 2100163329930091,    1.853,    2.000,  800,   9.415,  23.454,   6.515,   3.401,  12.360,   3.433, 32,  0,   0.711,   1.497,   0.416,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:731, 2100163729115724,    1.964,    3.000,  800,   6.526,  24.177,   6.716,   0.564,  12.423,   3.451, 32,  0,   0.675,   1.572,   0.437,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:838, 2100164115121239,    2.071,    3.000,  800,   7.460,  24.977,   6.938,   1.510,  12.585,   3.496, 32,  0,   0.701,   1.647,   0.457,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:58:949, 2100164513765481,    2.182,    5.000,  800,   9.581,  26.038,   7.233,   0.629,  12.654,   3.515, 32,  0,   0.685,   1.723,   0.478,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:058, 2100164907436883,    2.291,    9.000, 4000,  17.474,  27.949,   7.764,   6.296,  13.343,   3.706, 32,  0,   0.860,   1.817,   0.505,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:167, 2100165300597743,    2.400,    3.000,  800,  12.175,  29.279,   8.133,   1.134,  13.467,   3.741, 32,  0,   0.687,   1.892,   0.525,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:280, 2100165705331265,    2.513,    3.000,  800,  11.579,  30.581,   8.495,   0.552,  13.529,   3.758, 32,  0,   0.678,   1.968,   0.547,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:389, 2100166096804369,    2.622,    2.000,  800,  11.675,  31.850,   8.847,   0.577,  13.591,   3.775, 32,  0,   0.677,   2.041,   0.567,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:504, 2100166511659021,    2.737,   22.000, 4300,  13.294,  33.382,   9.273,   2.345,  13.862,   3.850, 39,  0,   0.710,   2.123,   0.590,4095.875,4095.875,   0.000,   0.000,   0.000
15:12:59:552, 2100166684680821,    2.785,   15.000, 4200,  23.270,  34.500,   9.583,  12.249,  14.450,   4.014, 41,  0,   0.805,   2.162,   0.601,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.784819
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 34.500488
Cumulative Processor Energy_0 (mWh) = 9.583469
Average Processor Power_0 (Watt) = 12.388773

Cumulative IA Energy_0 (Joules) = 14.450317
Cumulative IA Energy_0 (mWh) = 4.013977
Average IA Power_0 (Watt) = 5.188961

Cumulative DRAM Energy_0 (Joules) = 2.161987
Cumulative DRAM Energy_0 (mWh) = 0.600552
Average DRAM Power_0 (Watt) = 0.776348
