System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:18:16:247, 2075386801328065,    0.101,    3.000,  800,  13.606,   1.368,   0.380,   2.532,   0.255,   0.071, 31,  0,   0.702,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:352, 2075387177529387,    0.205,    3.000,  800,  11.708,   2.591,   0.720,   0.583,   0.315,   0.088, 31,  0,   0.696,   0.143,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:465, 2075387587099291,    0.319,    5.000,  800,  11.730,   3.926,   1.091,   0.641,   0.388,   0.108, 31,  0,   0.695,   0.222,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:572, 2075387972137337,    0.426,    3.000, 1300,  14.009,   5.424,   1.507,   2.933,   0.702,   0.195, 31,  0,   0.705,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:680, 2075388361350381,    0.534,    2.000,  800,  11.663,   6.685,   1.857,   0.609,   0.768,   0.213, 31,  0,   0.674,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:790, 2075388756733189,    0.644,    2.000,  800,  11.603,   7.960,   2.211,   0.517,   0.825,   0.229, 31,  0,   0.674,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:16:900, 2075389152044590,    0.754,    2.000,  800,  11.487,   9.221,   2.561,   0.504,   0.880,   0.244, 31,  0,   0.665,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:009, 2075389543581386,    0.862,    4.000,  800,  11.694,  10.493,   2.915,   0.603,   0.946,   0.263, 30,  0,   0.686,   0.592,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:121, 2075389947945103,    0.975,    6.000, 2700,  14.974,  12.175,   3.382,   3.927,   1.387,   0.385, 33,  0,   0.786,   0.681,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:227, 2075390327955855,    1.080,   15.000, 4200,  23.538,  14.659,   4.072,  12.423,   2.698,   0.749, 49,  0,   1.062,   0.793,   0.220,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:337, 2075390723832485,    1.190,   17.000, 4200,  31.341,  18.106,   5.029,  20.269,   4.927,   1.369, 48,  0,   0.713,   0.871,   0.242,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:449, 2075391127131019,    1.302,   16.000, 4200,  31.318,  21.614,   6.004,  20.250,   7.195,   1.999, 48,  0,   0.691,   0.949,   0.264,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:556, 2075391512335195,    1.409,   19.000, 4200,  32.468,  25.088,   6.969,  21.386,   9.484,   2.634, 44,  0,   0.738,   1.028,   0.285,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:667, 2075391911933783,    1.520,   18.000, 4200,  31.659,  28.602,   7.945,  20.583,  11.768,   3.269, 51,  0,   0.706,   1.106,   0.307,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:775, 2075392300722067,    1.628,   16.000, 4200,  31.441,  31.998,   8.888,  20.389,  13.970,   3.881, 47,  0,   0.709,   1.183,   0.328,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:883, 2075392689575357,    1.736,   17.000, 4200,  31.429,  35.393,   9.831,  20.327,  16.166,   4.491, 52,  0,   0.737,   1.262,   0.351,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:17:994, 2075393089179961,    1.847,   16.000, 4200,  31.362,  38.874,  10.798,  20.305,  18.420,   5.117, 52,  0,   0.706,   1.341,   0.372,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:104, 2075393485090041,    1.957,   16.000, 4200,  31.140,  42.299,  11.750,  20.030,  20.623,   5.729, 39,  0,   0.824,   1.431,   0.398,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:212, 2075393873889001,    2.065,   17.000, 4200,  29.021,  45.433,  12.620,  17.904,  22.556,   6.266, 41,  0,   1.088,   1.549,   0.430,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:320, 2075394264961789,    2.174,   11.000,  800,  21.118,  47.727,  13.257,   9.878,  23.629,   6.564, 33,  0,   0.964,   1.653,   0.459,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:433, 2075394670816397,    2.287,    5.000,  800,  11.763,  49.053,  13.626,   0.779,  23.717,   6.588, 33,  0,   0.727,   1.735,   0.482,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:540, 2075395056020189,    2.394,   14.000, 3900,  17.061,  50.879,  14.133,   5.926,  24.351,   6.764, 35,  0,   1.064,   1.849,   0.514,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:649, 2075395447827189,    2.502,    3.000,  800,  12.222,  52.209,  14.502,   1.131,  24.474,   6.798, 32,  0,   0.684,   1.924,   0.534,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:761, 2075395852202763,    2.615,    2.000,  800,  11.653,  53.518,  14.866,   0.617,  24.544,   6.818, 32,  0,   0.671,   1.999,   0.555,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:869, 2075396240190531,    2.722,    2.000,  800,  11.714,  54.780,  15.217,   0.618,  24.610,   6.836, 31,  0,   0.675,   2.072,   0.575,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:18:979, 2075396636390005,    2.832,    2.000,  800,  11.566,  56.053,  15.570,   0.505,  24.666,   6.852, 31,  0,   0.670,   2.145,   0.596,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:19:088, 2075397030621407,    2.942,    3.000,  800,  11.697,  57.334,  15.926,   0.579,  24.729,   6.869, 31,  0,   0.682,   2.220,   0.617,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:19:198, 2075397424793722,    3.051,    3.000,  800,  11.623,  58.607,  16.280,   0.610,  24.796,   6.888, 31,  0,   0.676,   2.294,   0.637,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:19:306, 2075397813347489,    3.159,    3.000,  800,  11.657,  59.865,  16.629,   0.578,  24.858,   6.905, 31,  0,   0.676,   2.367,   0.658,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:19:414, 2075398203272909,    3.268,    2.000,  800,  11.719,  61.134,  16.982,   0.575,  24.921,   6.922, 30,  0,   0.678,   2.441,   0.678,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:19:517, 2075398576930861,    3.372,   18.000, 4100,  17.116,  62.911,  17.475,   6.259,  25.570,   7.103, 39,  0,   0.796,   2.523,   0.701,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.371534
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 62.910583
Cumulative Processor Energy_0 (mWh) = 17.475162
Average Processor Power_0 (Watt) = 18.659336

Cumulative IA Energy_0 (Joules) = 25.570313
Cumulative IA Energy_0 (mWh) = 7.102865
Average IA Power_0 (Watt) = 7.584178

Cumulative DRAM Energy_0 (Joules) = 2.523193
Cumulative DRAM Energy_0 (mWh) = 0.700887
Average DRAM Power_0 (Watt) = 0.748381
