System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:18:06:744, 2075352589112747,    0.097,    7.000,  800,   7.467,   0.727,   0.202,   4.075,   0.397,   0.110, 32,  0,   0.717,   0.070,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:06:855, 2075352988949439,    0.208,    6.000,  900,   5.653,   1.355,   0.376,   2.250,   0.647,   0.180, 32,  0,   0.700,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:06:963, 2075353377782017,    0.316,    7.000, 1000,   6.072,   2.011,   0.558,   2.673,   0.935,   0.260, 32,  0,   0.706,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:074, 2075353779374331,    0.428,   12.000,  800,   4.369,   2.498,   0.694,   0.945,   1.041,   0.289, 32,  0,   0.684,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:181, 2075354162132433,    0.534,   15.000, 2000,   4.791,   3.007,   0.835,   1.408,   1.190,   0.331, 32,  0,   0.725,   0.377,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:291, 2075354560253661,    0.645,    9.000,  800,   4.472,   3.502,   0.973,   1.081,   1.310,   0.364, 31,  0,   0.679,   0.452,   0.126,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:399, 2075354946718313,    0.752,    6.000, 1200,   5.768,   4.121,   1.145,   2.333,   1.560,   0.433, 32,  0,   0.722,   0.530,   0.147,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:508, 2075355340120605,    0.862,   10.000, 3400,   6.200,   4.799,   1.333,   2.814,   1.868,   0.519, 32,  0,   0.733,   0.610,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:622, 2075355749865775,    0.975,    9.000, 4200,   5.030,   5.371,   1.492,   1.657,   2.057,   0.571, 32,  0,   0.724,   0.692,   0.192,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:729, 2075356134610581,    1.082,   22.000, 4200,  23.064,   7.836,   2.177,  19.563,   4.147,   1.152, 47,  0,   1.129,   0.813,   0.226,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:837, 2075356523337052,    1.190,   18.000, 4100,  22.311,  10.245,   2.846,  18.845,   6.182,   1.717, 43,  0,   1.081,   0.930,   0.258,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:07:947, 2075356919278495,    1.300,   36.000, 4100,  31.995,  13.764,   3.823,  28.412,   9.307,   2.585, 43,  0,   1.442,   1.088,   0.302,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:057, 2075357315341264,    1.410,   17.000, 4200,  21.628,  16.143,   4.484,  18.142,  11.303,   3.140, 48,  0,   1.168,   1.217,   0.338,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:165, 2075357704009266,    1.518,   17.000, 4200,  23.072,  18.634,   5.176,  19.647,  13.424,   3.729, 50,  0,   0.971,   1.322,   0.367,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:277, 2075358107602555,    1.630,   21.000, 3900,  22.075,  21.109,   5.864,  18.508,  15.499,   4.305, 35,  0,   1.335,   1.471,   0.409,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:387, 2075358506088999,    1.741,   13.000, 1200,   5.154,  21.680,   6.022,   1.712,  15.689,   4.358, 33,  0,   0.802,   1.560,   0.433,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:493, 2075358886421905,    1.847,   37.000, 3600,   6.565,  22.373,   6.215,   3.244,  16.031,   4.453, 41,  0,   1.002,   1.666,   0.463,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:605, 2075359289159369,    1.958,   12.000, 4200,  15.806,  24.142,   6.706,  12.311,  17.409,   4.836, 35,  0,   0.924,   1.769,   0.491,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:712, 2075359675165043,    2.066,    5.000,  800,   6.055,  24.791,   6.886,   2.591,  17.686,   4.913, 33,  0,   0.757,   1.850,   0.514,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:820, 2075360064331339,    2.174,    6.000, 2800,   4.848,  25.315,   7.032,   1.452,  17.843,   4.956, 32,  0,   0.713,   1.928,   0.535,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:08:930, 2075360460852087,    2.284,    2.000,  800,   4.188,  25.776,   7.160,   0.749,  17.926,   4.979, 32,  0,   0.679,   2.002,   0.556,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:041, 2075360861363755,    2.395,    2.000,  800,   3.953,  26.216,   7.282,   0.561,  17.988,   4.997, 32,  0,   0.672,   2.077,   0.577,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:150, 2075361252913967,    2.504,    7.000, 4200,   5.068,  26.767,   7.435,   1.652,  18.168,   5.047, 34,  0,   0.712,   2.155,   0.598,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:258, 2075361639985521,    2.611,    2.000,  800,   4.729,  27.276,   7.577,   1.344,  18.312,   5.087, 32,  0,   0.682,   2.228,   0.619,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:370, 2075362042493913,    2.723,    4.000,  800,   4.079,  27.732,   7.703,   0.670,  18.387,   5.108, 32,  0,   0.677,   2.304,   0.640,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:494, 2075362491435459,    2.848,   21.000, 4300,   5.142,  28.373,   7.881,   1.740,  18.604,   5.168, 39,  0,   0.692,   2.390,   0.664,4095.875,4095.875,   0.000,   0.000,   0.000
13:18:09:517, 2075362574938975,    2.871,   19.000, 4200,  17.741,  28.785,   7.996,  14.562,  18.942,   5.262, 40,  0,   0.939,   2.412,   0.670,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.871196
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 28.784546
Cumulative Processor Energy_0 (mWh) = 7.995707
Average Processor Power_0 (Watt) = 10.025281

Cumulative IA Energy_0 (Joules) = 18.942200
Cumulative IA Energy_0 (mWh) = 5.261722
Average IA Power_0 (Watt) = 6.597321

Cumulative DRAM Energy_0 (Joules) = 2.411621
Cumulative DRAM Energy_0 (mWh) = 0.669895
Average DRAM Power_0 (Watt) = 0.839936
