System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:16:18:915, 2074964406866641,    0.105,    2.000,  800,   5.944,   0.622,   0.173,   2.440,   0.255,   0.071, 32,  0,   0.711,   0.074,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:024, 2074964798720889,    0.213,    2.000,  800,   3.881,   1.044,   0.290,   0.506,   0.310,   0.086, 32,  0,   0.666,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:136, 2074965202201681,    0.326,    4.000, 1800,   4.780,   1.580,   0.439,   1.385,   0.466,   0.129, 32,  0,   0.701,   0.225,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:242, 2074965585192821,    0.432,    2.000,  900,   7.233,   2.350,   0.653,   1.810,   0.658,   0.183, 31,  0,   0.682,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:352, 2074965980071009,    0.542,    2.000,  800,   6.483,   3.061,   0.850,   0.506,   0.714,   0.198, 32,  0,   0.674,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:464, 2074966382814601,    0.653,    2.000,  800,   6.425,   3.779,   1.050,   0.521,   0.772,   0.214, 31,  0,   0.667,   0.447,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:574, 2074966778633245,    0.763,    4.000, 1000,   8.973,   4.766,   1.324,   3.011,   1.103,   0.306, 32,  0,   0.698,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:681, 2074967163117489,    0.870,    2.000,  800,   6.532,   5.464,   1.518,   0.561,   1.163,   0.323, 31,  0,   0.673,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:793, 2074967566796917,    0.982,    2.000,  800,   6.486,   6.191,   1.720,   0.537,   1.223,   0.340, 30,  0,   0.669,   0.670,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:19:900, 2074967952304825,    1.089,   16.000, 4200,  19.202,   8.247,   2.291,  13.289,   2.646,   0.735, 44,  0,   1.217,   0.800,   0.222,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:012, 2074968355438589,    1.201,   17.000, 4200,  24.055,  10.941,   3.039,  17.993,   4.661,   1.295, 44,  0,   1.432,   0.961,   0.267,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:118, 2074968737421945,    1.308,   16.000, 4200,  21.707,  13.244,   3.679,  15.448,   6.300,   1.750, 33,  0,   1.389,   1.108,   0.308,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:227, 2074969129036809,    1.416,    6.000,  800,   7.662,  14.078,   3.910,   1.673,   6.482,   1.801, 32,  0,   0.776,   1.193,   0.331,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:336, 2074969520600087,    1.525,   18.000, 4200,  17.919,  16.027,   4.452,  11.903,   7.777,   2.160, 44,  0,   1.461,   1.352,   0.375,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:447, 2074969920971495,    1.636,    9.000,  800,   9.414,  17.074,   4.743,   3.324,   8.146,   2.263, 32,  0,   1.029,   1.466,   0.407,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:558, 2074970321601569,    1.748,    5.000, 3400,   9.591,  18.141,   5.039,   3.655,   8.553,   2.376, 32,  0,   0.716,   1.546,   0.429,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:666, 2074970709498683,    1.855,    1.000,  800,   6.716,  18.865,   5.240,   0.732,   8.632,   2.398, 32,  0,   0.674,   1.618,   0.450,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:773, 2074971097084945,    1.963,    2.000,  800,   6.475,  19.562,   5.434,   0.497,   8.685,   2.413, 31,  0,   0.673,   1.691,   0.470,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:885, 2074971496865843,    2.074,    2.000,  800,   6.483,  20.282,   5.634,   0.527,   8.744,   2.429, 31,  0,   0.674,   1.766,   0.490,4095.875,4095.875,   0.000,   0.000,   0.000
13:16:20:994, 2074971890045677,    2.183,    2.000,  800,   6.435,  20.984,   5.829,   0.495,   8.798,   2.444, 31,  0,   0.671,   1.839,   0.511,4095.875,4095.875,   0.000,   0.000,   0.000
