System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:34:54:479, 2091940424791283,    0.109,    2.000,  800,  13.385,   1.458,   0.405,   2.207,   0.240,   0.067, 32,  0,   0.700,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:54:588, 2091940816729482,    0.218,    8.000, 1400,  12.701,   2.841,   0.789,   1.620,   0.417,   0.116, 32,  0,   0.703,   0.153,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:54:700, 2091941220867017,    0.330,    2.000,  800,  11.621,   4.146,   1.152,   0.578,   0.482,   0.134, 31,  0,   0.670,   0.228,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:54:808, 2091941610639859,    0.438,    2.000,  800,  11.568,   5.398,   1.499,   0.530,   0.539,   0.150, 32,  0,   0.669,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:54:920, 2091942012772399,    0.550,    6.000, 4200,  12.114,   6.751,   1.875,   1.105,   0.662,   0.184, 37,  0,   0.722,   0.381,   0.106,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:027, 2091942397005797,    0.657,    6.000,  800,  14.443,   8.293,   2.304,   3.231,   1.007,   0.280, 31,  0,   0.782,   0.465,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:137, 2091942794290345,    0.767,    1.000,  800,  11.680,   9.582,   2.662,   0.653,   1.079,   0.300, 31,  0,   0.676,   0.539,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:247, 2091943190300163,    0.877,    2.000,  800,  11.620,  10.860,   3.017,   0.554,   1.140,   0.317, 32,  0,   0.672,   0.613,   0.170,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:356, 2091943582419741,    0.986,    3.000, 4100,  12.496,  12.221,   3.395,   1.437,   1.297,   0.360, 32,  0,   0.677,   0.687,   0.191,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:463, 2091943967156797,    1.093,   15.000, 4200,  24.948,  14.887,   4.135,  13.875,   2.780,   0.772, 46,  0,   1.003,   0.794,   0.221,4095.875,4095.875,   0.000,   0.000,   0.000
14:34:55:575, 2091944370376567,    1.205,   18.000, 4200,  30.728,  18.329,   5.091,  19.644,   4.980,   1.383, 47,  0,   1.017,   0.908,   0.252,4095.875,4095.875,   0.000,   0.000,   0.000
