System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:37:32:373, 2092508841571741,    0.111,    6.000,  800,   6.580,   0.727,   0.202,   3.060,   0.338,   0.094, 32,  0,   0.729,   0.081,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:32:496, 2092509287192686,    0.234,   19.000, 4300,  13.839,   2.440,   0.678,  10.560,   1.645,   0.457, 38,  0,   0.763,   0.175,   0.049,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:32:592, 2092509630300469,    0.330,    5.000,  800,   5.814,   2.994,   0.832,   2.235,   1.858,   0.516, 32,  0,   0.710,   0.243,   0.067,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:32:701, 2092510025458657,    0.439,   11.000,  800,   4.197,   3.455,   0.960,   0.830,   1.949,   0.542, 32,  0,   0.681,   0.317,   0.088,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:32:808, 2092510410585014,    0.546,   11.000,  800,   4.221,   3.906,   1.085,   0.808,   2.036,   0.566, 32,  0,   0.685,   0.391,   0.109,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:32:917, 2092510804039689,    0.656,   13.000,  800,   4.308,   4.377,   1.216,   0.883,   2.132,   0.592, 32,  0,   0.688,   0.466,   0.129,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:026, 2092511193697717,    0.764,   10.000,  800,   4.195,   4.831,   1.342,   0.804,   2.219,   0.617, 32,  0,   0.689,   0.540,   0.150,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:136, 2092511588370994,    0.874,    6.000, 3100,   5.248,   5.407,   1.502,   1.817,   2.419,   0.672, 32,  0,   0.719,   0.619,   0.172,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:245, 2092511982753039,    0.983,    6.000,  800,   4.212,   5.868,   1.630,   0.832,   2.510,   0.697, 31,  0,   0.689,   0.695,   0.193,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:354, 2092512375822889,    1.092,   18.000, 4100,  17.301,   7.757,   2.155,  14.038,   4.042,   1.123, 43,  0,   0.999,   0.804,   0.223,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:464, 2092512771771147,    1.202,   18.000, 4200,  22.195,  10.198,   2.833,  18.652,   6.094,   1.693, 49,  0,   1.170,   0.933,   0.259,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:572, 2092513160464323,    1.310,   31.000, 4200,  29.186,  13.349,   3.708,  25.840,   8.884,   2.468, 47,  0,   1.208,   1.063,   0.295,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:683, 2092513559939083,    1.421,   17.000, 4200,  21.700,  15.757,   4.377,  18.024,  10.884,   3.023, 44,  0,   1.248,   1.201,   0.334,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:793, 2092513956041431,    1.531,   16.000, 4200,  22.017,  18.180,   5.050,  18.584,  12.929,   3.591, 47,  0,   0.966,   1.308,   0.363,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:33:901, 2092514345609793,    1.639,   18.000, 4200,  22.502,  20.615,   5.726,  19.140,  15.000,   4.167, 47,  0,   1.138,   1.431,   0.397,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:013, 2092514746172867,    1.751,    4.000,  800,   8.195,  21.527,   5.980,   4.511,  15.502,   4.306, 33,  0,   0.814,   1.522,   0.423,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:120, 2092515130765907,    1.858,    6.000, 4200,   5.452,  22.109,   6.141,   2.022,  15.718,   4.366, 41,  0,   0.787,   1.606,   0.446,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:229, 2092515524905517,    1.967,    4.000,  800,   8.800,  23.073,   6.409,   5.398,  16.309,   4.530, 33,  0,   0.782,   1.691,   0.470,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:338, 2092515917621633,    2.076,    4.000,  800,   3.983,  23.507,   6.530,   0.580,  16.372,   4.548, 33,  0,   0.680,   1.765,   0.490,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:449, 2092516316044813,    2.187,   12.000, 4200,  14.980,  25.165,   6.990,  11.545,  17.650,   4.903, 34,  0,   0.835,   1.858,   0.516,4095.875,4095.875,   0.000,   0.000,   0.000
14:37:34:558, 2092516709326867,    2.296,    4.000, 1600,   6.908,  25.919,   7.200,   3.497,  18.032,   5.009, 33,  0,   0.711,   1.935,   0.538,4095.875,4095.875,   0.000,   0.000,   0.000
