System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:32:57:545, 2091519462239073,    0.100,    3.000, 2400,   8.283,   0.832,   0.231,   4.890,   0.491,   0.136, 33,  0,   0.732,   0.073,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:57:651, 2091519843870123,    0.206,    3.000,  800,   4.091,   1.266,   0.352,   0.685,   0.564,   0.157, 32,  0,   0.677,   0.145,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:57:763, 2091520247901289,    0.319,    3.000,  800,   3.971,   1.711,   0.475,   0.575,   0.628,   0.175, 32,  0,   0.677,   0.221,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:57:872, 2091520640308563,    0.428,    2.000,  800,   3.983,   2.146,   0.596,   0.582,   0.692,   0.192, 32,  0,   0.671,   0.294,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:57:980, 2091521028290719,    0.535,    2.000,  800,   4.029,   2.580,   0.717,   0.618,   0.758,   0.211, 32,  0,   0.676,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:088, 2091521418359095,    0.644,    2.000,  800,   3.998,   3.013,   0.837,   0.608,   0.824,   0.229, 32,  0,   0.670,   0.440,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:200, 2091521823266357,    0.756,    2.000,  800,   3.998,   3.463,   0.962,   0.587,   0.890,   0.247, 32,  0,   0.675,   0.516,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:308, 2091522210793868,    0.864,    4.000, 1900,   4.635,   3.961,   1.100,   1.247,   1.025,   0.285, 32,  0,   0.705,   0.591,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:417, 2091522599799195,    0.972,   15.000, 4200,  14.296,   5.506,   1.530,  10.738,   2.185,   0.607, 33,  0,   1.298,   0.732,   0.203,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:526, 2091522994087239,    1.082,   25.000, 4200,  17.540,   7.427,   2.063,  14.164,   3.736,   1.038, 47,  0,   1.203,   0.864,   0.240,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:635, 2091523386458523,    1.191,   17.000, 4200,  21.433,   9.763,   2.712,  17.978,   5.696,   1.582, 49,  0,   1.058,   0.979,   0.272,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:745, 2091523782458599,    1.301,   17.000, 4200,  21.014,  12.075,   3.354,  17.494,   7.620,   2.117, 48,  0,   1.344,   1.127,   0.313,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:858, 2091524189282593,    1.414,   16.000, 4200,  21.252,  14.477,   4.021,  17.746,   9.625,   2.674, 52,  0,   1.339,   1.278,   0.355,4095.875,4095.875,   0.000,   0.000,   0.000
14:32:58:965, 2091524575865783,    1.521,   10.000,  800,  12.030,  15.768,   4.380,   8.472,  10.535,   2.926, 34,  0,   1.133,   1.400,   0.389,4095.875,4095.875,   0.000,   0.000,   0.000
