System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:17:28:276, 2088174096028014,    0.099,   13.000, 4200,  22.588,   2.247,   0.624,  11.312,   1.125,   0.313, 38,  0,   0.867,   0.086,   0.024,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:389, 2088174501248339,    0.212,   33.000, 4200,  35.571,   6.251,   1.736,  24.587,   3.893,   1.081, 40,  0,   1.101,   0.210,   0.058,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:514, 2088174953136161,    0.338,   24.000, 4200,  26.037,   9.520,   2.644,  14.845,   5.756,   1.599, 40,  0,   0.909,   0.324,   0.090,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:603, 2088175273871721,    0.427,    3.000,  800,  11.827,  10.573,   2.937,   0.739,   5.822,   1.617, 32,  0,   0.682,   0.385,   0.107,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:716, 2088175680991519,    0.540,    2.000,  800,  11.625,  11.888,   3.302,   0.562,   5.886,   1.635, 32,  0,   0.674,   0.461,   0.128,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:826, 2088176074461513,    0.649,    5.000,  800,  11.735,  13.171,   3.658,   0.697,   5.962,   1.656, 31,  0,   0.678,   0.535,   0.149,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:28:934, 2088176464620767,    0.757,    2.000,  800,  11.655,  14.434,   4.009,   0.521,   6.018,   1.672, 32,  0,   0.675,   0.609,   0.169,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:29:041, 2088176850147681,    0.865,    2.000,  800,  11.571,  15.673,   4.354,   0.514,   6.073,   1.687, 32,  0,   0.670,   0.680,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:29:151, 2088177244795677,    0.974,    3.000, 2500,  12.637,  17.058,   4.738,   1.645,   6.254,   1.737, 32,  0,   0.674,   0.754,   0.209,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:29:260, 2088177637115869,    1.083,   18.000, 4200,  26.283,  19.922,   5.534,  15.302,   7.921,   2.200, 49,  0,   0.878,   0.850,   0.236,4095.875,4095.875,   0.000,   0.000,   0.000
