System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:17:17:354, 2088134777722925,    0.102,    2.000,  800,   5.869,   0.597,   0.166,   2.347,   0.239,   0.066, 32,  0,   0.708,   0.072,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:17:465, 2088135175863415,    0.212,    3.000, 3100,   4.169,   1.058,   0.294,   0.793,   0.327,   0.091, 32,  0,   0.675,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:17:573, 2088135566544021,    0.321,    4.000,  800,   6.529,   1.767,   0.491,   3.098,   0.663,   0.184, 32,  0,   0.718,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:17:682, 2088135958961103,    0.430,    2.000,  800,   3.922,   2.194,   0.610,   0.518,   0.719,   0.200, 32,  0,   0.672,   0.298,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:17:792, 2088136351376341,    0.539,   25.000, 4100,  16.233,   3.964,   1.101,  13.034,   2.140,   0.594, 40,  0,   0.833,   0.389,   0.108,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:17:903, 2088136751238113,    0.650,   31.000, 4200,  27.409,   7.008,   1.947,  23.807,   4.784,   1.329, 45,  0,   1.058,   0.506,   0.141,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:013, 2088137147222367,    0.760,   17.000, 4200,  20.160,   9.226,   2.563,  16.739,   6.626,   1.840, 51,  0,   0.810,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:122, 2088137539610279,    0.869,   18.000, 4200,  20.370,  11.446,   3.179,  16.959,   8.474,   2.354, 51,  0,   0.791,   0.682,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:230, 2088137928404245,    0.977,   18.000, 4200,  20.746,  13.687,   3.802,  17.316,  10.344,   2.873, 51,  0,   0.845,   0.773,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:339, 2088138320696949,    1.086,   39.000, 4200,  32.790,  17.260,   4.794,  29.356,  13.543,   3.762, 46,  0,   1.125,   0.895,   0.249,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:451, 2088138723908165,    1.198,   39.000, 4200,  33.128,  20.970,   5.825,  29.599,  16.858,   4.683, 45,  0,   1.204,   1.030,   0.286,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:558, 2088139109048725,    1.305,   40.000, 4200,  35.257,  24.742,   6.873,  31.739,  20.254,   5.626, 47,  0,   1.294,   1.169,   0.325,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:667, 2088139501369181,    1.414,   37.000, 4100,  31.979,  28.227,   7.841,  28.634,  23.374,   6.493, 50,  0,   1.045,   1.283,   0.356,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:777, 2088139897537508,    1.524,   37.000, 4100,  31.922,  31.740,   8.817,  28.320,  26.491,   7.359, 51,  0,   1.194,   1.414,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:888, 2088140297245823,    1.635,   34.000, 4200,  30.620,  35.140,   9.761,  27.182,  29.509,   8.197, 46,  0,   0.971,   1.522,   0.423,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:18:997, 2088140689573237,    1.744,   36.000, 4200,  30.546,  38.469,  10.686,  27.011,  32.453,   9.015, 48,  0,   1.251,   1.658,   0.461,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:105, 2088141078305304,    1.852,   41.000, 4100,  33.347,  42.069,  11.686,  29.806,  35.671,   9.909, 49,  0,   1.375,   1.807,   0.502,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:213, 2088141467212573,    1.960,   36.000, 4200,  31.002,  45.419,  12.616,  27.441,  38.635,  10.732, 49,  0,   1.485,   1.967,   0.546,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:328, 2088141881026844,    2.075,   43.000, 4100,  34.678,  49.405,  13.724,  31.023,  42.201,  11.723, 48,  0,   1.855,   2.180,   0.606,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:433, 2088142259083005,    2.180,   26.000, 4200,  26.507,  52.188,  14.497,  22.958,  44.612,  12.392, 47,  0,   1.048,   2.290,   0.636,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:545, 2088142662291525,    2.292,   20.000, 4200,  21.047,  54.546,  15.152,  17.619,  46.586,  12.940, 50,  0,   0.757,   2.375,   0.660,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:651, 2088143043855315,    2.398,   17.000, 4100,  19.921,  56.657,  15.738,  16.523,  48.337,  13.427, 48,  0,   0.718,   2.451,   0.681,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:19:763, 2088143446987077,    2.510,   16.000, 4100,  19.781,  58.872,  16.353,  16.365,  50.170,  13.936, 48,  0,   0.718,   2.532,   0.703,4095.875,4095.875,   0.000,   0.000,   0.000
