System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:17:22:542, 2088153454789569,    0.103,    4.000, 2500,   8.042,   0.828,   0.230,   4.519,   0.465,   0.129, 32,  0,   0.738,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:22:652, 2088153849320915,    0.213,    2.000,  800,   4.133,   1.281,   0.356,   0.715,   0.543,   0.151, 32,  0,   0.677,   0.150,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:22:763, 2088154248915691,    0.324,    2.000,  800,   3.959,   1.720,   0.478,   0.556,   0.605,   0.168, 32,  0,   0.671,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:22:869, 2088154630919403,    0.430,    1.000,  800,   3.913,   2.135,   0.593,   0.518,   0.660,   0.183, 32,  0,   0.670,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:22:981, 2088155034464589,    0.542,    2.000,  800,   3.916,   2.574,   0.715,   0.516,   0.718,   0.199, 32,  0,   0.674,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:091, 2088155430679389,    0.652,    2.000,  800,   3.909,   3.004,   0.835,   0.507,   0.774,   0.215, 32,  0,   0.673,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:198, 2088155813936481,    0.758,    2.000,  800,   3.934,   3.423,   0.951,   0.549,   0.832,   0.231, 32,  0,   0.668,   0.516,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:310, 2088156217489939,    0.870,    2.000,  800,   3.943,   3.865,   1.074,   0.544,   0.893,   0.248, 32,  0,   0.672,   0.592,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:419, 2088156609480797,    0.979,    7.000, 3900,   5.045,   4.414,   1.226,   1.651,   1.073,   0.298, 32,  0,   0.710,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:528, 2088157002421440,    1.088,   29.000, 4200,  20.409,   6.642,   1.845,  17.168,   2.947,   0.819, 47,  0,   0.965,   0.774,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:637, 2088157394909813,    1.197,   17.000, 4100,  22.862,   9.135,   2.537,  19.386,   5.060,   1.406, 46,  0,   0.715,   0.852,   0.237,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:748, 2088157794411041,    1.308,   18.000, 4200,  23.413,  11.733,   3.259,  19.778,   7.255,   2.015, 47,  0,   0.713,   0.931,   0.259,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:854, 2088158175866116,    1.414,   18.000, 4100,  25.873,  14.474,   4.021,  19.917,   9.366,   2.602, 47,  0,   0.724,   1.008,   0.280,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:23:966, 2088158579222193,    1.526,   16.000, 4100,  24.984,  17.273,   4.798,  19.023,  11.497,   3.194, 52,  0,   0.702,   1.087,   0.302,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:076, 2088158975203731,    1.636,   17.000, 4200,  24.896,  20.012,   5.559,  18.937,  13.580,   3.772, 51,  0,   0.710,   1.165,   0.324,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:186, 2088159371222163,    1.746,   17.000, 4200,  25.515,  22.819,   6.339,  19.560,  15.732,   4.370, 51,  0,   0.779,   1.251,   0.347,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:294, 2088159760035563,    1.854,   16.000, 4200,  25.038,  25.523,   7.090,  19.051,  17.789,   4.941, 50,  0,   0.716,   1.328,   0.369,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:401, 2088160145231613,    1.961,   18.000, 4200,  25.585,  28.260,   7.850,  19.603,  19.887,   5.524, 44,  0,   0.809,   1.414,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:511, 2088160541365445,    2.071,   34.000, 4200,  27.719,  31.310,   8.697,  21.695,  22.274,   6.187, 40,  0,   0.984,   1.523,   0.423,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:623, 2088160944528325,    2.183,   17.000, 4200,  24.427,  34.046,   9.457,  18.427,  24.338,   6.760, 41,  0,   1.024,   1.637,   0.455,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:729, 2088161326109913,    2.289,   31.000, 4200,  30.418,  37.270,  10.353,  24.213,  26.904,   7.473, 50,  0,   1.619,   1.809,   0.503,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:838, 2088161718398777,    2.398,   17.000, 4100,  23.993,  39.885,  11.079,  17.965,  28.862,   8.017, 45,  0,   1.091,   1.928,   0.536,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:24:949, 2088162118166163,    2.509,   17.000, 4200,  22.908,  42.429,  11.786,  16.847,  30.732,   8.537, 41,  0,   1.348,   2.078,   0.577,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:060, 2088162517604781,    2.620,   28.000, 4100,  28.659,  45.609,  12.669,  22.664,  33.247,   9.235, 47,  0,   1.815,   2.279,   0.633,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:169, 2088162910370861,    2.729,   10.000, 4000,  19.649,  47.752,  13.265,  13.228,  34.690,   9.636, 34,  0,   1.269,   2.417,   0.672,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:277, 2088163297460955,    2.837,    6.000, 4200,   9.516,  48.776,  13.549,   3.505,  35.067,   9.741, 38,  0,   0.756,   2.499,   0.694,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:386, 2088163692623033,    2.947,    1.000,  800,   7.132,  49.558,  13.766,   1.153,  35.194,   9.776, 32,  0,   0.683,   2.574,   0.715,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:498, 2088164093984309,    3.058,   19.000, 2500,   8.097,  50.461,  14.017,   2.182,  35.437,   9.844, 34,  0,   0.746,   2.657,   0.738,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:604, 2088164477151039,    3.165,    2.000,  800,   7.110,  51.218,  14.227,   1.092,  35.553,   9.876, 32,  0,   0.685,   2.730,   0.758,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:714, 2088164870890855,    3.274,    7.000, 4200,   8.220,  52.117,  14.477,   2.300,  35.805,   9.946, 33,  0,   0.781,   2.815,   0.782,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:823, 2088165264888109,    3.383,    2.000,  800,   7.667,  52.956,  14.710,   1.628,  35.983,   9.995, 32,  0,   0.685,   2.890,   0.803,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:25:934, 2088165664787315,    3.495,    2.000,  800,   6.478,  53.676,  14.910,   0.527,  36.042,  10.012, 32,  0,   0.670,   2.965,   0.824,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:26:042, 2088166055150787,    3.603,    3.000,  800,   6.505,  54.381,  15.106,   0.572,  36.104,  10.029, 32,  0,   0.674,   3.038,   0.844,4095.875,4095.875,   0.000,   0.000,   0.000
14:17:26:145, 2088166424802879,    3.706,    8.000, 4200,   9.158,  55.321,  15.367,   3.218,  36.434,  10.121, 36,  0,   0.736,   3.113,   0.865,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.705693
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 55.321228
Cumulative Processor Energy_0 (mWh) = 15.367008
Average Processor Power_0 (Watt) = 14.928712

Cumulative IA Energy_0 (Joules) = 36.434204
Cumulative IA Energy_0 (mWh) = 10.120612
Average IA Power_0 (Watt) = 9.831954

Cumulative DRAM Energy_0 (Joules) = 3.113342
Cumulative DRAM Energy_0 (mWh) = 0.864817
Average DRAM Power_0 (Watt) = 0.840151
