System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:03:00:887, 2098011490315217,    0.100,    2.000,  800,  13.763,   1.378,   0.383,   2.604,   0.261,   0.072, 31,  0,   0.705,   0.071,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:00:995, 2098011879847045,    0.208,    2.000,  800,  11.592,   2.633,   0.731,   0.549,   0.320,   0.089, 31,  0,   0.671,   0.143,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:106, 2098012280615889,    0.320,    2.000,  800,  11.670,   3.932,   1.092,   0.525,   0.379,   0.105, 31,  0,   0.680,   0.219,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:215, 2098012674400803,    0.429,    2.000,  800,  11.563,   5.197,   1.443,   0.541,   0.438,   0.122, 32,  0,   0.668,   0.292,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:324, 2098013066507279,    0.538,    2.000,  800,  11.640,   6.464,   1.796,   0.567,   0.500,   0.139, 31,  0,   0.672,   0.365,   0.101,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:432, 2098013454694647,    0.646,    3.000, 4100,  12.326,   7.794,   2.165,   1.242,   0.634,   0.176, 31,  0,   0.677,   0.438,   0.122,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:541, 2098013845914549,    0.754,    4.000, 2500,  14.201,   9.337,   2.594,   3.202,   0.982,   0.273, 31,  0,   0.693,   0.513,   0.143,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:651, 2098014242014389,    0.865,    2.000,  800,  11.856,  10.641,   2.956,   0.684,   1.057,   0.294, 31,  0,   0.683,   0.589,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:762, 2098014642352353,    0.976,    2.000,  800,  11.572,  11.928,   3.313,   0.528,   1.116,   0.310, 31,  0,   0.672,   0.663,   0.184,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:870, 2098015029430009,    1.083,   16.000, 4200,  24.052,  14.514,   4.032,  13.107,   2.525,   0.701, 43,  0,   1.000,   0.771,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:01:980, 2098015425382333,    1.193,   18.000, 4200,  29.600,  17.770,   4.936,  18.475,   4.557,   1.266, 41,  0,   0.939,   0.874,   0.243,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:089, 2098015817893817,    1.302,   17.000, 4200,  29.657,  21.003,   5.834,  18.590,   6.584,   1.829, 47,  0,   0.827,   0.964,   0.268,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:199, 2098016213664189,    1.412,   19.000, 4200,  30.485,  24.355,   6.765,  19.314,   8.707,   2.419, 46,  0,   1.099,   1.085,   0.301,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:307, 2098016602723319,    1.520,   21.000, 4200,  31.165,  27.723,   7.701,  20.149,  10.885,   3.024, 41,  0,   1.096,   1.204,   0.334,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:420, 2098017009362973,    1.633,   37.000, 4200,  39.322,  32.165,   8.935,  28.030,  14.051,   3.903, 45,  0,   1.563,   1.380,   0.383,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:530, 2098017405519811,    1.743,   44.000, 4200,  42.822,  36.877,  10.244,  31.570,  17.525,   4.868, 41,  0,   1.638,   1.560,   0.433,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:637, 2098017791785909,    1.851,   15.000,  800,  24.284,  39.482,  10.967,  12.956,  18.915,   5.254, 33,  0,   0.886,   1.656,   0.460,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:747, 2098018186613143,    1.960,    3.000, 1600,  12.220,  40.823,  11.340,   1.222,  19.049,   5.291, 33,  0,   0.678,   1.730,   0.481,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:856, 2098018581355291,    2.070,    4.000,  800,  11.730,  42.109,  11.697,   0.624,  19.117,   5.310, 32,  0,   0.687,   1.805,   0.501,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:02:968, 2098018982747139,    2.181,    2.000,  800,  11.614,  43.404,  12.057,   0.593,  19.184,   5.329, 31,  0,   0.673,   1.880,   0.522,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:073, 2098019361449909,    2.287,    3.000,  800,  11.758,  44.641,  12.400,   0.606,  19.247,   5.347, 32,  0,   0.680,   1.952,   0.542,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:183, 2098019758181933,    2.397,    3.000,  800,  11.645,  45.924,  12.757,   0.599,  19.313,   5.365, 32,  0,   0.675,   2.026,   0.563,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:292, 2098020149468215,    2.505,    4.000, 3100,  11.858,  47.213,  13.115,   0.872,  19.408,   5.391, 32,  0,   0.682,   2.100,   0.583,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:402, 2098020546608447,    2.616,    2.000,  800,  11.936,  48.530,  13.480,   0.785,  19.495,   5.415, 32,  0,   0.683,   2.176,   0.604,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:513, 2098020943525625,    2.726,   13.000, 4200,  13.806,  50.052,  13.903,   2.840,  19.808,   5.502, 33,  0,   0.705,   2.253,   0.626,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:03:536, 2098021027306031,    2.749,   26.000, 4100,  31.857,  50.793,  14.109,  21.175,  20.301,   5.639, 41,  0,   0.944,   2.275,   0.632,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.749309
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 50.793213
Cumulative Processor Energy_0 (mWh) = 14.109226
Average Processor Power_0 (Watt) = 18.474903

Cumulative IA Energy_0 (Joules) = 20.300720
Cumulative IA Energy_0 (mWh) = 5.639089
Average IA Power_0 (Watt) = 7.383936

Cumulative DRAM Energy_0 (Joules) = 2.275391
Cumulative DRAM Energy_0 (mWh) = 0.632053
Average DRAM Power_0 (Watt) = 0.827623
