System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:00:20:120, 2097432728412575,    0.098,    3.000,  800,   6.046,   0.592,   0.164,   2.516,   0.246,   0.068, 32,  0,   0.706,   0.069,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:233, 2097433138893725,    0.212,    4.000,  800,   4.026,   1.051,   0.292,   0.626,   0.318,   0.088, 32,  0,   0.682,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:342, 2097433528712569,    0.320,    5.000,  800,   4.050,   1.489,   0.414,   0.659,   0.389,   0.108, 32,  0,   0.690,   0.222,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:448, 2097433913442489,    0.427,    2.000,  800,   3.946,   1.911,   0.531,   0.540,   0.447,   0.124, 32,  0,   0.674,   0.294,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:560, 2097434313270826,    0.538,    5.000, 2200,   6.254,   2.606,   0.724,   2.852,   0.763,   0.212, 32,  0,   0.707,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:669, 2097434706448193,    0.647,    3.000,  800,   4.116,   3.055,   0.849,   0.723,   0.842,   0.234, 32,  0,   0.675,   0.446,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:777, 2097435095476627,    0.755,    1.000,  800,   3.963,   3.483,   0.968,   0.531,   0.900,   0.250, 32,  0,   0.676,   0.519,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:885, 2097435484587711,    0.863,    2.000,  800,   3.906,   3.905,   1.085,   0.509,   0.955,   0.265, 32,  0,   0.670,   0.591,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:20:994, 2097435877222019,    0.973,    4.000, 4300,   4.838,   4.433,   1.231,   1.433,   1.111,   0.309, 32,  0,   0.755,   0.674,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:107, 2097436283771297,    1.085,   16.000, 4200,  18.572,   6.530,   1.814,  15.087,   2.815,   0.782, 42,  0,   0.994,   0.786,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:213, 2097436665369857,    1.191,   24.000, 4200,  25.466,   9.230,   2.564,  21.971,   5.144,   1.429, 44,  0,   1.143,   0.907,   0.252,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:325, 2097437068548374,    1.303,   25.000, 4100,  25.516,  12.087,   3.358,  22.041,   7.612,   2.114, 43,  0,   1.022,   1.022,   0.284,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:432, 2097437453947888,    1.410,   38.000, 4200,  31.871,  15.499,   4.305,  28.391,  10.651,   2.959, 44,  0,   1.067,   1.136,   0.316,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:542, 2097437849500403,    1.520,   57.000, 4100,  34.393,  19.278,   5.355,  31.316,  14.092,   3.915, 43,  0,   1.283,   1.277,   0.355,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:651, 2097438242127515,    1.629,   48.000, 4200,  37.315,  23.348,   6.486,  33.279,  17.722,   4.923, 49,  0,   1.474,   1.437,   0.399,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:763, 2097438645271767,    1.741,   34.000, 4200,  30.749,  26.792,   7.442,  27.308,  20.780,   5.772, 46,  0,   0.955,   1.544,   0.429,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:870, 2097439030632455,    1.848,   48.000, 4200,  37.198,  30.773,   8.548,  33.562,  24.372,   6.770, 45,  0,   1.671,   1.723,   0.479,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:21:979, 2097439422777430,    1.957,   35.000, 4100,  30.931,  34.143,   9.484,  27.710,  27.391,   7.609, 48,  0,   1.074,   1.840,   0.511,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:22:089, 2097439818795295,    2.067,   35.000, 4100,  32.183,  37.683,  10.467,  28.388,  30.514,   8.476, 51,  0,   1.302,   1.983,   0.551,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:22:200, 2097440218489300,    2.178,   34.000, 4100,  30.645,  41.085,  11.413,  27.172,  33.531,   9.314, 48,  0,   1.113,   2.107,   0.585,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:22:308, 2097440607333832,    2.286,   34.000, 4200,  30.945,  44.428,  12.341,  27.500,  36.501,  10.139, 51,  0,   1.010,   2.216,   0.616,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:22:420, 2097441010487591,    2.398,   45.000, 4200,  35.352,  48.387,  13.441,  31.734,  40.055,  11.126, 49,  0,   1.557,   2.391,   0.664,4095.875,4095.875,   0.000,   0.000,   0.000
15:00:22:527, 2097441395754366,    2.505,   38.000, 4200,  32.978,  51.916,  14.421,  29.324,  43.193,  11.998, 48,  0,   1.666,   2.569,   0.714,4095.875,4095.875,   0.000,   0.000,   0.000
