System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:59:10:479, 2097182021779487,    0.108,    2.000,  800,   8.243,   0.894,   0.248,   2.266,   0.246,   0.068, 32,  0,   0.698,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:10:589, 2097182419257275,    0.219,    4.000,  800,   8.991,   1.887,   0.524,   2.993,   0.576,   0.160, 32,  0,   0.703,   0.153,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:10:698, 2097182810228393,    0.327,    2.000,  800,   6.515,   2.594,   0.721,   0.595,   0.641,   0.178, 32,  0,   0.668,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:10:809, 2097183213460653,    0.440,    3.000,  800,   7.539,   3.439,   0.955,   1.571,   0.817,   0.227, 32,  0,   0.721,   0.307,   0.085,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:10:917, 2097183599291689,    0.547,    2.000,  800,   6.477,   4.133,   1.148,   0.528,   0.873,   0.243, 32,  0,   0.671,   0.378,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:029, 2097184002605677,    0.659,    2.000,  800,   6.471,   4.858,   1.349,   0.514,   0.931,   0.259, 31,  0,   0.671,   0.454,   0.126,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:137, 2097184390523523,    0.766,    2.000,  800,   6.493,   5.558,   1.544,   0.521,   0.987,   0.274, 31,  0,   0.673,   0.526,   0.146,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:245, 2097184780579239,    0.875,    6.000, 2800,   7.093,   6.326,   1.757,   1.095,   1.106,   0.307, 32,  0,   0.701,   0.602,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:356, 2097185182206859,    0.986,    2.000,  800,   6.555,   7.057,   1.960,   0.635,   1.177,   0.327, 31,  0,   0.671,   0.677,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:463, 2097185566614825,    1.093,   16.000, 4200,  20.974,   9.297,   2.582,  15.046,   2.783,   0.773, 47,  0,   0.997,   0.783,   0.218,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:574, 2097185965726824,    1.204,   21.000, 4200,  26.394,  12.223,   3.395,  20.303,   5.034,   1.398, 42,  0,   1.197,   0.916,   0.254,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:684, 2097186362748762,    1.314,   29.000, 4100,  28.957,  15.417,   4.282,  23.015,   7.572,   2.103, 43,  0,   1.528,   1.085,   0.301,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:793, 2097186754203293,    1.423,   20.000, 4200,  25.035,  18.139,   5.039,  18.679,   9.604,   2.668, 40,  0,   1.696,   1.269,   0.353,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:11:903, 2097187150232238,    1.533,   31.000, 4200,  31.451,  21.599,   6.000,  25.109,  12.366,   3.435, 43,  0,   2.262,   1.518,   0.422,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:12:010, 2097187534632041,    1.640,    8.000, 3000,  14.387,  23.135,   6.426,   8.319,  13.254,   3.682, 34,  0,   0.837,   1.607,   0.446,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:12:119, 2097187927992975,    1.749,    3.000, 1000,   8.367,  24.049,   6.680,   2.424,  13.519,   3.755, 33,  0,   0.715,   1.685,   0.468,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:12:231, 2097188332451755,    1.861,    2.000,  800,   6.961,  24.831,   6.898,   1.022,  13.634,   3.787, 32,  0,   0.674,   1.761,   0.489,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:12:339, 2097188718150425,    1.969,    7.000, 1900,   8.820,  25.776,   7.160,   2.832,  13.937,   3.871, 32,  0,   0.806,   1.847,   0.513,4095.875,4095.875,   0.000,   0.000,   0.000
14:59:12:450, 2097189117241911,    2.079,    3.000,  800,   6.588,  26.506,   7.363,   0.620,  14.006,   3.891, 32,  0,   0.678,   1.923,   0.534,4095.875,4095.875,   0.000,   0.000,   0.000
