System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:17:03:058, 2101043305904765,    0.102,    2.000,  800,  13.559,   1.385,   0.385,   2.374,   0.242,   0.067, 31,  0,   0.708,   0.072,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:169, 2101043706158866,    0.213,    6.000,  800,  11.798,   2.697,   0.749,   0.751,   0.326,   0.091, 31,  0,   0.681,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:276, 2101044092086793,    0.321,    1.000,  800,  12.992,   4.089,   1.136,   1.836,   0.523,   0.145, 31,  0,   0.681,   0.221,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:389, 2101044496173443,    0.433,    2.000,  800,  11.734,   5.406,   1.502,   0.693,   0.601,   0.167, 31,  0,   0.669,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:499, 2101044891662239,    0.543,   17.000, 4300,  13.256,   6.863,   1.906,   2.189,   0.841,   0.234, 38,  0,   0.691,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:604, 2101045273122531,    0.649,    1.000,  800,  12.722,   8.211,   2.281,   1.631,   1.014,   0.282, 31,  0,   0.679,   0.444,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:715, 2101045672618625,    0.760,    2.000,  800,  11.683,   9.507,   2.641,   0.613,   1.082,   0.301, 31,  0,   0.673,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:824, 2101046062889799,    0.868,    7.000, 3400,  14.692,  11.100,   3.083,   3.671,   1.480,   0.411, 31,  0,   0.702,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:03:932, 2101046452872455,    0.976,    3.000, 2500,  12.613,  12.466,   3.463,   1.570,   1.650,   0.458, 31,  0,   0.713,   0.672,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:041, 2101046846699247,    1.086,   20.000, 1000,  12.817,  13.868,   3.852,   1.673,   1.833,   0.509, 32,  0,   0.795,   0.759,   0.211,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:151, 2101047241395227,    1.195,   18.000, 4200,  23.028,  16.393,   4.554,  12.124,   3.162,   0.878, 49,  0,   0.849,   0.852,   0.237,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:260, 2101047636225028,    1.305,   28.000, 4200,  35.503,  20.287,   5.635,  24.363,   5.834,   1.621, 44,  0,   0.991,   0.961,   0.267,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:374, 2101048044286489,    1.418,   42.000, 4200,  42.065,  25.055,   6.960,  30.993,   9.347,   2.597, 48,  0,   1.250,   1.102,   0.306,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:492, 2101048468937637,    1.536,   57.000, 4200,  41.989,  30.008,   8.336,  30.961,  13.000,   3.611, 44,  0,   1.140,   1.237,   0.344,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:591, 2101048825365523,    1.635,   18.000, 4200,  30.973,  33.075,   9.187,  19.645,  14.945,   4.151, 50,  0,   1.079,   1.344,   0.373,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:698, 2101049210651919,    1.742,   17.000, 4100,  29.451,  36.227,  10.063,  18.331,  16.906,   4.696, 45,  0,   1.013,   1.452,   0.403,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:810, 2101049613776794,    1.854,   16.000, 4200,  29.104,  39.486,  10.968,  17.949,  18.916,   5.255, 47,  0,   1.279,   1.595,   0.443,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:04:920, 2101050010641215,    1.965,   17.000,  800,  28.010,  42.573,  11.826,  16.614,  20.748,   5.763, 34,  0,   1.281,   1.736,   0.482,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:029, 2101050400540203,    2.073,    6.000,  800,  12.149,  43.889,  12.191,   1.096,  20.867,   5.796, 33,  0,   0.766,   1.819,   0.505,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:138, 2101050794296343,    2.182,    2.000,  800,  11.761,  45.176,  12.549,   0.732,  20.947,   5.819, 32,  0,   0.672,   1.893,   0.526,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:246, 2101051182875743,    2.290,    2.000, 1900,  12.165,  46.489,  12.914,   1.103,  21.066,   5.852, 32,  0,   0.678,   1.966,   0.546,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:355, 2101051574257979,    2.399,    2.000,  800,  11.945,  47.787,  13.274,   0.837,  21.157,   5.877, 32,  0,   0.673,   2.039,   0.566,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:466, 2101051975338873,    2.510,    2.000,  800,  11.759,  49.097,  13.638,   0.730,  21.238,   5.899, 32,  0,   0.667,   2.114,   0.587,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:576, 2101052369325683,    2.620,    4.000, 1000,  14.103,  50.641,  14.067,   2.971,  21.563,   5.990, 32,  0,   0.703,   2.190,   0.608,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:683, 2101052754921789,    2.727,    2.000,  800,  11.806,  51.905,  14.418,   0.751,  21.644,   6.012, 32,  0,   0.673,   2.263,   0.628,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:794, 2101053157719409,    2.839,    2.000,  800,  11.726,  53.217,  14.783,   0.648,  21.716,   6.032, 32,  0,   0.672,   2.338,   0.649,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:901, 2101053541154091,    2.945,    5.000, 4200,  12.329,  54.531,  15.147,   1.448,  21.870,   6.075, 32,  0,   0.693,   2.412,   0.670,4095.875,4095.875,   0.000,   0.000,   0.000
15:17:05:910, 2101053574861655,    2.955,   36.000, 4100,  36.869,  54.876,  15.243,  23.604,  22.091,   6.137, 38,  0,   1.173,   2.423,   0.673,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.954625
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 54.875793
Cumulative Processor Energy_0 (mWh) = 15.243276
Average Processor Power_0 (Watt) = 18.572848

Cumulative IA Energy_0 (Joules) = 22.091431
Cumulative IA Energy_0 (mWh) = 6.136509
Average IA Power_0 (Watt) = 7.476899

Cumulative DRAM Energy_0 (Joules) = 2.422546
Cumulative DRAM Energy_0 (mWh) = 0.672930
Average DRAM Power_0 (Watt) = 0.819917
