System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:15:10:090, 2100636620618393,    0.107,    3.000,  800,   6.761,   0.727,   0.202,   3.197,   0.344,   0.095, 32,  0,   0.729,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:200, 2100637018454419,    0.218,    3.000,  800,   4.150,   1.185,   0.329,   0.728,   0.424,   0.118, 32,  0,   0.683,   0.154,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:308, 2100637407720259,    0.326,    4.000,  800,   4.252,   1.645,   0.457,   0.854,   0.516,   0.143, 32,  0,   0.676,   0.227,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:418, 2100637800779031,    0.435,    4.000,  800,   4.256,   2.110,   0.586,   0.861,   0.610,   0.170, 32,  0,   0.685,   0.302,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:527, 2100638195162493,    0.545,    7.000, 3600,   6.291,   2.799,   0.777,   2.913,   0.930,   0.258, 32,  0,   0.711,   0.380,   0.105,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:639, 2100638599239847,    0.657,    4.000,  800,   4.734,   3.330,   0.925,   1.294,   1.075,   0.299, 32,  0,   0.700,   0.458,   0.127,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:745, 2100638978666941,    0.762,    2.000,  800,   4.123,   3.765,   1.046,   0.732,   1.152,   0.320, 32,  0,   0.673,   0.529,   0.147,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:857, 2100639382339452,    0.875,    2.000,  800,   4.064,   4.221,   1.172,   0.671,   1.227,   0.341, 32,  0,   0.670,   0.604,   0.168,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:10:964, 2100639766384260,    0.981,    2.000,  800,   4.144,   4.663,   1.295,   0.728,   1.305,   0.362, 32,  0,   0.674,   0.676,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:073, 2100640159838375,    1.091,   16.000, 4100,  17.156,   6.538,   1.816,  13.820,   2.815,   0.782, 45,  0,   0.856,   0.770,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:185, 2100640563089595,    1.203,   18.000, 4100,  22.515,   9.060,   2.517,  19.060,   4.950,   1.375, 46,  0,   0.973,   0.879,   0.244,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:295, 2100640959100200,    1.313,   27.000, 4100,  27.332,  12.066,   3.352,  23.865,   7.575,   2.104, 43,  0,   1.079,   0.997,   0.277,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:403, 2100641348035579,    1.421,   24.000, 4200,  25.113,  14.780,   4.105,  21.637,   9.913,   2.754, 44,  0,   1.025,   1.108,   0.308,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:511, 2100641736758311,    1.529,   41.000, 4200,  25.411,  17.523,   4.868,  21.967,  12.285,   3.412, 41,  0,   0.963,   1.212,   0.337,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:622, 2100642136279631,    1.640,   37.000, 4100,  31.514,  21.021,   5.839,  28.099,  15.403,   4.279, 44,  0,   1.116,   1.336,   0.371,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:732, 2100642532007467,    1.750,   65.000, 4100,  45.203,  25.990,   7.219,  41.506,  19.966,   5.546, 46,  0,   1.646,   1.517,   0.421,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:842, 2100642928425365,    1.860,   34.000, 4200,  31.246,  29.430,   8.175,  27.828,  23.030,   6.397, 49,  0,   0.959,   1.622,   0.451,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:11:952, 2100643324233495,    1.970,   47.000, 4100,  36.177,  33.408,   9.280,  32.529,  26.607,   7.391, 45,  0,   1.635,   1.802,   0.501,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:059, 2100643709510531,    2.077,   34.000, 4100,  31.864,  36.818,  10.227,  28.381,  29.644,   8.234, 51,  0,   1.052,   1.915,   0.532,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:169, 2100644105585957,    2.187,   34.000, 4200,  31.377,  40.270,  11.186,  27.897,  32.713,   9.087, 52,  0,   1.222,   2.049,   0.569,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:279, 2100644501840243,    2.297,   35.000, 4200,  30.384,  43.614,  12.115,  26.984,  35.683,   9.912, 52,  0,   1.136,   2.174,   0.604,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:385, 2100644883233963,    2.403,   35.000, 4200,  31.666,  46.969,  13.047,  28.088,  38.659,  10.739, 47,  0,   1.095,   2.290,   0.636,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:497, 2100645286322791,    2.515,   48.000, 4200,  31.071,  50.448,  14.013,  27.579,  41.747,  11.596, 48,  0,   1.226,   2.427,   0.674,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:605, 2100645675087602,    2.623,   45.000, 4200,  35.534,  54.286,  15.079,  31.902,  45.192,  12.553, 50,  0,   1.572,   2.597,   0.721,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:717, 2100646078303049,    2.735,   34.000, 4200,  30.264,  57.675,  16.021,  26.711,  48.184,  13.384, 49,  0,   1.556,   2.771,   0.770,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:823, 2100646460092155,    2.841,   34.000, 4200,  30.778,  60.939,  16.928,  27.327,  51.082,  14.189, 49,  0,   1.442,   2.924,   0.812,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:12:932, 2100646852310387,    2.950,   51.000, 4200,  39.416,  65.234,  18.120,  35.634,  54.964,  15.268, 50,  0,   2.081,   3.151,   0.875,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:044, 2100647255497129,    3.062,   24.000, 4200,  24.492,  67.977,  18.882,  20.956,  57.311,  15.920, 49,  0,   0.865,   3.248,   0.902,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:154, 2100647651566373,    3.172,   31.000, 4100,  27.553,  71.008,  19.724,  24.184,  59.972,  16.659, 49,  0,   0.918,   3.349,   0.930,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:264, 2100648047570379,    3.282,   25.000, 4200,  24.944,  73.752,  20.487,  21.519,  62.339,  17.316, 49,  0,   0.887,   3.447,   0.957,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:371, 2100648432711787,    3.389,   30.000, 4200,  27.026,  76.643,  21.290,  23.464,  64.849,  18.014, 45,  0,   1.058,   3.560,   0.989,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:492, 2100648870237379,    3.510,   36.000, 4200,  21.405,  79.245,  22.012,  17.925,  67.028,  18.619, 46,  0,   0.770,   3.653,   1.015,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:591, 2100649225513495,    3.609,   16.000, 4200,  19.701,  81.189,  22.552,  16.425,  68.649,  19.069, 48,  0,   0.730,   3.725,   1.035,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:698, 2100649610572127,    3.716,   17.000, 4200,  20.043,  83.333,  23.148,  16.629,  70.427,  19.563, 49,  0,   0.721,   3.802,   1.056,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:807, 2100650001831002,    3.824,   16.000, 4200,  19.814,  85.486,  23.746,  16.357,  72.205,  20.057, 50,  0,   0.720,   3.881,   1.078,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:917, 2100650397308884,    3.934,   16.000, 4200,  19.950,  87.678,  24.355,  16.515,  74.019,  20.561, 48,  0,   0.775,   3.966,   1.102,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:13:963, 2100650565985101,    3.981,   31.000, 4200,  27.315,  88.958,  24.710,  23.867,  75.138,  20.872, 46,  0,   0.939,   4.010,   1.114,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.981191
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 88.957581
Cumulative Processor Energy_0 (mWh) = 24.710439
Average Processor Power_0 (Watt) = 22.344465

Cumulative IA Energy_0 (Joules) = 75.137756
Cumulative IA Energy_0 (mWh) = 20.871599
Average IA Power_0 (Watt) = 18.873186

Cumulative DRAM Energy_0 (Joules) = 4.009766
Cumulative DRAM Energy_0 (mWh) = 1.113824
Average DRAM Power_0 (Watt) = 1.007177
