System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:15:16:106, 2100658277755133,    0.104,    2.000,  800,   8.541,   0.889,   0.247,   2.525,   0.263,   0.073, 32,  0,   0.707,   0.074,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:215, 2100658670928711,    0.213,    3.000,  800,   6.521,   1.601,   0.445,   0.579,   0.326,   0.091, 32,  0,   0.678,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:323, 2100659059746381,    0.321,    3.000,  800,   6.516,   2.305,   0.640,   0.555,   0.386,   0.107, 32,  0,   0.676,   0.221,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:436, 2100659467609089,    0.435,    2.000,  800,   6.484,   3.039,   0.844,   0.542,   0.447,   0.124, 32,  0,   0.672,   0.297,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:545, 2100659859089311,    0.543,    9.000, 3300,   8.530,   3.967,   1.102,   2.553,   0.725,   0.201, 32,  0,   0.706,   0.373,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:651, 2100660241354583,    0.650,    2.000,  800,   6.808,   4.690,   1.303,   0.865,   0.817,   0.227, 32,  0,   0.673,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:764, 2100660647816089,    0.762,    2.000,  800,   6.571,   5.432,   1.509,   0.608,   0.885,   0.246, 32,  0,   0.672,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:871, 2100661034118407,    0.870,    4.000,  800,   7.195,   6.204,   1.723,   1.193,   1.013,   0.281, 32,  0,   0.689,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:16:980, 2100661426371773,    0.979,    2.000,  800,   6.501,   6.912,   1.920,   0.543,   1.073,   0.298, 32,  0,   0.673,   0.668,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:091, 2100661822764477,    1.089,   15.000, 4100,  21.114,   9.237,   2.566,  15.149,   2.741,   0.761, 47,  0,   0.920,   0.769,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:199, 2100662211695001,    1.197,   16.000, 4200,  24.400,  11.873,   3.298,  18.411,   4.730,   1.314, 51,  0,   0.837,   0.860,   0.239,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:312, 2100662618481303,    1.310,   17.000, 4200,  24.508,  14.642,   4.067,  18.541,   6.825,   1.896, 45,  0,   0.761,   0.946,   0.263,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:417, 2100662996484675,    1.415,   21.000, 4200,  26.458,  17.421,   4.839,  20.445,   8.971,   2.492, 40,  0,   1.042,   1.055,   0.293,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:527, 2100663392416935,    1.525,   23.000, 4200,  25.043,  20.175,   5.604,  19.001,  11.061,   3.073, 41,  0,   1.218,   1.189,   0.330,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:638, 2100663794041647,    1.636,   17.000, 4200,  22.906,  22.730,   6.314,  16.924,  12.949,   3.597, 41,  0,   1.499,   1.356,   0.377,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:746, 2100664182701399,    1.744,   23.000, 4200,  28.173,  25.772,   7.159,  22.034,  15.328,   4.258, 51,  0,   1.632,   1.533,   0.426,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:856, 2100664578029807,    1.854,    2.000,  800,   9.303,  26.793,   7.443,   3.233,  15.683,   4.356, 33,  0,   0.728,   1.612,   0.448,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:17:964, 2100664968744039,    1.963,    3.000,  800,   6.506,  27.500,   7.639,   0.581,  15.746,   4.374, 33,  0,   0.675,   1.686,   0.468,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:076, 2100665370025933,    2.074,    6.000, 3300,   8.552,  28.453,   7.904,   2.571,  16.033,   4.454, 33,  0,   0.688,   1.762,   0.490,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:183, 2100665753966331,    2.181,   10.000, 4200,   8.415,  29.350,   8.153,   2.423,  16.291,   4.525, 33,  0,   0.692,   1.836,   0.510,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:293, 2100666153239959,    2.292,    2.000,  800,   6.982,  30.125,   8.368,   1.022,  16.404,   4.557, 33,  0,   0.675,   1.911,   0.531,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:401, 2100666542284193,    2.400,    1.000,  800,  12.834,  31.512,   8.753,   2.028,  16.624,   4.618, 32,  0,   0.672,   1.984,   0.551,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:510, 2100666934297031,    2.509,   12.000, 4200,  13.241,  32.953,   9.154,   2.161,  16.859,   4.683, 33,  0,   0.694,   2.059,   0.572,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:619, 2100667326703997,    2.618,    1.000,  800,  12.271,  34.291,   9.525,   1.306,  17.001,   4.723, 31,  0,   0.673,   2.133,   0.592,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:732, 2100667730332773,    2.730,    3.000, 2800,  12.737,  35.719,   9.922,   1.559,  17.176,   4.771, 32,  0,   0.732,   2.215,   0.615,4095.875,4095.875,   0.000,   0.000,   0.000
15:15:18:784, 2100667918348209,    2.782,   18.000, 4100,  22.852,  36.913,  10.253,  11.944,  17.800,   4.944, 41,  0,   0.879,   2.260,   0.628,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.782024
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 36.912598
Cumulative Processor Energy_0 (mWh) = 10.253499
Average Processor Power_0 (Watt) = 13.268251

Cumulative IA Energy_0 (Joules) = 17.799866
Cumulative IA Energy_0 (mWh) = 4.944407
Average IA Power_0 (Watt) = 6.398170

Cumulative DRAM Energy_0 (Joules) = 2.260498
Cumulative DRAM Energy_0 (mWh) = 0.627916
Average DRAM Power_0 (Watt) = 0.812537
