System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:22:07:136, 2076218001941747,    0.103,    2.000,  800,  13.310,   1.367,   0.380,   2.291,   0.235,   0.065, 31,  0,   0.698,   0.072,   0.020,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:242, 2076218383754315,    0.209,    2.000,  800,  11.584,   2.596,   0.721,   0.527,   0.291,   0.081, 31,  0,   0.677,   0.144,   0.040,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:352, 2076218777004108,    0.318,    2.000,  800,  11.660,   3.870,   1.075,   0.506,   0.347,   0.096, 31,  0,   0.676,   0.217,   0.060,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:464, 2076219180493493,    0.430,    2.000,  800,  11.589,   5.169,   1.436,   0.534,   0.406,   0.113, 31,  0,   0.673,   0.293,   0.081,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:574, 2076219578766995,    0.541,    4.000,  900,  13.944,   6.711,   1.864,   2.940,   0.732,   0.203, 31,  0,   0.711,   0.371,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:683, 2076219970247615,    0.649,    3.000,  800,  11.653,   7.978,   2.216,   0.558,   0.792,   0.220, 31,  0,   0.680,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:791, 2076220359072047,    0.757,    1.000,  800,  11.568,   9.228,   2.563,   0.505,   0.847,   0.235, 31,  0,   0.671,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:07:899, 2076220748163047,    0.866,    2.000,  800,  11.560,  10.477,   2.910,   0.504,   0.901,   0.250, 30,  0,   0.670,   0.590,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:08:008, 2076221139730009,    0.974,    5.000, 4300,  11.849,  11.766,   3.268,   0.770,   0.985,   0.274, 31,  0,   0.692,   0.665,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
13:22:08:121, 2076221547750737,    1.088,   19.000, 4200,  26.539,  14.774,   4.104,  15.644,   2.758,   0.766, 43,  0,   1.010,   0.780,   0.217,4095.875,4095.875,   0.000,   0.000,   0.000
