System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:23:07:384, 2076434892898821,    0.096,    2.000,  800,   6.040,   0.579,   0.161,   2.524,   0.242,   0.067, 32,  0,   0.713,   0.068,   0.019,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:07:517, 2076435369847971,    0.228,   28.000, 2400,   4.380,   1.159,   0.322,   1.011,   0.376,   0.104, 32,  0,   0.713,   0.163,   0.045,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:07:602, 2076435679763915,    0.314,    1.000,  800,   4.651,   1.560,   0.433,   1.214,   0.480,   0.133, 31,  0,   0.686,   0.222,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:07:714, 2076436081913033,    0.426,    2.000,  800,   3.934,   1.999,   0.555,   0.522,   0.539,   0.150, 32,  0,   0.674,   0.297,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:07:822, 2076436469915145,    0.534,   23.000, 4200,  16.094,   3.734,   1.037,  12.755,   1.914,   0.532, 34,  0,   0.800,   0.383,   0.106,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:07:931, 2076436862093669,    0.643,   36.000, 4200,  28.920,   6.884,   1.912,  25.423,   4.683,   1.301, 46,  0,   1.091,   0.502,   0.139,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:042, 2076437261631815,    0.754,   17.000, 4200,  19.893,   9.092,   2.526,  16.471,   6.511,   1.809, 42,  0,   0.797,   0.591,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:152, 2076437657622503,    0.864,   19.000, 4200,  20.818,  11.382,   3.162,  17.410,   8.426,   2.341, 49,  0,   0.812,   0.680,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:259, 2076438042855183,    0.971,   18.000, 4200,  20.199,  13.544,   3.762,  16.778,  10.222,   2.839, 46,  0,   0.801,   0.766,   0.213,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:371, 2076438446164671,    1.083,   38.000, 4100,  32.262,  17.158,   4.766,  28.850,  13.454,   3.737, 47,  0,   1.143,   0.894,   0.248,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:490, 2076438874837337,    1.202,   56.000, 4200,  36.016,  21.446,   5.957,  32.474,  17.321,   4.811, 44,  0,   1.417,   1.063,   0.295,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:586, 2076439220049411,    1.298,   34.000, 4200,  31.420,  24.459,   6.794,  27.844,  19.991,   5.553, 49,  0,   1.133,   1.171,   0.325,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:696, 2076439616230421,    1.408,   34.000, 4200,  30.461,  27.812,   7.725,  26.992,  22.961,   6.378, 49,  0,   1.074,   1.289,   0.358,4095.875,4095.875,   0.000,   0.000,   0.000
13:23:08:805, 2076440008697039,    1.517,   34.000, 4200,  29.546,  31.033,   8.620,  26.126,  25.809,   7.169, 49,  0,   1.027,   1.401,   0.389,4095.875,4095.875,   0.000,   0.000,   0.000
