System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:21:15:885, 2076033495737163,    0.110,    2.000,  800,   5.675,   0.622,   0.173,   2.119,   0.232,   0.064, 32,  0,   0.703,   0.077,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:15:996, 2076033897573619,    0.221,    2.000,  800,   3.900,   1.057,   0.294,   0.521,   0.290,   0.081, 32,  0,   0.669,   0.152,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:102, 2076034278996663,    0.327,    3.000,  800,   3.967,   1.477,   0.410,   0.562,   0.350,   0.097, 32,  0,   0.678,   0.223,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:215, 2076034685201507,    0.440,    2.000,  800,   3.932,   1.921,   0.534,   0.525,   0.409,   0.114, 32,  0,   0.681,   0.300,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:323, 2076035072856845,    0.548,    2.000,  800,   3.931,   2.344,   0.651,   0.517,   0.465,   0.129, 32,  0,   0.676,   0.373,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:430, 2076035461017805,    0.655,    2.000,  800,   3.931,   2.768,   0.769,   0.520,   0.521,   0.145, 31,  0,   0.678,   0.446,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:540, 2076035855383193,    0.765,    6.000, 3100,   5.997,   3.425,   0.951,   2.615,   0.807,   0.224, 32,  0,   0.706,   0.524,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:653, 2076036262328417,    0.878,    2.000,  800,   4.176,   3.897,   1.083,   0.769,   0.894,   0.248, 32,  0,   0.673,   0.600,   0.167,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:762, 2076036655366774,    0.987,    6.000,  800,   5.167,   4.461,   1.239,   1.759,   1.086,   0.302, 32,  0,   0.747,   0.681,   0.189,4095.875,4095.875,   0.000,   0.000,   0.000
13:21:16:870, 2076037041061411,    1.094,   28.000, 4200,  25.947,   7.241,   2.011,  22.594,   3.507,   0.974, 40,  0,   1.178,   0.807,   0.224,4095.875,4095.875,   0.000,   0.000,   0.000
