System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:43:27:433, 2093787060285019,    0.111,    3.000,  800,  13.343,   1.475,   0.410,   2.294,   0.254,   0.070, 31,  0,   0.702,   0.078,   0.022,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:27:544, 2093787456543679,    0.221,    5.000, 3000,  13.839,   2.998,   0.833,   2.774,   0.559,   0.155, 31,  0,   0.710,   0.156,   0.043,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:27:651, 2093787843442583,    0.328,    2.000,  800,  11.869,   4.274,   1.187,   0.745,   0.639,   0.177, 31,  0,   0.676,   0.228,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:27:761, 2093788239974905,    0.438,    2.000,  800,  11.559,   5.547,   1.541,   0.508,   0.695,   0.193, 31,  0,   0.674,   0.303,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:27:870, 2093788633486733,    0.548,    1.000,  800,  11.530,   6.808,   1.891,   0.496,   0.749,   0.208, 30,  0,   0.668,   0.376,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:27:980, 2093789029538661,    0.658,    1.000,  800,  11.560,   8.079,   2.244,   0.500,   0.804,   0.223, 30,  0,   0.670,   0.449,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:090, 2093789425259765,    0.767,    2.000, 2500,  12.171,   9.417,   2.616,   1.089,   0.924,   0.257, 31,  0,   0.695,   0.526,   0.146,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:197, 2093789810465755,    0.875,    1.000,  800,  11.677,  10.667,   2.963,   0.611,   0.989,   0.275, 31,  0,   0.670,   0.597,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:310, 2093790214599815,    0.987,    3.000,  800,  11.705,  11.981,   3.328,   0.557,   1.052,   0.292, 31,  0,   0.692,   0.675,   0.188,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:420, 2093790612781735,    1.097,   21.000, 4200,  26.987,  14.966,   4.157,  16.061,   2.828,   0.786, 42,  0,   1.008,   0.787,   0.219,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:526, 2093790994233731,    1.203,   24.000, 4100,  31.132,  18.264,   5.073,  19.937,   4.941,   1.372, 42,  0,   1.252,   0.919,   0.255,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:635, 2093791386948989,    1.312,   19.000, 4100,  29.046,  21.433,   5.954,  17.949,   6.899,   1.916, 46,  0,   1.593,   1.093,   0.304,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:746, 2093791786354811,    1.423,   33.000, 4200,  38.651,  25.721,   7.145,  27.294,   9.927,   2.758, 42,  0,   1.477,   1.257,   0.349,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:856, 2093792181365271,    1.533,    5.000,  800,  17.637,  27.656,   7.682,   6.445,  10.634,   2.954, 33,  0,   0.767,   1.341,   0.373,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:28:967, 2093792580845767,    1.644,    2.000,  800,  11.597,  28.943,   8.040,   0.532,  10.693,   2.970, 32,  0,   0.672,   1.416,   0.393,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:076, 2093792975280895,    1.754,    2.000,  800,  11.552,  30.209,   8.391,   0.548,  10.753,   2.987, 31,  0,   0.669,   1.489,   0.414,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:182, 2093793354732709,    1.859,    2.000,  800,  11.660,  31.438,   8.733,   0.528,  10.809,   3.002, 31,  0,   0.674,   1.560,   0.433,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:294, 2093793757548293,    1.971,    2.000,  800,  11.616,  32.738,   9.094,   0.536,  10.869,   3.019, 31,  0,   0.672,   1.635,   0.454,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:404, 2093794153131189,    2.081,    2.000, 1300,  12.719,  34.135,   9.482,   1.637,  11.049,   3.069, 31,  0,   0.673,   1.709,   0.475,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:512, 2093794543780693,    2.189,   11.000, 4200,  13.336,  35.583,   9.884,   2.333,  11.302,   3.139, 32,  0,   0.700,   1.785,   0.496,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:620, 2093794932242641,    2.297,    1.000,  800,  12.320,  36.912,  10.253,   1.242,  11.436,   3.177, 31,  0,   0.674,   1.858,   0.516,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:731, 2093795331927423,    2.408,   10.000, 4200,  13.801,  38.444,  10.679,   2.763,  11.743,   3.262, 34,  0,   0.791,   1.946,   0.540,4095.875,4095.875,   0.000,   0.000,   0.000
14:43:29:732, 2093795336148650,    2.409,   32.000, 4200,  25.194,  38.474,  10.687,  20.457,  11.767,   3.269, 34,  0,   0.833,   1.947,   0.541,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.409413
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 38.473816
Cumulative Processor Energy_0 (mWh) = 10.687171
Average Processor Power_0 (Watt) = 15.968126

Cumulative IA Energy_0 (Joules) = 11.766785
Cumulative IA Energy_0 (mWh) = 3.268551
Average IA Power_0 (Watt) = 4.883672

