System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:45:14:088, 2094171017460919,    0.107,    2.000,  800,   5.811,   0.623,   0.173,   2.356,   0.253,   0.070, 32,  0,   0.701,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:199, 2094171416812595,    0.218,    3.000,  800,   4.021,   1.069,   0.297,   0.617,   0.321,   0.089, 32,  0,   0.679,   0.151,   0.042,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:311, 2094171819532539,    0.330,    2.000,  800,   3.979,   1.515,   0.421,   0.572,   0.385,   0.107, 32,  0,   0.672,   0.226,   0.063,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:417, 2094172201791983,    0.436,    2.000,  800,   3.922,   1.931,   0.536,   0.527,   0.441,   0.123, 31,  0,   0.669,   0.297,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:526, 2094172594431179,    0.545,   35.000, 4100,  18.792,   3.981,   1.106,  15.500,   2.132,   0.592, 39,  0,   0.868,   0.391,   0.109,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:635, 2094172986395063,    0.654,   30.000, 4200,  27.478,   6.972,   1.937,  23.960,   4.740,   1.317, 43,  0,   1.077,   0.509,   0.141,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:747, 2094173389577621,    0.766,   17.000, 4200,  20.204,   9.235,   2.565,  16.787,   6.620,   1.839, 51,  0,   0.808,   0.599,   0.166,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:854, 2094173774626875,    0.873,   18.000, 4200,  20.309,  11.407,   3.169,  16.882,   8.426,   2.341, 42,  0,   0.786,   0.683,   0.190,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:14:963, 2094174167191393,    0.982,   17.000, 4100,  20.262,  13.617,   3.782,  16.862,  10.265,   2.851, 45,  0,   0.799,   0.770,   0.214,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:076, 2094174574046929,    1.095,   46.000, 4100,  36.285,  17.718,   4.922,  32.768,  13.968,   3.880, 46,  0,   1.381,   0.926,   0.257,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:183, 2094174959288623,    1.202,   48.000, 4200,  37.437,  21.724,   6.034,  33.857,  17.591,   4.886, 46,  0,   1.394,   1.076,   0.299,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:291, 2094175348173471,    1.310,   34.000, 4200,  31.354,  25.111,   6.975,  27.898,  20.605,   5.724, 46,  0,   1.095,   1.194,   0.332,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:401, 2094175743826369,    1.420,   34.000, 4100,  31.273,  28.548,   7.930,  27.800,  23.660,   6.572, 50,  0,   1.068,   1.311,   0.364,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:512, 2094176143689247,    1.531,   39.000, 4200,  31.481,  32.044,   8.901,  28.023,  26.773,   7.437, 49,  0,   1.089,   1.432,   0.398,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:623, 2094176543147763,    1.642,   34.000, 4200,  29.769,  35.348,   9.819,  26.300,  29.691,   8.248, 51,  0,   1.022,   1.546,   0.429,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:730, 2094176928385301,    1.749,   43.000, 4200,  33.692,  38.953,  10.820,  30.146,  32.917,   9.144, 46,  0,   1.384,   1.694,   0.470,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:842, 2094177331592309,    1.861,   34.000, 4200,  30.021,  42.315,  11.754,  26.503,  35.885,   9.968, 47,  0,   1.289,   1.838,   0.511,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:15:951, 2094177723945977,    1.970,   34.000, 4200,  29.939,  45.578,  12.661,  26.420,  38.765,  10.768, 49,  0,   1.483,   2.000,   0.555,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:16:057, 2094178105369462,    2.076,   50.000, 4100,  38.851,  49.695,  13.804,  35.046,  42.478,  11.799, 50,  0,   2.121,   2.224,   0.618,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:16:166, 2094178497842405,    2.185,   21.000, 4200,  23.649,  52.273,  14.520,  20.185,  44.679,  12.411, 49,  0,   0.829,   2.315,   0.643,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:16:278, 2094178901158219,    2.297,   17.000, 4200,  20.323,  54.550,  15.153,  16.901,  46.572,  12.937, 48,  0,   0.719,   2.395,   0.665,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:16:388, 2094179297121671,    2.407,   17.000, 4200,  19.918,  56.740,  15.761,  16.528,  48.390,  13.442, 48,  0,   0.718,   2.474,   0.687,4095.875,4095.875,   0.000,   0.000,   0.000
