System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:45:19:246, 2094189585705981,    0.107,    4.000,  800,   5.117,   0.548,   0.152,   1.668,   0.179,   0.050, 32,  0,   0.706,   0.076,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:354, 2094189975068336,    0.215,    2.000,  800,   3.925,   0.973,   0.270,   0.530,   0.236,   0.066, 32,  0,   0.672,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:466, 2094190376332971,    0.327,    3.000,  800,   3.986,   1.417,   0.394,   0.561,   0.299,   0.083, 32,  0,   0.680,   0.224,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:576, 2094190772091823,    0.437,    4.000, 1300,   6.549,   2.137,   0.594,   3.140,   0.644,   0.179, 32,  0,   0.707,   0.302,   0.084,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:684, 2094191163658667,    0.545,    2.000,  800,   3.935,   2.565,   0.713,   0.564,   0.705,   0.196, 32,  0,   0.667,   0.374,   0.104,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:793, 2094191555734165,    0.654,    2.000,  800,   3.921,   2.992,   0.831,   0.514,   0.761,   0.211, 32,  0,   0.672,   0.448,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:19:903, 2094191949036259,    0.764,    2.000,  800,   3.892,   3.417,   0.949,   0.497,   0.815,   0.226, 32,  0,   0.668,   0.521,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:20:013, 2094192346219939,    0.874,    2.000,  800,   3.929,   3.851,   1.070,   0.500,   0.870,   0.242, 32,  0,   0.676,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:20:122, 2094192739553105,    0.983,    8.000, 3000,   6.268,   4.536,   1.260,   2.359,   1.128,   0.313, 32,  0,   0.713,   0.673,   0.187,4095.875,4095.875,   0.000,   0.000,   0.000
14:45:20:229, 2094193123305417,    1.090,   18.000, 4200,  21.469,   6.824,   1.896,  15.455,   2.776,   0.771, 47,  0,   0.942,   0.773,   0.215,4095.875,4095.875,   0.000,   0.000,   0.000
