System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:22:01:338, 2089157119859245,    0.101,    4.000,  800,  14.335,   1.449,   0.403,   3.221,   0.326,   0.090, 30,  0,   0.740,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:447, 2089157511164289,    0.210,    2.000,  800,  11.608,   2.711,   0.753,   0.513,   0.381,   0.106, 30,  0,   0.676,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:557, 2089157907828737,    0.320,    4.000, 2200,  13.768,   4.228,   1.174,   2.728,   0.682,   0.189, 30,  0,   0.696,   0.225,   0.062,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:667, 2089158301481631,    0.429,    2.000,  800,  11.657,   5.503,   1.529,   0.616,   0.749,   0.208, 31,  0,   0.673,   0.299,   0.083,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:776, 2089158694205675,    0.538,    3.000,  800,  11.571,   6.765,   1.879,   0.518,   0.806,   0.224, 31,  0,   0.678,   0.372,   0.103,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:887, 2089159095359313,    0.650,    2.000, 3100,  12.050,   8.108,   2.252,   0.916,   0.908,   0.252, 31,  0,   0.680,   0.448,   0.125,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:01:997, 2089159491339861,    0.760,    2.000,  800,  11.783,   9.404,   2.612,   0.713,   0.986,   0.274, 30,  0,   0.675,   0.523,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:106, 2089159882798325,    0.869,    2.000,  800,  11.491,  10.653,   2.959,   0.505,   1.041,   0.289, 30,  0,   0.666,   0.595,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:216, 2089160277329769,    0.978,    3.000, 3700,  12.456,  12.018,   3.338,   1.363,   1.191,   0.331, 30,  0,   0.674,   0.669,   0.186,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:323, 2089160664329161,    1.086,   17.000, 4200,  25.428,  14.752,   4.098,  14.592,   2.759,   0.766, 49,  0,   0.876,   0.763,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:475, 2089161211516389,    1.238,   20.000, 4200,  29.872,  19.292,   5.359,  18.736,   5.607,   1.558, 49,  0,   0.722,   0.873,   0.242,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:580, 2089161590649015,    1.343,   18.000, 4200,  30.991,  22.556,   6.266,  19.719,   7.684,   2.134, 41,  0,   0.756,   0.952,   0.265,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:664, 2089161891913009,    1.427,   17.000, 4200,  29.665,  25.039,   6.955,  18.834,   9.260,   2.572, 48,  0,   0.721,   1.013,   0.281,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:761, 2089162241082687,    1.524,   17.000, 4200,  29.463,  27.896,   7.749,  18.366,  11.041,   3.067, 43,  0,   0.745,   1.085,   0.301,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:870, 2089162633580061,    1.633,   17.000, 4200,  29.608,  31.124,   8.646,  18.471,  13.055,   3.626, 46,  0,   0.987,   1.193,   0.331,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:02:982, 2089163036912968,    1.745,   39.000, 4200,  28.874,  34.359,   9.544,  17.845,  15.054,   4.182, 43,  0,   1.570,   1.368,   0.380,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:089, 2089163420924573,    1.851,    5.000, 1800,  20.517,  36.548,  10.152,   9.066,  16.021,   4.450, 33,  0,   0.966,   1.471,   0.409,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:200, 2089163820851633,    1.962,    2.000,  800,  11.637,  37.841,  10.511,   0.580,  16.086,   4.468, 32,  0,   0.672,   1.546,   0.429,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:310, 2089164218988833,    2.073,    2.000,  800,  11.649,  39.129,  10.869,   0.541,  16.146,   4.485, 32,  0,   0.676,   1.621,   0.450,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:417, 2089164603926177,    2.180,    3.000, 4300,  12.147,  40.428,  11.230,   1.096,  16.263,   4.517, 31,  0,   0.695,   1.695,   0.471,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:529, 2089165006056867,    2.292,    6.000, 3700,  14.245,  42.019,  11.672,   3.225,  16.623,   4.618, 32,  0,   0.699,   1.773,   0.493,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:637, 2089165396759224,    2.400,    2.000,  800,  11.962,  43.317,  12.033,   0.840,  16.714,   4.643, 31,  0,   0.680,   1.847,   0.513,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:745, 2089165782805521,    2.507,    2.000,  800,  12.409,  44.648,  12.402,   1.363,  16.861,   4.683, 30,  0,   0.711,   1.923,   0.534,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:856, 2089166185230189,    2.619,    2.000,  800,  11.637,  45.949,  12.764,   0.547,  16.922,   4.700, 30,  0,   0.678,   1.999,   0.555,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:03:965, 2089166576272247,    2.728,    2.000,  800,  11.629,  47.212,  13.114,   0.520,  16.978,   4.716, 31,  0,   0.678,   2.073,   0.576,4095.875,4095.875,   0.000,   0.000,   0.000
14:22:04:039, 2089166841616348,    2.802,    8.000, 4200,  14.952,  48.314,  13.421,   4.171,  17.286,   4.802, 38,  0,   0.740,   2.127,   0.591,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.801589
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 48.314026
Cumulative Processor Energy_0 (mWh) = 13.420563
Average Processor Power_0 (Watt) = 17.245225

Cumulative IA Energy_0 (Joules) = 17.285645
Cumulative IA Energy_0 (mWh) = 4.801568
Average IA Power_0 (Watt) = 6.169944

Cumulative DRAM Energy_0 (Joules) = 2.127197
Cumulative DRAM Energy_0 (mWh) = 0.590888
Average DRAM Power_0 (Watt) = 0.759283
