System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:23:04:903, 2089385952361421,    0.112,    7.000, 1200,  11.353,   1.267,   0.352,   7.873,   0.879,   0.244, 32,  0,   0.803,   0.090,   0.025,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:014, 2089386350877115,    0.222,    4.000, 1900,   5.044,   1.825,   0.507,   1.607,   1.057,   0.293, 32,  0,   0.745,   0.172,   0.048,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:120, 2089386734116839,    0.329,    5.000,  800,   5.269,   2.386,   0.663,   1.846,   1.253,   0.348, 32,  0,   0.701,   0.247,   0.069,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:231, 2089387132646139,    0.439,    3.000,  800,   4.126,   2.843,   0.790,   0.749,   1.336,   0.371, 32,  0,   0.674,   0.321,   0.089,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:339, 2089387521835991,    0.548,   32.000, 4200,  19.551,   4.957,   1.377,  16.198,   3.087,   0.857, 39,  0,   1.033,   0.433,   0.120,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:451, 2089387925090025,    0.660,   28.000, 4200,  26.794,   7.958,   2.211,  23.333,   5.701,   1.584, 41,  0,   1.078,   0.554,   0.154,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:559, 2089388312005805,    0.767,    5.000, 2100,  12.826,   9.337,   2.594,   9.274,   6.697,   1.860, 33,  0,   0.824,   0.642,   0.178,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:669, 2089388708133522,    0.877,   11.000,  800,   4.473,   9.829,   2.730,   1.066,   6.815,   1.893, 32,  0,   0.698,   0.719,   0.200,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:776, 2089389093286367,    0.984,   36.000, 4200,  26.278,  12.640,   3.511,  22.855,   9.260,   2.572, 38,  0,   1.090,   0.836,   0.232,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:889, 2089389500011193,    1.097,   31.000, 4200,  27.934,  15.796,   4.388,  24.467,  12.024,   3.340, 50,  0,   1.066,   0.956,   0.266,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:05:996, 2089389885353671,    1.204,   22.000, 4200,  25.631,  18.540,   5.150,  22.304,  14.412,   4.003, 50,  0,   1.110,   1.075,   0.299,4095.875,4095.875,   0.000,   0.000,   0.000
