System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
14:23:10:029, 2089404406055781,    0.106,    2.000,  800,   5.554,   0.591,   0.164,   2.059,   0.219,   0.061, 32,  0,   0.701,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:138, 2089404797248585,    0.215,    2.000,  800,   3.986,   1.024,   0.284,   0.568,   0.281,   0.078, 31,  0,   0.679,   0.148,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:245, 2089405183788554,    0.322,    2.000,  800,   3.997,   1.453,   0.404,   0.607,   0.346,   0.096, 32,  0,   0.671,   0.220,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:357, 2089405585273343,    0.434,    2.000,  800,   4.001,   1.899,   0.528,   0.578,   0.410,   0.114, 31,  0,   0.674,   0.296,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:463, 2089405967806520,    0.540,    3.000,  800,   3.966,   2.321,   0.645,   0.576,   0.472,   0.131, 32,  0,   0.672,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:573, 2089406364272503,    0.650,    4.000, 1300,   6.349,   3.020,   0.839,   2.949,   0.796,   0.221, 32,  0,   0.703,   0.444,   0.123,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:685, 2089406768589237,    0.763,    2.000,  800,   4.178,   3.489,   0.969,   0.750,   0.881,   0.245, 31,  0,   0.676,   0.520,   0.145,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:794, 2089407161336739,    0.872,    2.000,  800,   4.054,   3.931,   1.092,   0.655,   0.952,   0.264, 31,  0,   0.671,   0.594,   0.165,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:10:904, 2089407555046193,    0.981,    2.000,  800,   4.026,   4.372,   1.214,   0.637,   1.022,   0.284, 31,  0,   0.670,   0.667,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:11:012, 2089407944167111,    1.089,   19.000, 4200,  18.352,   6.355,   1.765,  15.048,   2.648,   0.736, 50,  0,   0.892,   0.763,   0.212,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:11:122, 2089408340225465,    1.199,   18.000, 4200,  25.142,   9.122,   2.534,  20.035,   4.852,   1.348, 52,  0,   0.745,   0.845,   0.235,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:11:230, 2089408728975105,    1.307,   18.000, 4200,  25.432,  11.868,   3.297,  19.457,   6.953,   1.932, 50,  0,   0.710,   0.922,   0.256,4095.875,4095.875,   0.000,   0.000,   0.000
14:23:11:339, 2089409121223269,    1.416,   16.000, 4200,  25.286,  14.623,   4.062,  19.314,   9.058,   2.516, 51,  0,   0.710,   0.999,   0.278,4095.875,4095.875,   0.000,   0.000,   0.000
