System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
15:03:25:951, 2098101721859033,    0.106,    2.000,  800,  13.383,   1.423,   0.395,   2.221,   0.236,   0.066, 31,  0,   0.704,   0.075,   0.021,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:058, 2098102106523833,    0.213,    2.000,  800,  11.669,   2.670,   0.742,   0.583,   0.298,   0.083, 31,  0,   0.672,   0.147,   0.041,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:166, 2098102497389375,    0.322,    2.000,  800,  11.629,   3.932,   1.092,   0.521,   0.355,   0.099, 31,  0,   0.674,   0.220,   0.061,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:277, 2098102896314809,    0.433,    2.000,  800,  11.618,   5.220,   1.450,   0.529,   0.414,   0.115, 31,  0,   0.671,   0.294,   0.082,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:385, 2098103285511415,    0.541,    2.000,  800,  11.571,   6.471,   1.797,   0.513,   0.469,   0.130, 31,  0,   0.670,   0.367,   0.102,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:498, 2098103691800237,    0.654,   21.000, 4300,  12.939,   7.931,   2.203,   1.892,   0.682,   0.190, 39,  0,   0.696,   0.445,   0.124,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:604, 2098104072911853,    0.759,    2.000, 2800,  13.887,   9.401,   2.611,   2.769,   0.976,   0.271, 31,  0,   0.687,   0.518,   0.144,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:713, 2098104465956209,    0.869,    2.000,  800,  11.723,  10.681,   2.967,   0.678,   1.050,   0.292, 32,  0,   0.673,   0.591,   0.164,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:824, 2098104865642989,    0.980,    1.000,  800,  11.576,  11.966,   3.324,   0.518,   1.107,   0.308, 32,  0,   0.670,   0.666,   0.185,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:26:935, 2098105262184831,    1.090,   18.000, 4200,  26.205,  14.853,   4.126,  15.179,   2.779,   0.772, 45,  0,   1.043,   0.780,   0.217,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:046, 2098105661664989,    1.201,   17.000, 4200,  29.363,  18.111,   5.031,  18.220,   4.801,   1.334, 51,  0,   0.932,   0.884,   0.246,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:152, 2098106043265637,    1.307,   17.000, 4200,  29.500,  21.238,   5.899,  18.402,   6.752,   1.875, 50,  0,   0.839,   0.973,   0.270,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:319, 2098106644576695,    1.474,   18.000, 4200,  29.842,  26.222,   7.284,  18.735,   9.881,   2.745, 44,  0,   1.033,   1.145,   0.318,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:413, 2098106982856309,    1.568,   18.000, 4200,  29.718,  29.015,   8.060,  18.535,  11.623,   3.228, 44,  0,   1.244,   1.262,   0.351,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:521, 2098107376170380,    1.677,   40.000, 4100,  31.851,  32.495,   9.026,  20.791,  13.894,   3.859, 46,  0,   1.525,   1.429,   0.397,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:588, 2098107616058709,    1.744,    6.000, 3300,  21.338,  33.917,   9.421,   9.864,  14.551,   4.042, 34,  0,   1.000,   1.496,   0.415,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:700, 2098108015978441,    1.855,    2.000,  800,  11.948,  35.244,   9.790,   0.882,  14.649,   4.069, 32,  0,   0.677,   1.571,   0.436,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:810, 2098108415888808,    1.966,    3.000,  800,  12.191,  36.598,  10.166,   1.135,  14.775,   4.104, 32,  0,   0.680,   1.646,   0.457,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:27:918, 2098108801836091,    2.073,    4.000,  800,  11.780,  37.861,  10.517,   0.735,  14.854,   4.126, 31,  0,   0.689,   1.720,   0.478,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:029, 2098109202844069,    2.184,    2.000,  800,  11.715,  39.166,  10.879,   0.582,  14.919,   4.144, 31,  0,   0.675,   1.795,   0.499,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:138, 2098109595761739,    2.294,    2.000,  800,  11.666,  40.439,  11.233,   0.616,  14.986,   4.163, 31,  0,   0.671,   1.869,   0.519,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:245, 2098109980087911,    2.400,    2.000,  800,  11.596,  41.677,  11.577,   0.611,  15.051,   4.181, 32,  0,   0.667,   1.940,   0.539,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:356, 2098110378485419,    2.511,    1.000,  800,  11.615,  42.963,  11.934,   0.518,  15.109,   4.197, 32,  0,   0.671,   2.014,   0.559,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:467, 2098110778090214,    2.622,    2.000,  800,  11.587,  44.249,  12.291,   0.523,  15.167,   4.213, 31,  0,   0.669,   2.088,   0.580,4095.875,4095.875,   0.000,   0.000,   0.000
15:03:28:574, 2098111167558405,    2.730,    9.000, 4200,  16.914,  46.079,  12.800,   5.998,  15.816,   4.393, 39,  0,   0.810,   2.176,   0.604,4095.875,4095.875,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 2.730116
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 46.078613
Cumulative Processor Energy_0 (mWh) = 12.799615
Average Processor Power_0 (Watt) = 16.877899

Cumulative IA Energy_0 (Joules) = 15.815735
Cumulative IA Energy_0 (mWh) = 4.393260
Average IA Power_0 (Watt) = 5.793064

Cumulative DRAM Energy_0 (Joules) = 2.175903
Cumulative DRAM Energy_0 (mWh) = 0.604418
Average DRAM Power_0 (Watt) = 0.797000
